victim,mix,attackers,baseline_cycles_med,bg_cycles_med,slowdown_med,baseline_cycles_avg,bg_cycles_avg,slowdown_avg
countnegative,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",34012.00,34086.00,1.002,34834.90,36028.60,1.034
cover,TIM_CACHE3,"CACHE CACHE CACHE",6571.50,7695.50,1.171,8582.10,11542.60,1.345
cover,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",6571.50,17102.00,2.602,8582.10,16587.80,1.933
cover,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",6571.50,6412.00,0.976,8582.10,12710.40,1.481
cover,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",6571.50,6129.50,0.933,8582.10,8383.30,0.977
cover,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",6571.50,7103.00,1.081,8582.10,11110.40,1.295
cover,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",6571.50,6082.00,0.926,8582.10,8157.10,0.950
cover,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",6571.50,6166.50,0.938,8582.10,14295.60,1.666
cover,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",6571.50,6185.00,0.941,8582.10,8062.60,0.939
cover,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",6571.50,7041.50,1.072,8582.10,10723.80,1.250
cover,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",6571.50,6546.00,0.996,8582.10,9445.20,1.101
