victim,mix,attackers,baseline_cycles_med,bg_cycles_med,slowdown_med,baseline_cycles_avg,bg_cycles_avg,slowdown_avg
ammunition,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",228983704.00,231471610.00,1.011,229031123.90,231482900.10,1.011
ammunition,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",228983704.00,229648069.50,1.003,229031123.90,229664927.30,1.003
ammunition,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",228983704.00,229295673.00,1.001,229031123.90,229333582.10,1.001
ammunition,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",228983704.00,229669785.00,1.003,229031123.90,229665260.80,1.003
ammunition,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",228983704.00,230393217.50,1.006,229031123.90,230390175.70,1.006
anagram,TIM_CACHE3,"CACHE CACHE CACHE",0,0,0,0,0,0
anagram,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",0,0,0,0,0,0
anagram,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",0,0,0,0,0,0
anagram,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",0,0,0,0,0,0
anagram,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",0,0,0,0,0,0
anagram,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",0,0,0,0,0,0
anagram,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",0,0,0,0,0,0
anagram,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",0,0,0,0,0,0
anagram,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",0,0,0,0,0,0
anagram,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",0,0,0,0,0,0
anagram,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",0,0,0,0,0,0
anagram,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",0,0,0,0,0,0
anagram,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",0,0,0,0,0,0
anagram,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",0,0,0,0,0,0
anagram,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",0,0,0,0,0,0
audiobeam,TIM_CACHE3,"CACHE CACHE CACHE",0,0,0,0,0,0
audiobeam,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",0,0,0,0,0,0
audiobeam,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",0,0,0,0,0,0
audiobeam,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",0,0,0,0,0,0
audiobeam,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",0,0,0,0,0,0
audiobeam,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",0,0,0,0,0,0
audiobeam,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",0,0,0,0,0,0
audiobeam,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",0,0,0,0,0,0
audiobeam,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",0,0,0,0,0,0
audiobeam,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",0,0,0,0,0,0
audiobeam,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",0,0,0,0,0,0
audiobeam,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",0,0,0,0,0,0
audiobeam,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",0,0,0,0,0,0
audiobeam,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",0,0,0,0,0,0
audiobeam,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",0,0,0,0,0,0
binarysearch,TIM_CACHE3,"CACHE CACHE CACHE",1878.50,1842.00,0.981,2855.30,2551.20,0.893
