# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=jfdctint (measured)  cpu1=MAX_BUS
[sample=75] cpu=0 bench=jfdctint cycles=9189 instructions=6383 cache-misses=9
[sample=76] cpu=0 bench=jfdctint cycles=9071 instructions=6382 cache-misses=7
[sample=77] cpu=0 bench=jfdctint cycles=8908 instructions=6382 cache-misses=11
[sample=78] cpu=0 bench=jfdctint cycles=10372 instructions=6383 cache-misses=8
[sample=79] cpu=0 bench=jfdctint cycles=9327 instructions=6382 cache-misses=7
[sample=80] cpu=0 bench=jfdctint cycles=9207 instructions=6383 cache-misses=8
[sample=81] cpu=0 bench=jfdctint cycles=8536 instructions=6382 cache-misses=6
[sample=82] cpu=0 bench=jfdctint cycles=8584 instructions=6383 cache-misses=8
[sample=83] cpu=0 bench=jfdctint cycles=14022 instructions=6383 cache-misses=6
[sample=84] cpu=0 bench=jfdctint cycles=8844 instructions=6383 cache-misses=8
[sample=85] cpu=0 bench=jfdctint cycles=11246 instructions=6383 cache-misses=5
[sample=86] cpu=0 bench=jfdctint cycles=9980 instructions=6382 cache-misses=11
[sample=87] cpu=0 bench=jfdctint cycles=9905 instructions=6383 cache-misses=7
[sample=88] cpu=0 bench=jfdctint cycles=17149 instructions=6383 cache-misses=8
[sample=89] cpu=0 bench=jfdctint cycles=8562 instructions=6383 cache-misses=8
[sample=90] cpu=0 bench=jfdctint cycles=9811 instructions=6383 cache-misses=9
[sample=91] cpu=0 bench=jfdctint cycles=13520 instructions=6383 cache-misses=6
[sample=92] cpu=0 bench=jfdctint cycles=9115 instructions=6383 cache-misses=6
[sample=93] cpu=0 bench=jfdctint cycles=10537 instructions=6382 cache-misses=7
[sample=94] cpu=0 bench=jfdctint cycles=8569 instructions=6383 cache-misses=7
[sample=95] cpu=0 bench=jfdctint cycles=8649 instructions=6383 cache-misses=8
[sample=96] cpu=0 bench=jfdctint cycles=9081 instructions=6383 cache-misses=7
[sample=97] cpu=0 bench=jfdctint cycles=8565 instructions=6383 cache-misses=8
[sample=98] cpu=0 bench=jfdctint cycles=8823 instructions=6382 cache-misses=8
[sample=99] cpu=0 bench=jfdctint cycles=9220 instructions=6382 cache-misses=7

# Statistics over 100 samples on cpu0 bench=jfdctint (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                        8536                41637             10364.02              9117.50
  instructions                  6382                 6387              6382.63              6383.00
  cache-misses                     5                   15                 7.32                 7.00
