# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=matrix1 (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM
[sample=74] cpu=0 bench=matrix1 cycles=20803 instructions=19914 cache-misses=1
[sample=75] cpu=0 bench=matrix1 cycles=20592 instructions=19912 cache-misses=4
[sample=76] cpu=0 bench=matrix1 cycles=20561 instructions=19912 cache-misses=1
[sample=77] cpu=0 bench=matrix1 cycles=20542 instructions=19912 cache-misses=4
[sample=78] cpu=0 bench=matrix1 cycles=20580 instructions=19918 cache-misses=4
[sample=79] cpu=0 bench=matrix1 cycles=21030 instructions=19916 cache-misses=3
[sample=80] cpu=0 bench=matrix1 cycles=20693 instructions=19914 cache-misses=4
[sample=81] cpu=0 bench=matrix1 cycles=20551 instructions=19896 cache-misses=2
[sample=82] cpu=0 bench=matrix1 cycles=21081 instructions=19916 cache-misses=3
[sample=83] cpu=0 bench=matrix1 cycles=20667 instructions=19914 cache-misses=2
[sample=84] cpu=0 bench=matrix1 cycles=20696 instructions=19916 cache-misses=3
[sample=85] cpu=0 bench=matrix1 cycles=20568 instructions=19914 cache-misses=4
[sample=86] cpu=0 bench=matrix1 cycles=20582 instructions=19914 cache-misses=2
[sample=87] cpu=0 bench=matrix1 cycles=20536 instructions=19914 cache-misses=1
[sample=88] cpu=0 bench=matrix1 cycles=20562 instructions=19916 cache-misses=2
[sample=89] cpu=0 bench=matrix1 cycles=20602 instructions=19916 cache-misses=2
[sample=90] cpu=0 bench=matrix1 cycles=21401 instructions=19915 cache-misses=1
[sample=91] cpu=0 bench=matrix1 cycles=24641 instructions=19918 cache-misses=2
[sample=92] cpu=0 bench=matrix1 cycles=20540 instructions=19914 cache-misses=4
[sample=93] cpu=0 bench=matrix1 cycles=24733 instructions=19917 cache-misses=3
[sample=94] cpu=0 bench=matrix1 cycles=20549 instructions=19916 cache-misses=4
[sample=95] cpu=0 bench=matrix1 cycles=20565 instructions=19916 cache-misses=3
[sample=96] cpu=0 bench=matrix1 cycles=20527 instructions=19914 cache-misses=0
[sample=97] cpu=0 bench=matrix1 cycles=20555 instructions=19916 cache-misses=3
[sample=98] cpu=0 bench=matrix1 cycles=23869 instructions=19896 cache-misses=2
[sample=99] cpu=0 bench=matrix1 cycles=20836 instructions=19916 cache-misses=3

# Statistics over 100 samples on cpu0 bench=matrix1 (background load on cpu1..cpu2)
# event                          min                  max                  avg               median
  cycles                       20527                46201             26806.72             24792.00
  instructions                 19896                19924             19916.18             19916.50
  cache-misses                     0                   33                13.79                16.00
