# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=cosf (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM
[sample=78] cpu=0 bench=cosf cycles=31036 instructions=23689 cache-misses=3
[sample=79] cpu=0 bench=cosf cycles=30999 instructions=23690 cache-misses=3
[sample=80] cpu=0 bench=cosf cycles=31007 instructions=23689 cache-misses=3
[sample=81] cpu=0 bench=cosf cycles=31137 instructions=23690 cache-misses=3
[sample=82] cpu=0 bench=cosf cycles=30998 instructions=23689 cache-misses=4
[sample=83] cpu=0 bench=cosf cycles=31063 instructions=23689 cache-misses=3
[sample=84] cpu=0 bench=cosf cycles=31671 instructions=23691 cache-misses=3
[sample=85] cpu=0 bench=cosf cycles=31048 instructions=23691 cache-misses=3
[sample=86] cpu=0 bench=cosf cycles=31062 instructions=23690 cache-misses=3
[sample=87] cpu=0 bench=cosf cycles=31050 instructions=23690 cache-misses=3
[sample=88] cpu=0 bench=cosf cycles=31021 instructions=23690 cache-misses=4
[sample=89] cpu=0 bench=cosf cycles=31047 instructions=23691 cache-misses=1
[sample=90] cpu=0 bench=cosf cycles=30976 instructions=23689 cache-misses=1
[sample=91] cpu=0 bench=cosf cycles=31032 instructions=23690 cache-misses=3
[sample=92] cpu=0 bench=cosf cycles=30987 instructions=23688 cache-misses=1
[sample=93] cpu=0 bench=cosf cycles=30998 instructions=23691 cache-misses=5
[sample=94] cpu=0 bench=cosf cycles=31046 instructions=23690 cache-misses=1
[sample=95] cpu=0 bench=cosf cycles=30966 instructions=23689 cache-misses=1
[sample=96] cpu=0 bench=cosf cycles=31064 instructions=23690 cache-misses=4
[sample=97] cpu=0 bench=cosf cycles=30980 instructions=23690 cache-misses=3
[sample=98] cpu=0 bench=cosf cycles=31049 instructions=23690 cache-misses=2
[sample=99] cpu=0 bench=cosf cycles=31052 instructions=23690 cache-misses=1

# Statistics over 100 samples on cpu0 bench=cosf (background load on cpu1..cpu2)
# event                          min                  max                  avg               median
  cycles                       30921                49515             31966.90             31056.50
  instructions                 23688                23698             23690.03             23690.00
  cache-misses                     0                   32                 2.97                 2.00
