# board=pi5
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[info] cpu0..cpu3 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=2400000
# cpu0=minver (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=77] cpu=0 bench=minver cycles=1338 instructions=4118 cache-misses=0
[sample=78] cpu=0 bench=minver cycles=1369 instructions=4118 cache-misses=0
[sample=79] cpu=0 bench=minver cycles=1410 instructions=4118 cache-misses=0
[sample=80] cpu=0 bench=minver cycles=4265 instructions=4118 cache-misses=1
[sample=81] cpu=0 bench=minver cycles=1394 instructions=4118 cache-misses=0
[sample=82] cpu=0 bench=minver cycles=1341 instructions=4118 cache-misses=0
[sample=83] cpu=0 bench=minver cycles=1387 instructions=4118 cache-misses=0
[sample=84] cpu=0 bench=minver cycles=4015 instructions=4118 cache-misses=1
[sample=85] cpu=0 bench=minver cycles=6970 instructions=4118 cache-misses=2
[sample=86] cpu=0 bench=minver cycles=1342 instructions=4118 cache-misses=0
[sample=87] cpu=0 bench=minver cycles=1417 instructions=4118 cache-misses=0
[sample=88] cpu=0 bench=minver cycles=1394 instructions=4118 cache-misses=0
[sample=89] cpu=0 bench=minver cycles=3205 instructions=4118 cache-misses=0
[sample=90] cpu=0 bench=minver cycles=3202 instructions=4118 cache-misses=0
[sample=91] cpu=0 bench=minver cycles=1349 instructions=4118 cache-misses=1
[sample=92] cpu=0 bench=minver cycles=1404 instructions=4118 cache-misses=0
[sample=93] cpu=0 bench=minver cycles=2587 instructions=4118 cache-misses=1
[sample=94] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=95] cpu=0 bench=minver cycles=2594 instructions=4118 cache-misses=0
[sample=96] cpu=0 bench=minver cycles=2712 instructions=4118 cache-misses=1
[sample=97] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=0
[sample=98] cpu=0 bench=minver cycles=1341 instructions=4118 cache-misses=0
[sample=99] cpu=0 bench=minver cycles=1346 instructions=4118 cache-misses=0
[sample=100] cpu=0 bench=minver cycles=1382 instructions=4118 cache-misses=0
[sample=101] cpu=0 bench=minver cycles=3576 instructions=4118 cache-misses=1
[sample=102] cpu=0 bench=minver cycles=1347 instructions=4118 cache-misses=0
[sample=103] cpu=0 bench=minver cycles=1387 instructions=4118 cache-misses=1
[sample=104] cpu=0 bench=minver cycles=2696 instructions=4118 cache-misses=1
[sample=105] cpu=0 bench=minver cycles=1385 instructions=4118 cache-misses=0
[sample=106] cpu=0 bench=minver cycles=1398 instructions=4118 cache-misses=0
[sample=107] cpu=0 bench=minver cycles=2021 instructions=4118 cache-misses=0
[sample=108] cpu=0 bench=minver cycles=1409 instructions=4118 cache-misses=0
[sample=109] cpu=0 bench=minver cycles=1349 instructions=4118 cache-misses=0
[sample=110] cpu=0 bench=minver cycles=1372 instructions=4118 cache-misses=0
[sample=111] cpu=0 bench=minver cycles=1335 instructions=4118 cache-misses=0
[sample=112] cpu=0 bench=minver cycles=1380 instructions=4118 cache-misses=0
[sample=113] cpu=0 bench=minver cycles=1373 instructions=4118 cache-misses=0
[sample=114] cpu=0 bench=minver cycles=1358 instructions=4118 cache-misses=0
[sample=115] cpu=0 bench=minver cycles=1350 instructions=4118 cache-misses=0
[sample=116] cpu=0 bench=minver cycles=1336 instructions=4118 cache-misses=0
[sample=117] cpu=0 bench=minver cycles=1361 instructions=4118 cache-misses=0
[sample=118] cpu=0 bench=minver cycles=28459 instructions=4118 cache-misses=24
[sample=119] cpu=0 bench=minver cycles=2436 instructions=4118 cache-misses=1
[sample=120] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=0
[sample=121] cpu=0 bench=minver cycles=1332 instructions=4118 cache-misses=0
[sample=122] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=123] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=0
[sample=124] cpu=0 bench=minver cycles=1387 instructions=4118 cache-misses=0
[sample=125] cpu=0 bench=minver cycles=1379 instructions=4118 cache-misses=0
[sample=126] cpu=0 bench=minver cycles=1376 instructions=4118 cache-misses=0
[sample=127] cpu=0 bench=minver cycles=1378 instructions=4118 cache-misses=0
[sample=128] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=129] cpu=0 bench=minver cycles=1363 instructions=4118 cache-misses=0
[sample=130] cpu=0 bench=minver cycles=1343 instructions=4118 cache-misses=0
[sample=131] cpu=0 bench=minver cycles=1338 instructions=4118 cache-misses=0
[sample=132] cpu=0 bench=minver cycles=1348 instructions=4118 cache-misses=0
[sample=133] cpu=0 bench=minver cycles=4797 instructions=4118 cache-misses=2
[sample=134] cpu=0 bench=minver cycles=1460 instructions=4118 cache-misses=0
[sample=135] cpu=0 bench=minver cycles=1351 instructions=4118 cache-misses=0
[sample=136] cpu=0 bench=minver cycles=1375 instructions=4118 cache-misses=0
[sample=137] cpu=0 bench=minver cycles=1393 instructions=4118 cache-misses=0
[sample=138] cpu=0 bench=minver cycles=1397 instructions=4118 cache-misses=0
[sample=139] cpu=0 bench=minver cycles=1361 instructions=4118 cache-misses=0
[sample=140] cpu=0 bench=minver cycles=1347 instructions=4118 cache-misses=0
[sample=141] cpu=0 bench=minver cycles=1335 instructions=4118 cache-misses=0
[sample=142] cpu=0 bench=minver cycles=1319 instructions=4118 cache-misses=0
[sample=143] cpu=0 bench=minver cycles=1321 instructions=4118 cache-misses=0
[sample=144] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=145] cpu=0 bench=minver cycles=3127 instructions=4118 cache-misses=1
[sample=146] cpu=0 bench=minver cycles=1312 instructions=4118 cache-misses=0
[sample=147] cpu=0 bench=minver cycles=1318 instructions=4118 cache-misses=0
[sample=148] cpu=0 bench=minver cycles=2545 instructions=4118 cache-misses=2
[sample=149] cpu=0 bench=minver cycles=1336 instructions=4118 cache-misses=1
[sample=150] cpu=0 bench=minver cycles=1367 instructions=4118 cache-misses=0
[sample=151] cpu=0 bench=minver cycles=1304 instructions=4118 cache-misses=1
[sample=152] cpu=0 bench=minver cycles=1325 instructions=4118 cache-misses=0
[sample=153] cpu=0 bench=minver cycles=1366 instructions=4118 cache-misses=0
[sample=154] cpu=0 bench=minver cycles=1358 instructions=4118 cache-misses=0
[sample=155] cpu=0 bench=minver cycles=1330 instructions=4118 cache-misses=0
[sample=156] cpu=0 bench=minver cycles=1302 instructions=4118 cache-misses=0
[sample=157] cpu=0 bench=minver cycles=1325 instructions=4118 cache-misses=0
[sample=158] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=0
[sample=159] cpu=0 bench=minver cycles=2302 instructions=4118 cache-misses=0
[sample=160] cpu=0 bench=minver cycles=1340 instructions=4118 cache-misses=0
[sample=161] cpu=0 bench=minver cycles=1317 instructions=4118 cache-misses=0
[sample=162] cpu=0 bench=minver cycles=1326 instructions=4118 cache-misses=0
