[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=70] cpu=0 bench=adpcm_dec cycles=328356 instructions=228470 cache-misses=41
[sample=71] cpu=0 bench=adpcm_dec cycles=345636 instructions=228475 cache-misses=53
[sample=72] cpu=0 bench=adpcm_dec cycles=357155 instructions=228472 cache-misses=44
[sample=73] cpu=0 bench=adpcm_dec cycles=345941 instructions=228470 cache-misses=42
[sample=74] cpu=0 bench=adpcm_dec cycles=365716 instructions=228473 cache-misses=47
[sample=75] cpu=0 bench=adpcm_dec cycles=325982 instructions=228473 cache-misses=51
[sample=76] cpu=0 bench=adpcm_dec cycles=356811 instructions=228472 cache-misses=50
[sample=77] cpu=0 bench=adpcm_dec cycles=369921 instructions=228471 cache-misses=46
[sample=78] cpu=0 bench=adpcm_dec cycles=352788 instructions=228472 cache-misses=50
[sample=79] cpu=0 bench=adpcm_dec cycles=339775 instructions=228471 cache-misses=48
[sample=80] cpu=0 bench=adpcm_dec cycles=348772 instructions=228471 cache-misses=55
[sample=81] cpu=0 bench=adpcm_dec cycles=329874 instructions=228470 cache-misses=43
[sample=82] cpu=0 bench=adpcm_dec cycles=343036 instructions=228472 cache-misses=45
[sample=83] cpu=0 bench=adpcm_dec cycles=344034 instructions=228473 cache-misses=46
[sample=84] cpu=0 bench=adpcm_dec cycles=353334 instructions=228473 cache-misses=43
[sample=85] cpu=0 bench=adpcm_dec cycles=328195 instructions=228472 cache-misses=47
[sample=86] cpu=0 bench=adpcm_dec cycles=337730 instructions=228471 cache-misses=42
[sample=87] cpu=0 bench=adpcm_dec cycles=331567 instructions=228472 cache-misses=49
[sample=88] cpu=0 bench=adpcm_dec cycles=347171 instructions=228473 cache-misses=52
[sample=89] cpu=0 bench=adpcm_dec cycles=330729 instructions=228472 cache-misses=45
[sample=90] cpu=0 bench=adpcm_dec cycles=341443 instructions=228471 cache-misses=55
[sample=91] cpu=0 bench=adpcm_dec cycles=341574 instructions=228471 cache-misses=45
[sample=92] cpu=0 bench=adpcm_dec cycles=338408 instructions=228472 cache-misses=40
[sample=93] cpu=0 bench=adpcm_dec cycles=330962 instructions=228472 cache-misses=44
[sample=94] cpu=0 bench=adpcm_dec cycles=344687 instructions=228471 cache-misses=46
[sample=95] cpu=0 bench=adpcm_dec cycles=340685 instructions=228472 cache-misses=56
[sample=96] cpu=0 bench=adpcm_dec cycles=351098 instructions=228473 cache-misses=48
[sample=97] cpu=0 bench=adpcm_dec cycles=361752 instructions=228472 cache-misses=48
[sample=98] cpu=0 bench=adpcm_dec cycles=377764 instructions=228473 cache-misses=46
[sample=99] cpu=0 bench=adpcm_dec cycles=358953 instructions=228471 cache-misses=44

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                      322884               474133            350836.66            343564.00
  instructions                228469               228480            228472.21            228472.00
  cache-misses                    40                   90                48.08                46.50
