[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  (solo: all other cpus offlined)
[sample=69] cpu=0 bench=adpcm_dec cycles=318966 instructions=228473 cache-misses=44
[sample=70] cpu=0 bench=adpcm_dec cycles=318977 instructions=228472 cache-misses=46
[sample=71] cpu=0 bench=adpcm_dec cycles=318863 instructions=228471 cache-misses=50
[sample=72] cpu=0 bench=adpcm_dec cycles=319217 instructions=228471 cache-misses=47
[sample=73] cpu=0 bench=adpcm_dec cycles=319039 instructions=228472 cache-misses=50
[sample=74] cpu=0 bench=adpcm_dec cycles=318588 instructions=228473 cache-misses=42
[sample=75] cpu=0 bench=adpcm_dec cycles=318936 instructions=228473 cache-misses=44
[sample=76] cpu=0 bench=adpcm_dec cycles=318707 instructions=228472 cache-misses=44
[sample=77] cpu=0 bench=adpcm_dec cycles=318887 instructions=228473 cache-misses=48
[sample=78] cpu=0 bench=adpcm_dec cycles=319212 instructions=228474 cache-misses=60
[sample=79] cpu=0 bench=adpcm_dec cycles=319211 instructions=228471 cache-misses=44
[sample=80] cpu=0 bench=adpcm_dec cycles=318744 instructions=228472 cache-misses=48
[sample=81] cpu=0 bench=adpcm_dec cycles=318521 instructions=228473 cache-misses=48
[sample=82] cpu=0 bench=adpcm_dec cycles=319119 instructions=228473 cache-misses=47
[sample=83] cpu=0 bench=adpcm_dec cycles=319234 instructions=228474 cache-misses=48
[sample=84] cpu=0 bench=adpcm_dec cycles=318749 instructions=228473 cache-misses=48
[sample=85] cpu=0 bench=adpcm_dec cycles=318595 instructions=228472 cache-misses=44
[sample=86] cpu=0 bench=adpcm_dec cycles=318568 instructions=228474 cache-misses=44
[sample=87] cpu=0 bench=adpcm_dec cycles=319005 instructions=228473 cache-misses=50
[sample=88] cpu=0 bench=adpcm_dec cycles=318891 instructions=228473 cache-misses=54
[sample=89] cpu=0 bench=adpcm_dec cycles=319054 instructions=228474 cache-misses=45
[sample=90] cpu=0 bench=adpcm_dec cycles=319031 instructions=228472 cache-misses=58
[sample=91] cpu=0 bench=adpcm_dec cycles=319112 instructions=228472 cache-misses=63
[sample=92] cpu=0 bench=adpcm_dec cycles=319152 instructions=228474 cache-misses=55
[sample=93] cpu=0 bench=adpcm_dec cycles=319164 instructions=228474 cache-misses=44
[sample=94] cpu=0 bench=adpcm_dec cycles=318818 instructions=228474 cache-misses=50
[sample=95] cpu=0 bench=adpcm_dec cycles=319339 instructions=228473 cache-misses=54
[sample=96] cpu=0 bench=adpcm_dec cycles=318938 instructions=228473 cache-misses=51
[sample=97] cpu=0 bench=adpcm_dec cycles=319146 instructions=228473 cache-misses=42
[sample=98] cpu=0 bench=adpcm_dec cycles=319012 instructions=228470 cache-misses=50
[sample=99] cpu=0 bench=adpcm_dec cycles=319077 instructions=228471 cache-misses=44

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu0)
# event                          min                  max                  avg               median
  cycles                      318521               349102            320010.06            319032.00
  instructions                228468               228480            228472.36            228472.00
  cache-misses                    42                   95                49.94                48.00
