[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=48] cpu=0 bench=fmref cycles=788541 instructions=417312 cache-misses=93
[sample=49] cpu=0 bench=fmref cycles=788231 instructions=417301 cache-misses=79
[sample=50] cpu=0 bench=fmref cycles=715947 instructions=417302 cache-misses=48
[sample=51] cpu=0 bench=fmref cycles=664998 instructions=417299 cache-misses=27
[sample=52] cpu=0 bench=fmref cycles=669251 instructions=417302 cache-misses=23
[sample=53] cpu=0 bench=fmref cycles=797192 instructions=417307 cache-misses=82
[sample=54] cpu=0 bench=fmref cycles=774326 instructions=417299 cache-misses=70
[sample=55] cpu=0 bench=fmref cycles=781112 instructions=417304 cache-misses=79
[sample=56] cpu=0 bench=fmref cycles=699473 instructions=417299 cache-misses=44
[sample=57] cpu=0 bench=fmref cycles=672810 instructions=417299 cache-misses=27
[sample=58] cpu=0 bench=fmref cycles=670902 instructions=417299 cache-misses=26
[sample=59] cpu=0 bench=fmref cycles=916997 instructions=417301 cache-misses=41
[sample=60] cpu=0 bench=fmref cycles=724062 instructions=417301 cache-misses=30
[sample=61] cpu=0 bench=fmref cycles=720729 instructions=417300 cache-misses=15
[sample=62] cpu=0 bench=fmref cycles=702794 instructions=417301 cache-misses=24
[sample=63] cpu=0 bench=fmref cycles=732545 instructions=417297 cache-misses=23
[sample=64] cpu=0 bench=fmref cycles=690987 instructions=417301 cache-misses=38
[sample=65] cpu=0 bench=fmref cycles=750178 instructions=417297 cache-misses=36
[sample=66] cpu=0 bench=fmref cycles=691190 instructions=417297 cache-misses=24
[sample=67] cpu=0 bench=fmref cycles=731287 instructions=417298 cache-misses=21
[sample=68] cpu=0 bench=fmref cycles=670962 instructions=417296 cache-misses=25
[sample=69] cpu=0 bench=fmref cycles=736759 instructions=417299 cache-misses=29
[sample=70] cpu=0 bench=fmref cycles=720913 instructions=417300 cache-misses=31
[sample=71] cpu=0 bench=fmref cycles=720961 instructions=417297 cache-misses=42
[sample=72] cpu=0 bench=fmref cycles=800964 instructions=417315 cache-misses=80
[sample=73] cpu=0 bench=fmref cycles=706015 instructions=417297 cache-misses=43
[sample=74] cpu=0 bench=fmref cycles=691113 instructions=417302 cache-misses=29
[sample=75] cpu=0 bench=fmref cycles=677632 instructions=417299 cache-misses=22
[sample=76] cpu=0 bench=fmref cycles=730170 instructions=417304 cache-misses=32
[sample=77] cpu=0 bench=fmref cycles=683954 instructions=417300 cache-misses=32
[sample=78] cpu=0 bench=fmref cycles=708738 instructions=417297 cache-misses=39
[sample=79] cpu=0 bench=fmref cycles=669492 instructions=417307 cache-misses=22
[sample=80] cpu=0 bench=fmref cycles=1040790 instructions=417301 cache-misses=25
[sample=81] cpu=0 bench=fmref cycles=678315 instructions=417299 cache-misses=22
[sample=82] cpu=0 bench=fmref cycles=714252 instructions=417300 cache-misses=39
[sample=83] cpu=0 bench=fmref cycles=705227 instructions=417307 cache-misses=34
[sample=84] cpu=0 bench=fmref cycles=698426 instructions=417302 cache-misses=34
[sample=85] cpu=0 bench=fmref cycles=703769 instructions=417298 cache-misses=23
[sample=86] cpu=0 bench=fmref cycles=721976 instructions=417302 cache-misses=29
[sample=87] cpu=0 bench=fmref cycles=698937 instructions=417298 cache-misses=21
[sample=88] cpu=0 bench=fmref cycles=759783 instructions=417301 cache-misses=50
[sample=89] cpu=0 bench=fmref cycles=715124 instructions=417298 cache-misses=29
[sample=90] cpu=0 bench=fmref cycles=741099 instructions=417304 cache-misses=74
[sample=91] cpu=0 bench=fmref cycles=734081 instructions=417301 cache-misses=53
[sample=92] cpu=0 bench=fmref cycles=735365 instructions=417299 cache-misses=38
[sample=93] cpu=0 bench=fmref cycles=673856 instructions=417296 cache-misses=28
[sample=94] cpu=0 bench=fmref cycles=687160 instructions=417294 cache-misses=37
[sample=95] cpu=0 bench=fmref cycles=743499 instructions=417302 cache-misses=28
[sample=96] cpu=0 bench=fmref cycles=778801 instructions=417297 cache-misses=53
[sample=97] cpu=0 bench=fmref cycles=758485 instructions=417305 cache-misses=53
[sample=98] cpu=0 bench=fmref cycles=694901 instructions=417297 cache-misses=30
[sample=99] cpu=0 bench=fmref cycles=721754 instructions=417303 cache-misses=18

# Statistics over 100 samples on cpu0 bench=fmref (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      664998              1548079            764761.31            752221.50
  instructions                417294               454813            417675.98            417300.00
  cache-misses                    15                  129                55.41                53.00
