[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  (solo: all other cpus offlined)
[sample=73] cpu=0 bench=binarysearch cycles=1772 instructions=1257 cache-misses=1
[sample=74] cpu=0 bench=binarysearch cycles=1825 instructions=1257 cache-misses=0
[sample=75] cpu=0 bench=binarysearch cycles=1860 instructions=1257 cache-misses=1
[sample=76] cpu=0 bench=binarysearch cycles=1804 instructions=1257 cache-misses=0
[sample=77] cpu=0 bench=binarysearch cycles=1825 instructions=1257 cache-misses=1
[sample=78] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=1
[sample=79] cpu=0 bench=binarysearch cycles=1805 instructions=1257 cache-misses=1
[sample=80] cpu=0 bench=binarysearch cycles=1832 instructions=1257 cache-misses=1
[sample=81] cpu=0 bench=binarysearch cycles=1799 instructions=1257 cache-misses=2
[sample=82] cpu=0 bench=binarysearch cycles=1814 instructions=1257 cache-misses=3
[sample=83] cpu=0 bench=binarysearch cycles=1844 instructions=1257 cache-misses=1
[sample=84] cpu=0 bench=binarysearch cycles=1819 instructions=1257 cache-misses=0
[sample=85] cpu=0 bench=binarysearch cycles=1817 instructions=1258 cache-misses=1
[sample=86] cpu=0 bench=binarysearch cycles=1825 instructions=1257 cache-misses=0
[sample=87] cpu=0 bench=binarysearch cycles=1835 instructions=1257 cache-misses=0
[sample=88] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=1
[sample=89] cpu=0 bench=binarysearch cycles=1832 instructions=1257 cache-misses=1
[sample=90] cpu=0 bench=binarysearch cycles=1848 instructions=1257 cache-misses=0
[sample=91] cpu=0 bench=binarysearch cycles=1864 instructions=1257 cache-misses=1
[sample=92] cpu=0 bench=binarysearch cycles=1841 instructions=1257 cache-misses=2
[sample=93] cpu=0 bench=binarysearch cycles=1815 instructions=1257 cache-misses=1
[sample=94] cpu=0 bench=binarysearch cycles=1834 instructions=1257 cache-misses=0
