[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=73] cpu=0 bench=binarysearch cycles=1827 instructions=1257 cache-misses=3
[sample=74] cpu=0 bench=binarysearch cycles=1845 instructions=1257 cache-misses=1
[sample=75] cpu=0 bench=binarysearch cycles=1836 instructions=1257 cache-misses=4
[sample=76] cpu=0 bench=binarysearch cycles=1847 instructions=1257 cache-misses=4
[sample=77] cpu=0 bench=binarysearch cycles=1869 instructions=1258 cache-misses=1
[sample=78] cpu=0 bench=binarysearch cycles=1904 instructions=1258 cache-misses=2
[sample=79] cpu=0 bench=binarysearch cycles=1877 instructions=1258 cache-misses=2
[sample=80] cpu=0 bench=binarysearch cycles=1839 instructions=1258 cache-misses=1
[sample=81] cpu=0 bench=binarysearch cycles=1849 instructions=1258 cache-misses=1
[sample=82] cpu=0 bench=binarysearch cycles=1880 instructions=1258 cache-misses=1
[sample=83] cpu=0 bench=binarysearch cycles=1833 instructions=1258 cache-misses=3
[sample=84] cpu=0 bench=binarysearch cycles=1849 instructions=1258 cache-misses=1
[sample=85] cpu=0 bench=binarysearch cycles=1821 instructions=1258 cache-misses=2
[sample=86] cpu=0 bench=binarysearch cycles=1818 instructions=1258 cache-misses=2
[sample=87] cpu=0 bench=binarysearch cycles=1862 instructions=1258 cache-misses=3
[sample=88] cpu=0 bench=binarysearch cycles=1881 instructions=1258 cache-misses=3
[sample=89] cpu=0 bench=binarysearch cycles=1822 instructions=1257 cache-misses=2
[sample=90] cpu=0 bench=binarysearch cycles=1871 instructions=1258 cache-misses=1
[sample=91] cpu=0 bench=binarysearch cycles=1820 instructions=1258 cache-misses=1
[sample=92] cpu=0 bench=binarysearch cycles=1861 instructions=1258 cache-misses=1
[sample=93] cpu=0 bench=binarysearch cycles=1876 instructions=1258 cache-misses=3
[sample=94] cpu=0 bench=binarysearch cycles=1793 instructions=1257 cache-misses=2
[sample=95] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=1
[sample=96] cpu=0 bench=binarysearch cycles=1840 instructions=1258 cache-misses=4
[sample=97] cpu=0 bench=binarysearch cycles=1833 instructions=1258 cache-misses=4
[sample=98] cpu=0 bench=binarysearch cycles=1915 instructions=1258 cache-misses=4
[sample=99] cpu=0 bench=binarysearch cycles=1844 instructions=1258 cache-misses=2

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        1770                 8743              1960.34              1841.50
  instructions                  1257                 1264              1257.54              1257.00
  cache-misses                     0                   13                 2.32                 2.00
