[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=71] cpu=0 bench=fmref cycles=690637 instructions=417299 cache-misses=42
[sample=72] cpu=0 bench=fmref cycles=664784 instructions=417301 cache-misses=31
[sample=73] cpu=0 bench=fmref cycles=691124 instructions=417302 cache-misses=36
[sample=74] cpu=0 bench=fmref cycles=805670 instructions=417303 cache-misses=82
[sample=75] cpu=0 bench=fmref cycles=750980 instructions=417299 cache-misses=66
[sample=76] cpu=0 bench=fmref cycles=709782 instructions=417303 cache-misses=36
[sample=77] cpu=0 bench=fmref cycles=679732 instructions=417296 cache-misses=41
[sample=78] cpu=0 bench=fmref cycles=822119 instructions=417315 cache-misses=102
[sample=79] cpu=0 bench=fmref cycles=794361 instructions=417315 cache-misses=99
[sample=80] cpu=0 bench=fmref cycles=864768 instructions=417310 cache-misses=99
[sample=81] cpu=0 bench=fmref cycles=681049 instructions=417299 cache-misses=80
[sample=82] cpu=0 bench=fmref cycles=723700 instructions=417308 cache-misses=70
[sample=83] cpu=0 bench=fmref cycles=725341 instructions=417303 cache-misses=68
[sample=84] cpu=0 bench=fmref cycles=702904 instructions=417306 cache-misses=64
[sample=85] cpu=0 bench=fmref cycles=776068 instructions=417303 cache-misses=57
[sample=86] cpu=0 bench=fmref cycles=718934 instructions=417300 cache-misses=57
[sample=87] cpu=0 bench=fmref cycles=703035 instructions=417307 cache-misses=87
