config,adpcm_dec,binarysearch,fir2dim,fmref,iir,insertsort
S_CACHE,1.0009,1.0663,1.0278,1.0009,0.9916,0.9999
S_BUS,1.0012,0.9997,0.9972,1.0006,0.9812,1.0482
S_MEM,1.0057,1.1721,1.0697,1.0052,1.0188,1.1218
S_POINTER,1.0020,1.0676,1.0287,1.0016,1.0381,1.0607
S_PIPELINE,1.0011,1.0655,1.0319,1.0006,1.0155,1.0404
P_CACHE_BUS,1.0014,0.9978,1.0075,1.0007,1.0031,1.0422
P_CACHE_MEM,1.0071,1.1576,1.0100,1.0046,1.0837,1.1170
P_CACHE_POINT,1.0014,1.0733,1.0301,1.0014,1.0031,0.9931
P_CACHE_PIPE,0.9995,1.0668,0.9923,1.0005,1.0264,0.9914
P_BUS_MEM,1.0093,1.2586,1.0019,1.0086,1.0232,1.1218
P_BUS_POINT,1.0017,0.9943,1.0019,1.0057,1.0117,1.0395
P_BUS_PIPE,1.0008,0.9987,1.0271,1.0006,1.0269,1.0005
P_MEM_POINT,1.0038,1.1891,1.0694,1.0059,1.0023,1.1389
P_MEM_PIPE,1.0029,1.0585,1.0322,1.0065,0.9966,1.1323
P_POINT_PIPE,1.0012,1.0005,1.0039,1.0003,1.0215,1.0407
P_CACHE_x2,0.9995,1.0843,1.0019,1.0007,1.0230,1.0038
P_BUS_x2,1.0013,1.0458,1.0337,1.0011,1.0227,0.9961
P_MEM_x2,1.0184,1.3974,1.0330,1.0101,1.1909,1.2891
T_CACHE_BUS_MEM,1.0162,1.2815,1.0885,1.0166,1.1463,1.0636
T_CACHE_BUS_POINT,1.0022,1.0617,1.0260,1.0097,1.0281,1.0580
T_CACHE_BUS_PIPE,0.9999,1.0638,1.0295,1.0008,1.0238,0.9911
T_CACHE_MEM_POINT,1.0109,1.2249,1.0570,1.0033,1.1149,1.1980
T_CACHE_MEM_PIPE,1.0070,1.1444,1.0599,1.0052,1.0842,1.1280
T_CACHE_POINT_PIPE,1.0030,1.0657,1.0296,1.0026,1.0431,1.0594
T_BUS_MEM_POINT,1.0165,1.0501,1.0517,1.0163,1.1326,1.1785
T_BUS_MEM_PIPE,1.0117,1.1619,1.0689,1.0096,1.0982,1.1727
T_BUS_POINT_PIPE,1.0017,1.0560,1.0277,1.0048,1.0178,1.0563
T_MEM_POINT_PIPE,1.0230,1.2096,1.0749,1.0038,1.0998,1.1510
T_CACHE_x2_BUS,0.9997,1.0038,1.0277,1.0017,1.0261,1.0483
T_CACHE_x2_MEM,1.0082,1.2196,1.0684,1.0050,1.1048,1.1373
T_CACHE_x2_POINT,1.0003,0.9793,1.0328,1.0060,1.0195,1.0093
T_CACHE_x2_PIPE,1.0017,1.0700,1.0295,1.0009,1.0170,0.9964
T_BUS_x2_CACHE,1.0000,1.0593,1.0283,1.0021,1.0245,1.0499
T_MEM_x2_CACHE,1.0212,1.5326,1.1376,1.0108,1.2483,1.3232
T_BUS_x2_MEM,1.0620,1.2980,1.0800,1.1904,1.0302,1.2255
T_CACHE_x3,1.0012,1.0814,1.0260,1.0043,1.0227,1.0555
T_BUS_x3,1.0018,1.0657,1.0254,1.0020,1.0221,1.0588
T_MEM_x3,1.0376,1.7939,1.0962,1.0189,1.3873,1.6429
