board,source,records,violations,deadline_misses,shield_recovered,max_ratio,rho_safe_min,source_path
imx8mm,E4,4,1,,,1.003,1.003,/home/gjh/CRISP/experiments/data/processed/e4_safety_histogram.csv
imx8mm,E7,4,,1,0,1.002952355,1.002952355,/home/gjh/CRISP/experiments/data/processed/e7_case_study.csv
