board,bench,pair,q,sample_count,C_solo,C_a,C_b,C_pair,slowdown_a,slowdown_b,slowdown_pair,delta_a,delta_b,delta_pair,delta_pos_a,delta_pos_b,additive_violation,dominant_amplification,verdict,source_solo,source_a,source_b,source_pair
imx8mm,st,LLC+BUS,p99,1000,321977,324127,372792,681633,1.006677496,1.157821832,2.117023887,2150,50815,359656,2150,50815,6.790446521,7.077752632,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/st__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__LLC+BUS.txt
imx8mm,binarysearch,LLC+MEM,p99,1000,1957,2247,2652,5233,1.148185999,1.355135411,2.673990802,290,695,3276,290,695,3.325888325,4.713669065,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/binarysearch__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__LLC+MEM.txt
imx8mm,cjpeg_wrbmp,LLC+BUS,p99,1000,267652,271403,320543,415577,1.014014467,1.197611077,1.55267661,3751,52891,147925,3751,52891,2.611577981,2.796789624,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_wrbmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__LLC+BUS.txt
imx8mm,adpcm_enc,LLC+BUS,p99,1000,307687,311879,453183,669775,1.013624235,1.472870157,2.1768063,4192,145496,362088,4192,145496,2.418951419,2.488645736,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__LLC+BUS.txt
imx8mm,bsort,LLC+BUS,p99,1000,357855,364081,385809,433168,1.017398108,1.078115438,1.210456749,6226,27954,75313,6226,27954,2.203423054,2.694176147,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__LLC+BUS.txt
imx8mm,st,BUS+MEM,p99,1000,321977,372792,329419,437760,1.157821832,1.023113452,1.35960022,50815,7442,115783,50815,7442,1.987452152,2.278520122,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/st__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__BUS+MEM.txt
imx8mm,cover,LLC+BUS,p99,1000,6130,6300,28369,47125,1.027732463,4.627895595,7.687601958,170,22239,40995,170,22239,1.829398902,1.843383246,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cover__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cover__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cover__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cover__LLC+BUS.txt
imx8mm,bsort,BUS+MEM,p99,1000,357855,385809,376218,440483,1.078115438,1.05131408,1.230897989,27954,18363,82628,27954,18363,1.78396701,2.955856049,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS+MEM.txt
imx8mm,bitcount,LLC+MEM,p99,1000,30489,31527,31505,33997,1.034045065,1.033323494,1.11505789,1038,1016,3508,1038,1016,1.70788705,3.379576108,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitcount__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__LLC+MEM.txt
imx8mm,lms,LLC+BUS,p99,1000,460920,469968,546897,619760,1.019630305,1.186533455,1.344615118,9048,85977,158840,9048,85977,1.671560116,1.847470835,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lms__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__LLC+BUS.txt
imx8mm,adpcm_dec,LLC+BUS,p99,1000,315483,326270,549058,705461,1.034192017,1.740372698,2.236129997,10787,233575,389978,10787,233575,1.5959028,1.669605052,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__LLC+BUS.txt
imx8mm,fir2dim,LLC+BUS,p99,1000,13168,13210,29286,38091,1.00318955,2.224027947,2.892694411,42,16118,24923,42,16118,1.542264851,1.546283658,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fir2dim__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__LLC+BUS.txt
imx8mm,fft,LLC+BUS,p99,1000,975442,1031682,1370892,1512107,1.057655914,1.40540596,1.550176228,56240,395450,536665,56240,395450,1.188126813,1.357099507,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fft__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__LLC+BUS.txt
imx8mm,adpcm_enc,BUS+MEM,p99,1000,307687,453183,319051,490786,1.472870157,1.036933637,1.595082015,145496,11364,183099,145496,11364,1.167276552,1.258446968,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__BUS+MEM.txt
imx8mm,petrinet,LLC+BUS,p99,1000,3785,5063,75689,87863,1.337648613,19.99709379,23.21347424,1278,71904,84078,1278,71904,1.148889071,1.169309079,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/petrinet__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__LLC+BUS.txt
imx8mm,bitcount,LLC+BUS,p99,1000,30489,31527,59694,65099,1.034045065,1.957886451,2.135163502,1038,29205,34610,1038,29205,1.144397051,1.185071049,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitcount__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__LLC+BUS.txt
imx8mm,insertsort,LLC+BUS,p99,1000,4359,4426,14381,15824,1.015370498,3.299151181,3.630190411,67,10022,11465,67,10022,1.136386163,1.143983237,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/insertsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__LLC+BUS.txt
imx8mm,fmref,LLC+BUS,p99,1000,654551,716054,997324,1111133,1.093962121,1.523676536,1.697549924,61503,342773,456582,61503,342773,1.129381907,1.332024401,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fmref__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fmref__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fmref__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fmref__LLC+BUS.txt
imx8mm,huff_enc,LLC+BUS,p99,1000,1491238,1563941,2022237,2124769,1.048753452,1.356079311,1.424835606,72703,530999,633531,72703,530999,1.049410139,1.193092642,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/huff_enc__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__LLC+BUS.txt
imx8mm,countnegative,LLC+BUS,p99,1000,33974,34567,50140,50486,1.017454524,1.475834462,1.48601872,593,16166,16512,593,16166,0.9852616505,1.021402944,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/countnegative__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/countnegative__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/countnegative__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/countnegative__LLC+BUS.txt
imx8mm,isqrt,LLC+BUS,p99,1000,1433888,1454569,1574692,1587883,1.014423023,1.098197349,1.107396812,20681,140804,153995,20681,140804,0.9536179831,1.093683418,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/isqrt__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__LLC+BUS.txt
imx8mm,cjpeg_transupp,LLC+BUS,p99,1000,7182046,7259592,7755863,7778884,1.010797202,1.079896035,1.083101389,77546,573817,596838,77546,573817,0.9162909161,1.040119062,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_transupp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_transupp__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_transupp__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_transupp__LLC+BUS.txt
imx8mm,ludcmp,LLC+MEM,p99,1000,10890,11924,12034,12863,1.094949495,1.105050505,1.18117539,1034,1144,1973,1034,1144,0.9058769513,1.72465035,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ludcmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ludcmp__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ludcmp__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ludcmp__LLC+MEM.txt
imx8mm,h264_dec,LLC+BUS,p99,1000,522915,563798,1016574,1006620,1.078182879,1.944052093,1.925016494,40883,493659,483705,40883,493659,0.9048961541,0.9798362838,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/h264_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/h264_dec__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/h264_dec__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/h264_dec__LLC+BUS.txt
imx8mm,bitonic,LLC+BUS,p99,1000,22111,22952,29781,29721,1.038035367,1.346886165,1.344172584,841,7670,7610,841,7670,0.8941369992,0.9921773142,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitonic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitonic__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitonic__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitonic__LLC+BUS.txt
imx8mm,pm,LLC+BUS,p99,1000,21245966,21452812,21907930,22013235,1.009735778,1.031157162,1.036113632,206846,661964,767269,206846,661964,0.8831263452,1.159079648,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/pm__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/pm__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/pm__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/pm__LLC+BUS.txt
imx8mm,rad2deg,LLC+BUS,p99,1000,17221,17754,23855,23542,1.030950584,1.385227339,1.367051855,533,6634,6321,533,6634,0.8819589787,0.9528188122,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/rad2deg__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/rad2deg__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/rad2deg__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/rad2deg__LLC+BUS.txt
imx8mm,statemate,LLC+BUS,p99,1000,106518,111915,212544,203011,1.050667493,1.995381062,1.905884451,5397,106026,96493,5397,106026,0.8660061208,0.9100880916,OK,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/statemate__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/statemate__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/statemate__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/statemate__LLC+BUS.txt
