board,bench,q,sample_count,C_solo,C_mix,slowdown_mix,delta_mix,strongest_single_delta,a_mix,prop2_ceiling,ceiling_headroom,source_solo,source_mix
imx8mm,sha,p99,1000,5419481,5990578,1.105378541,571097,788162,0.7245934211,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/sha__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/sha__mix.txt
imx8mm,susan,p99,1000,78833825,79837158,1.012727189,1003333,1385506,0.7241635908,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/susan__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/susan__mix.txt
imx8mm,mpeg2,p99,1000,565844971,583163274,1.030606092,17318303,23920921,0.723981447,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/mpeg2__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/mpeg2__mix.txt
imx8mm,deg2rad,p99,1000,17266,21624,1.252403568,4358,6057,0.7194981014,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/deg2rad__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/deg2rad__mix.txt
imx8mm,cjpeg_transupp,p99,1000,7182046,7593764,1.057326004,411718,573817,0.717507498,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_transupp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_transupp__mix.txt
imx8mm,quicksort,p99,1000,6007896,6868732,1.143284105,860836,1202927,0.7156178222,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/quicksort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/quicksort__mix.txt
imx8mm,fmref,p99,1000,654551,896051,1.368955207,241500,342773,0.7045479078,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fmref__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fmref__mix.txt
imx8mm,epic,p99,1000,5519893,6188603,1.121145464,668710,953304,0.7014656395,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/epic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/epic__mix.txt
imx8mm,gsm_dec,p99,1000,3737120,4257370,1.139211478,520250,742176,0.7009792825,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/gsm_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/gsm_dec__mix.txt
imx8mm,filterbank,p99,1000,15598199,15935718,1.021638331,337519,488300,0.6912123694,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/filterbank__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/filterbank__mix.txt
imx8mm,bitonic,p99,1000,22111,26956,1.219121704,4845,7670,0.6316818774,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitonic__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitonic__mix.txt
imx8mm,binarysearch,p99,1000,1957,6156,3.145631068,4199,6657,0.6307646087,,,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/binarysearch__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/binarysearch__mix.txt
