board,bench,q,best_channel,C_solo,C_best,slowdown_best,delta_best,source_solo,source_best
imx8mm,petrinet,p99,BUS,3785,75689,19.99709379,71904,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/petrinet__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__BUS.txt
imx8mm,prime,p99,BUS,1106,13586,12.28390597,12480,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/prime__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/prime__BUS.txt
imx8mm,fac,p99,BUS,837,8499,10.15412186,7662,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fac__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fac__BUS.txt
imx8mm,minver,p99,BUS,6663,56747,8.516734204,50084,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/minver__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/minver__BUS.txt
imx8mm,ludcmp,p99,BUS,10890,50835,4.668044077,39945,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ludcmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ludcmp__BUS.txt
imx8mm,cover,p99,BUS,6130,28369,4.627895595,22239,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cover__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cover__BUS.txt
imx8mm,binarysearch,p99,BUS,1957,8614,4.401635156,6657,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/binarysearch__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__BUS.txt
imx8mm,complex_updates,p99,BUS,3660,15661,4.278961749,12001,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/complex_updates__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/complex_updates__BUS.txt
imx8mm,jfdctint,p99,BUS,8550,33869,3.96128655,25319,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/jfdctint__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/jfdctint__BUS.txt
imx8mm,iir,p99,BUS,3584,12815,3.575613839,9231,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/iir__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/iir__BUS.txt
imx8mm,duff,p99,BUS,4835,16657,3.445087901,11822,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/duff__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/duff__BUS.txt
imx8mm,insertsort,p99,BUS,4359,14381,3.299151181,10022,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/insertsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__BUS.txt
imx8mm,cosf,p99,BUS,31333,83293,2.658315514,51960,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cosf__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cosf__BUS.txt
imx8mm,fir2dim,p99,BUS,13168,29286,2.224027947,16118,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fir2dim__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__BUS.txt
imx8mm,recursion,p99,BUS,4509,10013,2.220669772,5504,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/recursion__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/recursion__BUS.txt
imx8mm,statemate,p99,BUS,106518,212544,1.995381062,106026,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/statemate__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/statemate__BUS.txt
imx8mm,bitcount,p99,BUS,30489,59694,1.957886451,29205,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitcount__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__BUS.txt
imx8mm,h264_dec,p99,BUS,522915,1016574,1.944052093,493659,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/h264_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/h264_dec__BUS.txt
imx8mm,adpcm_dec,p99,BUS,315483,549058,1.740372698,233575,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_dec__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__BUS.txt
imx8mm,matrix1,p99,BUS,20737,34086,1.643728601,13349,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/matrix1__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/matrix1__BUS.txt
imx8mm,ndes,p99,BUS,105844,163234,1.542213068,57390,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ndes__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ndes__BUS.txt
imx8mm,fmref,p99,BUS,654551,997324,1.523676536,342773,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fmref__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fmref__BUS.txt
