board,bench,source_file,compiled,run_ok,pmu_ok,included,reason_if_excluded
imx8mm,adpcm_dec,bench/bench,true,true,true,true,
imx8mm,adpcm_enc,bench/bench,true,true,true,true,
imx8mm,ammunition,bench/bench,true,true,true,true,
imx8mm,audiobeam,bench/bench,true,true,true,true,
imx8mm,binarysearch,bench/bench,true,true,true,true,
imx8mm,bitcount,bench/bench,true,true,true,true,
imx8mm,bitonic,bench/bench,true,true,true,true,
imx8mm,bsort,bench/bench,true,true,true,true,
imx8mm,cjpeg_transupp,bench/bench,true,true,true,true,
imx8mm,cjpeg_wrbmp,bench/bench,true,true,true,true,
imx8mm,complex_updates,bench/bench,true,true,true,true,
imx8mm,cosf,bench/bench,true,true,true,true,
imx8mm,countnegative,bench/bench,true,true,true,true,
imx8mm,cover,bench/bench,true,true,true,true,
imx8mm,cubic,bench/bench,true,true,true,true,
imx8mm,deg2rad,bench/bench,true,true,true,true,
imx8mm,dijkstra,bench/bench,true,true,true,true,
imx8mm,duff,bench/bench,true,true,true,true,
imx8mm,epic,bench/bench,true,true,true,true,
imx8mm,fac,bench/bench,true,true,true,true,
imx8mm,fft,bench/bench,true,true,true,true,
imx8mm,filterbank,bench/bench,true,true,true,true,
imx8mm,fir2dim,bench/bench,true,true,true,true,
imx8mm,fmref,bench/bench,true,true,true,true,
imx8mm,g723_enc,bench/bench,true,true,true,true,
imx8mm,gsm_dec,bench/bench,true,true,true,true,
imx8mm,gsm_enc,bench/bench,true,true,true,true,
imx8mm,h264_dec,bench/bench,true,true,true,true,
imx8mm,huff_dec,bench/bench,true,true,true,true,
imx8mm,huff_enc,bench/bench,true,true,true,true,
imx8mm,iir,bench/bench,true,true,true,true,
imx8mm,insertsort,bench/bench,true,true,true,true,
imx8mm,isqrt,bench/bench,true,true,true,true,
imx8mm,jfdctint,bench/bench,true,true,true,true,
imx8mm,lift,bench/bench,true,true,true,true,
imx8mm,lms,bench/bench,true,true,true,true,
imx8mm,ludcmp,bench/bench,true,true,true,true,
imx8mm,matrix1,bench/bench,true,true,true,true,
imx8mm,md5,bench/bench,true,true,true,true,
imx8mm,minver,bench/bench,true,true,true,true,
imx8mm,mpeg2,bench/bench,true,true,true,true,
imx8mm,ndes,bench/bench,true,true,true,true,
imx8mm,petrinet,bench/bench,true,true,true,true,
imx8mm,pm,bench/bench,true,true,true,true,
imx8mm,powerwindow,bench/bench,true,true,true,true,
imx8mm,prime,bench/bench,true,true,true,true,
imx8mm,quicksort,bench/bench,true,true,true,true,
imx8mm,rad2deg,bench/bench,true,true,true,true,
imx8mm,recursion,bench/bench,true,true,true,true,
imx8mm,rijndael_dec,bench/bench,true,true,true,true,
imx8mm,rijndael_enc,bench/bench,true,true,true,true,
imx8mm,sha,bench/bench,true,true,true,true,
imx8mm,st,bench/bench,true,true,true,true,
imx8mm,statemate,bench/bench,true,true,true,true,
imx8mm,susan,bench/bench,true,true,true,true,
imx8mm,test3,bench/bench,true,true,true,true,
