board,bench,pair,q,sample_count,C_solo,C_a,C_b,C_pair,slowdown_a,slowdown_b,slowdown_pair,delta_a,delta_b,delta_pair,delta_pos_a,delta_pos_b,additive_violation,dominant_amplification,verdict,source_solo,source_a,source_b,source_pair
imx8mm,st,LLC+BUS,max,1000,329985,334641,447035,935910,1.014109732,1.354713093,2.836219828,4656,117050,605925,4656,117050,4.978595961,5.176633917,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/st__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/st__LLC+BUS.txt
imx8mm,fir2dim,LLC+BUS,max,1000,24536,22758,59456,193640,0.9275350505,2.423214868,7.892076948,-1778,34920,169104,0,34920,4.842611684,4.842611684,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fir2dim__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fir2dim__LLC+BUS.txt
imx8mm,cjpeg_wrbmp,LLC+BUS,max,1000,279041,290101,391768,800997,1.039635752,1.40398006,2.870535154,11060,112727,521956,11060,112727,4.216565552,4.630266041,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_wrbmp__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_wrbmp__LLC+BUS.txt
imx8mm,bsort,LLC+BUS,max,1000,362377,377643,447936,766288,1.042127398,1.23610494,2.114615442,15266,85559,403911,15266,85559,4.006060005,4.720847602,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__LLC+BUS.txt
imx8mm,minver,LLC+BUS,max,1000,20718,30489,100455,367577,1.471618882,4.848682305,17.74191524,9771,79737,346859,9771,79737,3.875173169,4.350038251,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/minver__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/minver__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/minver__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/minver__LLC+BUS.txt
imx8mm,bsort,BUS+MEM,max,1000,362377,447936,399725,680160,1.23610494,1.103063936,1.876940314,85559,37348,317783,85559,37348,2.585556559,3.714197221,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__MEM.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bsort__BUS+MEM.txt
imx8mm,bitcount,LLC+BUS,max,1000,44169,55147,124272,243682,1.24854536,2.81355702,5.517036836,10978,80103,199513,10978,80103,2.190500763,2.490705716,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitcount__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitcount__LLC+BUS.txt
imx8mm,insertsort,LLC+BUS,max,1000,12196,16088,50689,99639,1.319121023,4.156198754,8.169809774,3892,38493,87443,3892,38493,2.063064763,2.271659782,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/insertsort__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/insertsort__LLC+BUS.txt
imx8mm,lms,LLC+BUS,max,1000,469612,493309,734825,1001844,1.050460806,1.564749197,2.133344122,23697,265213,532232,23697,265213,1.842206916,2.006809621,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lms__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lms__LLC+BUS.txt
imx8mm,lift,LLC+BUS,max,1000,1411379,1476460,1697081,2050938,1.04611164,1.202427555,1.453144761,65081,285702,639559,65081,285702,1.823232597,2.238552758,violation,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/lift__solo.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__LLC.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__BUS.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/lift__LLC+BUS.txt
