board,bench,q,sample_count,a_mix,max_pair_dominant,max_pair,a_amp,source,C_solo,C_mix,source_mix,source_pair
imx8mm,cosf,max,1000,1.9846765745130417,1.606491593,BUS+MEM,1.9846765745130417,mix,42155,153930,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cosf__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cosf__BUS+MEM.txt
imx8mm,gsm_enc,max,1000,1.0,1.970120416,LLC+MEM,1.970120416,pair,12294951,16191956,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/gsm_enc__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/gsm_enc__LLC+MEM.txt
imx8mm,binarysearch,max,1000,1.0,1.927293545,LLC+BUS,1.927293545,pair,6727,18141,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/binarysearch__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/binarysearch__LLC+BUS.txt
imx8mm,isqrt,max,1000,1.2961381877399092,1.687301772,LLC+BUS,1.687301772,pair,1439124,1773411,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/isqrt__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/isqrt__LLC+BUS.txt
imx8mm,adpcm_enc,max,1000,1.0,1.41672022,LLC+BUS,1.41672022,pair,335098,629840,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_enc__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_enc__LLC+BUS.txt
imx8mm,petrinet,max,1000,1.0,1.412050097,LLC+BUS,1.412050097,pair,28139,126520,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/petrinet__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/petrinet__LLC+BUS.txt
imx8mm,pm,max,1000,1.0,1.370329389,LLC+MEM,1.370329389,pair,21303042,22347846,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/pm__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/pm__LLC+MEM.txt
imx8mm,cubic,max,1000,1.0,1.365263409,LLC+MEM,1.365263409,pair,2158492,2902109,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cubic__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cubic__LLC+MEM.txt
imx8mm,rad2deg,max,1000,1.0,1.360265149,LLC+BUS,1.360265149,pair,21901,26128,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/rad2deg__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/rad2deg__LLC+BUS.txt
imx8mm,md5,max,1000,1.0,1.312226562,LLC+BUS,1.312226562,pair,35973759,36667776,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/md5__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/md5__LLC+BUS.txt
imx8mm,dijkstra,max,1000,1.0,1.303282475,LLC+BUS,1.303282475,pair,108902640,115284708,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/dijkstra__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/dijkstra__LLC+BUS.txt
imx8mm,ammunition,max,1000,1.0,1.283711494,LLC+BUS,1.283711494,pair,229255233,231870366,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/ammunition__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/ammunition__LLC+BUS.txt
imx8mm,cover,max,1000,1.0,1.232914208,LLC+BUS,1.232914208,pair,22938,69555,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cover__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cover__LLC+BUS.txt
imx8mm,powerwindow,max,1000,1.0,1.138379154,LLC+MEM,1.138379154,pair,2936366,3932368,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/powerwindow__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/powerwindow__LLC+MEM.txt
imx8mm,cjpeg_transupp,max,1000,1.0,1.135281687,LLC+BUS,1.135281687,pair,7197516,7672744,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/cjpeg_transupp__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/cjpeg_transupp__LLC+BUS.txt
imx8mm,gsm_dec,max,1000,1.0,1.092836927,LLC+MEM,1.092836927,pair,3777403,4518730,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/gsm_dec__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/gsm_dec__LLC+MEM.txt
imx8mm,recursion,max,1000,1.0,1.060635601,LLC+BUS,1.060635601,pair,7899,15382,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/recursion__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/recursion__LLC+BUS.txt
imx8mm,fft,max,1000,1.0,1.052977003,LLC+BUS,1.052977003,pair,993177,1562123,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/fft__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/fft__LLC+BUS.txt
imx8mm,filterbank,max,1000,1.0,1.034056433,LLC+BUS,1.034056433,pair,15617877,15976533,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/filterbank__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/filterbank__LLC+BUS.txt
imx8mm,h264_dec,max,1000,1.0,1.02249641,LLC+BUS,1.02249641,pair,541566,1158429,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/h264_dec__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/h264_dec__LLC+BUS.txt
imx8mm,huff_enc,max,1000,1.0,1.021108038,LLC+BUS,1.021108038,pair,1513598,2191520,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/huff_enc__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/huff_enc__LLC+BUS.txt
imx8mm,complex_updates,max,1000,1.0,1.012198449,BUS+MEM,1.012198449,pair,8261,28417,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/complex_updates__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/complex_updates__BUS+MEM.txt
imx8mm,adpcm_dec,max,1000,1.0,1.0,LLC+BUS,1.0,pair,340665,674624,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/adpcm_dec__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/adpcm_dec__LLC+BUS.txt
imx8mm,bitonic,max,1000,1.0,1.0,LLC+MEM,1.0,pair,32888,44545,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e23/bitonic__mix.txt,paper_runs/imx8mm/imx8mm_20260520_sat3_paper/results_manual/e24/bitonic__LLC+MEM.txt
