sample,checkpoint_ns,predicate_ns,signal_ns,yield_ns,budget_update_ns,total_ns
153,125,375,5375,1625,1500,9000
154,125,375,5375,1750,1500,9125
155,125,375,5375,1750,1625,9250
156,125,375,5375,1625,1500,9000
157,0,375,5500,1750,1500,9125
158,125,375,5375,1625,1500,9000
159,125,375,5250,1750,1500,9000
160,125,500,5250,1625,1500,9000
161,125,375,5375,1625,1500,9000
162,0,375,5500,1625,1500,9000
163,125,500,5375,1750,1500,9250
164,125,375,5375,1750,1500,9125
165,125,375,5375,1750,1500,9125
166,125,500,5500,1625,1625,9375
167,125,375,5250,1625,1500,8875
168,125,375,5375,1750,1500,9125
169,125,375,5375,1750,1500,9125
170,125,375,5375,1750,1500,9125
171,125,375,5375,1750,1500,9125
172,125,375,5375,1750,1500,9125
173,125,375,5375,1625,1500,9000
174,0,375,5500,1750,1500,9125
175,125,375,5250,1625,1500,8875
176,125,375,5375,1625,1500,9000
177,125,500,5375,1750,1500,9250
178,125,375,5375,1750,1500,9125
179,125,500,5250,1625,1625,9125
180,0,375,5500,1750,1500,9125
181,125,375,5375,1625,1500,9000
182,125,500,5375,1625,1500,9125
183,125,375,5375,1750,1625,9250
184,0,375,5375,1625,1500,8875
185,0,375,5375,1625,1500,8875
186,125,375,5375,1750,1500,9125
187,0,375,5250,1625,1500,8750
188,125,375,5375,1625,1500,9000
189,0,375,5375,1625,1500,8875
190,125,375,5375,1625,1500,9000
191,125,375,5250,1625,1500,8875
192,125,375,5375,1625,1500,9000
193,125,375,5500,1625,1500,9125
194,125,500,5250,1750,1500,9125
195,125,375,5375,1625,1500,9000
196,125,375,5250,1750,1500,9000
197,125,375,5250,1625,1500,8875
198,125,375,5375,1750,1500,9125
199,125,375,5375,1750,1625,9250
200,125,375,5250,1625,1500,8875
201,125,375,5375,1750,1500,9125
202,125,375,5375,1625,1625,9125
203,0,375,5375,1750,1625,9125
204,125,375,5375,1625,1500,9000
205,125,375,5375,1625,1500,9000
206,125,500,5375,1625,1500,9125
207,125,375,5375,1625,1500,9000
208,125,500,5375,1625,1500,9125
209,125,375,5250,1625,1500,8875
210,125,375,5375,1625,1500,9000
211,0,375,5500,1750,1500,9125
212,125,375,5250,1625,1625,9000
213,125,375,5250,1625,1500,8875
214,125,375,5375,1750,1500,9125
215,125,375,5250,1625,1500,8875
216,125,375,5375,1625,1500,9000
217,125,375,5375,1500,1500,8875
218,125,375,5375,1750,1625,9250
219,0,375,5375,1625,1500,8875
220,125,375,5375,1750,1625,9250
221,0,375,5375,1625,1500,8875
222,125,375,5375,1750,1500,9125
223,125,375,5375,1625,1500,9000
224,125,375,5375,1750,1500,9125
225,125,375,5375,1625,1500,9000
226,125,375,5250,1625,1500,8875
227,125,375,5375,1625,1500,9000
228,125,375,5375,1625,1500,9000
229,125,375,5375,1750,1500,9125
230,125,375,5500,1750,1625,9375
231,125,375,5250,1625,1500,8875
232,125,375,5375,1625,1500,9000
233,125,375,5250,1625,1500,8875
234,125,375,5375,1625,1500,9000
235,125,375,5250,1625,1375,8750
236,125,500,5250,1625,1500,9000
237,125,375,5375,1625,1500,9000
238,125,375,5250,1625,1500,8875
239,125,375,5250,1750,1500,9000
240,125,375,5375,1625,1500,9000
241,125,375,5375,1625,1500,9000
242,125,500,5375,1750,1500,9250
243,125,375,5250,1625,1500,8875
244,125,375,5250,1625,1500,8875
245,125,375,5250,1750,1625,9125
246,125,375,5500,1625,1500,9125
247,125,375,5375,1750,1625,9250
248,125,375,5250,1750,1500,9000
249,125,375,5250,1750,1625,9125
250,125,375,5375,1625,1500,9000
251,125,375,5250,1625,1500,8875
252,125,375,5250,1625,1625,9000
253,0,375,5375,1750,1500,9000
254,0,375,5375,1625,1500,8875
255,125,375,5375,1625,1500,9000
256,125,375,5375,1625,1500,9000
257,125,375,5375,1625,1500,9000
258,125,375,5250,1625,1375,8750
259,125,375,5375,1625,1500,9000
260,125,375,5875,1750,1625,9750
261,125,375,5500,1625,1500,9125
262,125,375,5375,1750,1500,9125
263,125,375,5375,1625,1500,9000
264,0,375,5500,1750,1500,9125
265,125,375,5250,1750,1500,9000
266,125,375,5250,1625,1500,8875
267,125,375,5375,1750,1625,9250
268,0,375,5375,1625,1500,8875
269,125,375,5500,1625,1500,9125
270,125,375,5250,1625,1500,8875
271,125,375,5375,1625,1500,9000
272,125,375,5250,1750,1500,9000
273,125,375,5375,1625,1625,9125
274,125,375,5375,1625,1500,9000
275,125,375,5250,1625,1500,8875
276,125,375,5375,1750,1625,9250
277,0,375,5375,1750,1625,9125
278,125,375,5250,1625,1500,8875
279,125,375,5375,1625,1500,9000
280,125,375,5250,1625,1625,9000
281,125,375,5375,1625,1625,9125
282,125,500,5375,1750,1500,9250
283,125,375,5250,1625,1500,8875
284,125,375,5250,1625,1500,8875
285,125,375,5375,1625,1500,9000
286,125,375,5375,1750,1625,9250
287,125,375,5375,1625,1500,9000
288,0,375,5500,1625,1500,9000
289,125,375,5250,1750,1500,9000
290,125,375,5375,1625,1625,9125
291,125,375,5375,1750,1500,9125
292,125,375,5375,1750,1625,9250
293,125,375,5375,1625,1500,9000
294,125,375,5375,1625,1500,9000
295,125,375,5375,1750,1500,9125
296,125,500,5250,1750,1625,9250
297,0,375,5375,1625,1500,8875
298,125,375,5250,1625,1500,8875
299,125,375,5375,1625,1500,9000
300,125,375,5375,1625,1625,9125
301,125,375,5375,1750,1500,9125
302,125,375,5500,1625,1500,9125
303,125,375,5375,1625,1500,9000
304,125,375,5250,1625,1500,8875
305,125,375,5250,1750,1625,9125
306,125,375,5375,1625,1500,9000
307,125,375,5250,1625,1500,8875
308,125,375,5250,1625,1500,8875
309,125,375,5375,1625,1500,9000
310,0,375,5375,1750,1625,9125
311,125,375,5250,1625,1500,8875
312,125,375,5375,1750,1500,9125
313,125,375,5375,1625,1500,9000
314,125,375,5125,1625,1500,8750
315,125,375,5375,1750,1500,9125
316,125,375,5375,1750,1625,9250
317,125,500,5375,1625,1500,9125
318,125,375,5375,1625,1500,9000
319,125,375,5375,1625,1500,9000
320,125,375,5500,1750,1625,9375
321,0,375,5250,1625,1500,8750
322,125,375,5375,1625,1500,9000
323,125,375,5375,1750,1500,9125
324,125,500,5375,1750,1625,9375
325,125,375,5375,1625,1500,9000
326,125,500,5375,1625,1500,9125
327,0,375,5375,1625,1500,8875
328,125,375,5375,1750,1500,9125
329,0,375,5375,1625,1500,8875
330,0,375,5250,1750,1500,8875
331,125,375,5375,1750,1500,9125
332,125,375,5375,1625,1625,9125
333,125,375,5250,1625,1500,8875
334,125,500,5375,1625,1500,9125
335,0,375,5500,1750,1500,9125
336,125,375,5375,1750,1500,9125
337,125,500,5375,1625,1500,9125
338,0,375,5375,1625,1625,9000
339,125,375,5375,1625,1500,9000
340,125,375,5250,1750,1625,9125
341,125,375,5375,1750,1625,9250
342,125,375,5375,1750,1500,9125
343,125,375,5375,1625,1500,9000
344,125,375,5250,1625,1500,8875
345,125,375,5375,1625,1500,9000
346,0,375,5250,1625,1625,8875
347,125,375,5375,1750,1500,9125
348,125,375,5375,1750,1625,9250
349,125,375,5375,1750,1500,9125
350,125,375,5375,1750,1500,9125
351,0,375,5375,1750,1500,9000
352,125,375,5375,1625,1500,9000
353,125,500,5375,1750,1625,9375
354,125,375,5250,1625,1500,8875
355,125,375,5250,1625,1500,8875
356,125,375,5375,1750,1625,9250
357,125,375,5250,1625,1500,8875
358,125,375,5250,1625,1500,8875
359,125,375,5375,1625,1500,9000
360,125,375,5250,1625,1500,8875
361,125,375,5375,1625,1500,9000
362,125,375,5250,1625,1500,8875
363,125,375,5375,1750,1625,9250
364,125,375,5250,1750,1500,9000
365,125,500,5375,1625,1500,9125
366,125,375,5375,1625,1500,9000
367,125,375,5375,1750,1500,9125
368,125,375,5250,1625,1500,8875
369,125,500,5375,1625,1500,9125
370,125,500,5375,1750,1500,9250
371,125,375,5375,1625,1625,9125
372,125,375,5125,1625,1500,8750
373,125,375,5375,1625,1500,9000
374,125,375,5500,1750,1625,9375
375,125,375,5375,1750,1625,9250
376,125,375,5125,1625,1500,8750
377,125,375,5375,1625,1500,9000
378,125,375,5375,1750,1500,9125
379,125,375,5375,1750,1625,9250
380,125,375,5375,1625,1500,9000
381,125,375,5375,1750,1500,9125
382,125,500,5250,1625,1500,9000
383,125,375,5500,1625,1500,9125
384,125,375,5375,1750,1500,9125
385,125,375,5375,1750,1500,9125
386,125,375,5250,1625,1500,8875
387,125,375,5250,1625,1625,9000
388,125,375,6000,1875,12625,21000
389,0,375,6250,1750,1625,10000
390,125,375,5625,1750,1625,9500
391,0,375,5500,1750,1500,9125
392,125,500,5250,1625,1500,9000
393,125,375,5375,1625,1500,9000
394,125,375,5375,1625,1500,9000
395,125,500,5375,1625,1500,9125
396,125,375,5250,1625,1500,8875
397,125,500,5375,1750,1500,9250
398,125,500,5250,1625,1500,9000
399,125,500,5375,1750,1500,9250
400,125,375,5375,1750,1500,9125
401,125,375,5375,1625,1500,9000
402,125,375,5375,1750,1500,9125
403,125,375,5375,1625,1500,9000
404,125,375,5250,1625,1500,8875
405,125,375,5250,1750,1500,9000
406,125,375,5500,1625,1500,9125
407,125,375,5500,1750,1500,9250
408,125,375,5375,1750,1500,9125
409,125,375,5500,1625,1500,9125
410,125,375,5250,1750,1500,9000
411,125,375,5250,1750,1500,9000
412,125,375,5375,1625,1500,9000
413,125,375,5375,1750,1500,9125
414,125,375,5375,1625,1500,9000
415,125,375,5500,1625,1500,9125
416,125,375,5250,1625,1500,8875
417,125,375,5250,1750,1500,9000
418,0,375,5375,1625,1500,8875
419,125,375,5375,1625,1500,9000
420,125,375,5375,1625,1500,9000
421,125,375,5375,1750,1625,9250
422,125,375,5375,1625,1500,9000
423,125,375,5375,1750,1500,9125
424,125,375,5250,1750,1625,9125
425,125,375,5250,1750,1500,9000
426,125,375,5375,1625,1625,9125
427,125,375,5375,1625,1500,9000
428,125,375,5375,1625,1500,9000
429,125,375,5375,1750,1625,9250
430,125,375,5375,1625,1500,9000
431,125,500,5250,1625,1500,9000
432,125,375,5375,1750,1500,9125
433,125,375,5375,1750,1625,9250
434,125,500,5375,1625,1500,9125
435,125,375,5250,1625,1500,8875
436,125,375,5250,1625,1500,8875
437,125,375,5250,1750,1500,9000
438,125,375,5375,1625,1500,9000
439,125,375,5375,1750,1500,9125
440,125,375,5375,1750,1625,9250
441,125,375,5250,1625,1500,8875
442,125,375,5250,1625,1500,8875
