[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=1, lock_freq_khz=1600000
# cpu0=iir (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=iir cycles=7889 instructions=2593 cache-misses=14
[sample=1] cpu=0 bench=iir cycles=8070 instructions=2589 cache-misses=11
[sample=2] cpu=0 bench=iir cycles=3896 instructions=2588 cache-misses=6
[sample=3] cpu=0 bench=iir cycles=3508 instructions=2588 cache-misses=3
[sample=4] cpu=0 bench=iir cycles=3492 instructions=2589 cache-misses=1
[sample=5] cpu=0 bench=iir cycles=3504 instructions=2589 cache-misses=1
[sample=6] cpu=0 bench=iir cycles=3473 instructions=2588 cache-misses=1
[sample=7] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=2
[sample=8] cpu=0 bench=iir cycles=3465 instructions=2588 cache-misses=0
[sample=9] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=1
[sample=10] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=2
[sample=11] cpu=0 bench=iir cycles=3468 instructions=2588 cache-misses=1
[sample=12] cpu=0 bench=iir cycles=3462 instructions=2588 cache-misses=0
[sample=13] cpu=0 bench=iir cycles=3473 instructions=2588 cache-misses=0
[sample=14] cpu=0 bench=iir cycles=3509 instructions=2589 cache-misses=1
[sample=15] cpu=0 bench=iir cycles=3456 instructions=2588 cache-misses=0
[sample=16] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=0
[sample=17] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=1
[sample=18] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=0
[sample=19] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=0
[sample=20] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=0
[sample=21] cpu=0 bench=iir cycles=3471 instructions=2588 cache-misses=1
[sample=22] cpu=0 bench=iir cycles=3462 instructions=2588 cache-misses=1
[sample=23] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=0
[sample=24] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=0
[sample=25] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=0
[sample=26] cpu=0 bench=iir cycles=3454 instructions=2588 cache-misses=0
[sample=27] cpu=0 bench=iir cycles=3463 instructions=2588 cache-misses=0
[sample=28] cpu=0 bench=iir cycles=3463 instructions=2588 cache-misses=0
[sample=29] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=0
[sample=30] cpu=0 bench=iir cycles=3475 instructions=2588 cache-misses=0
[sample=31] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=0
[sample=32] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=0
[sample=33] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=0
[sample=34] cpu=0 bench=iir cycles=3464 instructions=2588 cache-misses=0
[sample=35] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=0
[sample=36] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=1
[sample=37] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=0
[sample=38] cpu=0 bench=iir cycles=3467 instructions=2588 cache-misses=0
[sample=39] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=0
[sample=40] cpu=0 bench=iir cycles=3480 instructions=2588 cache-misses=0
[sample=41] cpu=0 bench=iir cycles=3463 instructions=2588 cache-misses=0
[sample=42] cpu=0 bench=iir cycles=3448 instructions=2588 cache-misses=0
[sample=43] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=0
[sample=44] cpu=0 bench=iir cycles=3458 instructions=2588 cache-misses=0
[sample=45] cpu=0 bench=iir cycles=3483 instructions=2588 cache-misses=0
[sample=46] cpu=0 bench=iir cycles=3450 instructions=2588 cache-misses=0
[sample=47] cpu=0 bench=iir cycles=3481 instructions=2588 cache-misses=0
[sample=48] cpu=0 bench=iir cycles=3480 instructions=2588 cache-misses=0
[sample=49] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=0
[sample=50] cpu=0 bench=iir cycles=3513 instructions=2588 cache-misses=0
[sample=51] cpu=0 bench=iir cycles=3521 instructions=2588 cache-misses=1
[sample=52] cpu=0 bench=iir cycles=3448 instructions=2588 cache-misses=0
[sample=53] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=4
[sample=54] cpu=0 bench=iir cycles=3467 instructions=2588 cache-misses=0
[sample=55] cpu=0 bench=iir cycles=3464 instructions=2588 cache-misses=0
[sample=56] cpu=0 bench=iir cycles=3470 instructions=2588 cache-misses=0
[sample=57] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=0
[sample=58] cpu=0 bench=iir cycles=3503 instructions=2588 cache-misses=0
[sample=59] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=1
[sample=60] cpu=0 bench=iir cycles=3454 instructions=2588 cache-misses=1
[sample=61] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=1
[sample=62] cpu=0 bench=iir cycles=3502 instructions=2589 cache-misses=0
[sample=63] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=1
[sample=64] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=0
[sample=65] cpu=0 bench=iir cycles=3504 instructions=2588 cache-misses=1
[sample=66] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=0
[sample=67] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=1
[sample=68] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=1
[sample=69] cpu=0 bench=iir cycles=3475 instructions=2588 cache-misses=0
[sample=70] cpu=0 bench=iir cycles=3494 instructions=2588 cache-misses=0
[sample=71] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=1
[sample=72] cpu=0 bench=iir cycles=3413 instructions=2588 cache-misses=0
[sample=73] cpu=0 bench=iir cycles=3480 instructions=2588 cache-misses=1
[sample=74] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=1
[sample=75] cpu=0 bench=iir cycles=3470 instructions=2588 cache-misses=1
[sample=76] cpu=0 bench=iir cycles=3472 instructions=2588 cache-misses=0
[sample=77] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=2
[sample=78] cpu=0 bench=iir cycles=3494 instructions=2588 cache-misses=1
[sample=79] cpu=0 bench=iir cycles=3477 instructions=2588 cache-misses=0
[sample=80] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=1
[sample=81] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=1
[sample=82] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=0
[sample=83] cpu=0 bench=iir cycles=3507 instructions=2588 cache-misses=1
[sample=84] cpu=0 bench=iir cycles=3509 instructions=2588 cache-misses=1
[sample=85] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=1
[sample=86] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=0
[sample=87] cpu=0 bench=iir cycles=3490 instructions=2588 cache-misses=1
[sample=88] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=0
[sample=89] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=1
[sample=90] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=1
[sample=91] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=0
[sample=92] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=1
[sample=93] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=1
[sample=94] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=0
[sample=95] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=1
[sample=96] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=0
[sample=97] cpu=0 bench=iir cycles=3505 instructions=2588 cache-misses=0
[sample=98] cpu=0 bench=iir cycles=3498 instructions=2588 cache-misses=0
[sample=99] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=0

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu0)
# event                          min                  max                  avg               median
  cycles                        3413                 8070              3578.23              3484.50
  instructions                  2588                 2593              2588.10              2588.00
  cache-misses                     0                   14                 0.78                 0.00
