[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fmref cycles=856927 instructions=454815 cache-misses=140
[sample=1] cpu=0 bench=fmref cycles=758962 instructions=417305 cache-misses=77
[sample=2] cpu=0 bench=fmref cycles=669415 instructions=417301 cache-misses=48
[sample=3] cpu=0 bench=fmref cycles=664542 instructions=417302 cache-misses=37
[sample=4] cpu=0 bench=fmref cycles=659012 instructions=417299 cache-misses=32
[sample=5] cpu=0 bench=fmref cycles=655827 instructions=417293 cache-misses=27
[sample=6] cpu=0 bench=fmref cycles=657893 instructions=417294 cache-misses=26
[sample=7] cpu=0 bench=fmref cycles=657401 instructions=417298 cache-misses=24
[sample=8] cpu=0 bench=fmref cycles=658053 instructions=417298 cache-misses=24
[sample=9] cpu=0 bench=fmref cycles=669740 instructions=417296 cache-misses=19
[sample=10] cpu=0 bench=fmref cycles=664641 instructions=417297 cache-misses=23
[sample=11] cpu=0 bench=fmref cycles=697309 instructions=417301 cache-misses=46
[sample=12] cpu=0 bench=fmref cycles=717431 instructions=417300 cache-misses=70
[sample=13] cpu=0 bench=fmref cycles=654190 instructions=417302 cache-misses=30
[sample=14] cpu=0 bench=fmref cycles=655691 instructions=417295 cache-misses=18
[sample=15] cpu=0 bench=fmref cycles=656307 instructions=417296 cache-misses=22
[sample=16] cpu=0 bench=fmref cycles=654691 instructions=417294 cache-misses=28
[sample=17] cpu=0 bench=fmref cycles=716146 instructions=417304 cache-misses=71
[sample=18] cpu=0 bench=fmref cycles=696200 instructions=417306 cache-misses=32
[sample=19] cpu=0 bench=fmref cycles=863613 instructions=417298 cache-misses=30
[sample=20] cpu=0 bench=fmref cycles=675700 instructions=417296 cache-misses=19
[sample=21] cpu=0 bench=fmref cycles=655245 instructions=417294 cache-misses=20
[sample=22] cpu=0 bench=fmref cycles=657221 instructions=417298 cache-misses=22
[sample=23] cpu=0 bench=fmref cycles=658172 instructions=417304 cache-misses=23
[sample=24] cpu=0 bench=fmref cycles=780766 instructions=417307 cache-misses=94
[sample=25] cpu=0 bench=fmref cycles=731830 instructions=417305 cache-misses=53
[sample=26] cpu=0 bench=fmref cycles=671801 instructions=417302 cache-misses=25
[sample=27] cpu=0 bench=fmref cycles=662387 instructions=417297 cache-misses=25
[sample=28] cpu=0 bench=fmref cycles=742318 instructions=417302 cache-misses=75
[sample=29] cpu=0 bench=fmref cycles=699206 instructions=417299 cache-misses=46
[sample=30] cpu=0 bench=fmref cycles=673662 instructions=417303 cache-misses=27
[sample=31] cpu=0 bench=fmref cycles=673968 instructions=417297 cache-misses=21
[sample=32] cpu=0 bench=fmref cycles=657512 instructions=417299 cache-misses=22
[sample=33] cpu=0 bench=fmref cycles=692934 instructions=417300 cache-misses=58
[sample=34] cpu=0 bench=fmref cycles=658387 instructions=417306 cache-misses=47
[sample=35] cpu=0 bench=fmref cycles=660110 instructions=417297 cache-misses=29
[sample=36] cpu=0 bench=fmref cycles=656307 instructions=417299 cache-misses=23
[sample=37] cpu=0 bench=fmref cycles=657745 instructions=417297 cache-misses=23
[sample=38] cpu=0 bench=fmref cycles=655971 instructions=417297 cache-misses=18
[sample=39] cpu=0 bench=fmref cycles=809626 instructions=417306 cache-misses=87
[sample=40] cpu=0 bench=fmref cycles=717089 instructions=417301 cache-misses=79
[sample=41] cpu=0 bench=fmref cycles=979860 instructions=417314 cache-misses=92
[sample=42] cpu=0 bench=fmref cycles=706184 instructions=417302 cache-misses=46
[sample=43] cpu=0 bench=fmref cycles=681872 instructions=417299 cache-misses=19
[sample=44] cpu=0 bench=fmref cycles=661904 instructions=417297 cache-misses=20
[sample=45] cpu=0 bench=fmref cycles=662552 instructions=417304 cache-misses=23
[sample=46] cpu=0 bench=fmref cycles=658416 instructions=417303 cache-misses=21
[sample=47] cpu=0 bench=fmref cycles=765196 instructions=417305 cache-misses=77
[sample=48] cpu=0 bench=fmref cycles=765255 instructions=417304 cache-misses=62
[sample=49] cpu=0 bench=fmref cycles=704217 instructions=417300 cache-misses=38
