[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=CACHE
sched_setaffinity: Invalid argument
[sample=58] cpu=0 bench=fir2dim cycles=16337 instructions=10116 cache-misses=9
[sample=59] cpu=0 bench=fir2dim cycles=14795 instructions=10121 cache-misses=10
[sample=60] cpu=0 bench=fir2dim cycles=14832 instructions=10118 cache-misses=9
[sample=61] cpu=0 bench=fir2dim cycles=19200 instructions=10116 cache-misses=10
[sample=62] cpu=0 bench=fir2dim cycles=15226 instructions=10121 cache-misses=7
[sample=63] cpu=0 bench=fir2dim cycles=14838 instructions=10117 cache-misses=9
[sample=64] cpu=0 bench=fir2dim cycles=15598 instructions=10122 cache-misses=8
[sample=65] cpu=0 bench=fir2dim cycles=15084 instructions=10119 cache-misses=8
[sample=66] cpu=0 bench=fir2dim cycles=20433 instructions=10120 cache-misses=9
[sample=67] cpu=0 bench=fir2dim cycles=15908 instructions=10122 cache-misses=8
[sample=68] cpu=0 bench=fir2dim cycles=17142 instructions=10127 cache-misses=10
[sample=69] cpu=0 bench=fir2dim cycles=15116 instructions=10121 cache-misses=7
[sample=70] cpu=0 bench=fir2dim cycles=14903 instructions=10117 cache-misses=10
[sample=71] cpu=0 bench=fir2dim cycles=16733 instructions=10123 cache-misses=9
[sample=72] cpu=0 bench=fir2dim cycles=20793 instructions=10124 cache-misses=8
[sample=73] cpu=0 bench=fir2dim cycles=15366 instructions=10124 cache-misses=7
[sample=74] cpu=0 bench=fir2dim cycles=16829 instructions=10125 cache-misses=9
[sample=75] cpu=0 bench=fir2dim cycles=15270 instructions=10122 cache-misses=11
[sample=76] cpu=0 bench=fir2dim cycles=20739 instructions=10119 cache-misses=8
[sample=77] cpu=0 bench=fir2dim cycles=16319 instructions=10122 cache-misses=10
[sample=78] cpu=0 bench=fir2dim cycles=16451 instructions=10119 cache-misses=9
[sample=79] cpu=0 bench=fir2dim cycles=16507 instructions=10121 cache-misses=10
[sample=80] cpu=0 bench=fir2dim cycles=15168 instructions=10119 cache-misses=8
[sample=81] cpu=0 bench=fir2dim cycles=15608 instructions=10123 cache-misses=9
[sample=82] cpu=0 bench=fir2dim cycles=16331 instructions=10123 cache-misses=9
[sample=83] cpu=0 bench=fir2dim cycles=14515 instructions=10126 cache-misses=8
[sample=84] cpu=0 bench=fir2dim cycles=14470 instructions=10123 cache-misses=9
[sample=85] cpu=0 bench=fir2dim cycles=14985 instructions=10123 cache-misses=10
[sample=86] cpu=0 bench=fir2dim cycles=20131 instructions=10123 cache-misses=10
[sample=87] cpu=0 bench=fir2dim cycles=15540 instructions=10120 cache-misses=9
[sample=88] cpu=0 bench=fir2dim cycles=15872 instructions=10124 cache-misses=11
[sample=89] cpu=0 bench=fir2dim cycles=15191 instructions=10129 cache-misses=8
[sample=90] cpu=0 bench=fir2dim cycles=16010 instructions=10126 cache-misses=11
[sample=91] cpu=0 bench=fir2dim cycles=15977 instructions=10123 cache-misses=7
[sample=92] cpu=0 bench=fir2dim cycles=15734 instructions=10125 cache-misses=7
[sample=93] cpu=0 bench=fir2dim cycles=15438 instructions=10120 cache-misses=7
[sample=94] cpu=0 bench=fir2dim cycles=17618 instructions=10122 cache-misses=8
[sample=95] cpu=0 bench=fir2dim cycles=14606 instructions=10121 cache-misses=8
[sample=96] cpu=0 bench=fir2dim cycles=20199 instructions=10123 cache-misses=9
[sample=97] cpu=0 bench=fir2dim cycles=15970 instructions=10121 cache-misses=10
[sample=98] cpu=0 bench=fir2dim cycles=21292 instructions=10122 cache-misses=11
[sample=99] cpu=0 bench=fir2dim cycles=14941 instructions=10122 cache-misses=7

# Statistics over 100 samples on cpu0 bench=fir2dim (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                       14115                57210             17272.55             15870.50
  instructions                 10113                10129             10121.23             10121.00
  cache-misses                     5                   19                 8.95                 9.00
