[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=72] cpu=0 bench=adpcm_dec cycles=332651 instructions=228471 cache-misses=37
[sample=73] cpu=0 bench=adpcm_dec cycles=337674 instructions=228467 cache-misses=38
[sample=74] cpu=0 bench=adpcm_dec cycles=325972 instructions=228467 cache-misses=42
[sample=75] cpu=0 bench=adpcm_dec cycles=326743 instructions=228469 cache-misses=40
[sample=76] cpu=0 bench=adpcm_dec cycles=328219 instructions=228470 cache-misses=38
[sample=77] cpu=0 bench=adpcm_dec cycles=330080 instructions=228470 cache-misses=50
[sample=78] cpu=0 bench=adpcm_dec cycles=327573 instructions=228470 cache-misses=38
[sample=79] cpu=0 bench=adpcm_dec cycles=347597 instructions=228473 cache-misses=93
[sample=80] cpu=0 bench=adpcm_dec cycles=335259 instructions=228471 cache-misses=55
[sample=81] cpu=0 bench=adpcm_dec cycles=325893 instructions=228468 cache-misses=45
[sample=82] cpu=0 bench=adpcm_dec cycles=326997 instructions=228469 cache-misses=48
[sample=83] cpu=0 bench=adpcm_dec cycles=325534 instructions=228469 cache-misses=47
[sample=84] cpu=0 bench=adpcm_dec cycles=329441 instructions=228469 cache-misses=50
[sample=85] cpu=0 bench=adpcm_dec cycles=329195 instructions=228469 cache-misses=40
[sample=86] cpu=0 bench=adpcm_dec cycles=327111 instructions=228468 cache-misses=51
[sample=87] cpu=0 bench=adpcm_dec cycles=325795 instructions=228469 cache-misses=43
[sample=88] cpu=0 bench=adpcm_dec cycles=329056 instructions=228471 cache-misses=44
[sample=89] cpu=0 bench=adpcm_dec cycles=335335 instructions=228468 cache-misses=52
[sample=90] cpu=0 bench=adpcm_dec cycles=329624 instructions=228469 cache-misses=44
[sample=91] cpu=0 bench=adpcm_dec cycles=323352 instructions=228470 cache-misses=46
[sample=92] cpu=0 bench=adpcm_dec cycles=329637 instructions=228469 cache-misses=43
[sample=93] cpu=0 bench=adpcm_dec cycles=333902 instructions=228471 cache-misses=46
[sample=94] cpu=0 bench=adpcm_dec cycles=329373 instructions=228470 cache-misses=39
[sample=95] cpu=0 bench=adpcm_dec cycles=328485 instructions=228482 cache-misses=65
[sample=96] cpu=0 bench=adpcm_dec cycles=330671 instructions=228469 cache-misses=41
[sample=97] cpu=0 bench=adpcm_dec cycles=326839 instructions=228469 cache-misses=50
[sample=98] cpu=0 bench=adpcm_dec cycles=329585 instructions=228467 cache-misses=53
[sample=99] cpu=0 bench=adpcm_dec cycles=324429 instructions=228469 cache-misses=49

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      323352               465157            330452.88            328566.00
  instructions                228467               228482            228469.64            228469.00
  cache-misses                    34                   93                44.51                43.00
