[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=73] cpu=0 bench=binarysearch cycles=2920 instructions=1258 cache-misses=12
[sample=74] cpu=0 bench=binarysearch cycles=3476 instructions=1258 cache-misses=8
[sample=75] cpu=0 bench=binarysearch cycles=3245 instructions=1258 cache-misses=7
[sample=76] cpu=0 bench=binarysearch cycles=3716 instructions=1258 cache-misses=5
[sample=77] cpu=0 bench=binarysearch cycles=3986 instructions=1258 cache-misses=12
[sample=78] cpu=0 bench=binarysearch cycles=4738 instructions=1258 cache-misses=11
[sample=79] cpu=0 bench=binarysearch cycles=2971 instructions=1258 cache-misses=6
[sample=80] cpu=0 bench=binarysearch cycles=4133 instructions=1258 cache-misses=11
[sample=81] cpu=0 bench=binarysearch cycles=3580 instructions=1258 cache-misses=8
[sample=82] cpu=0 bench=binarysearch cycles=3013 instructions=1258 cache-misses=6
[sample=83] cpu=0 bench=binarysearch cycles=5105 instructions=1258 cache-misses=12
[sample=84] cpu=0 bench=binarysearch cycles=3729 instructions=1258 cache-misses=13
[sample=85] cpu=0 bench=binarysearch cycles=3781 instructions=1257 cache-misses=12
[sample=86] cpu=0 bench=binarysearch cycles=3170 instructions=1258 cache-misses=7
[sample=87] cpu=0 bench=binarysearch cycles=3238 instructions=1258 cache-misses=13
[sample=88] cpu=0 bench=binarysearch cycles=3043 instructions=1258 cache-misses=9
[sample=89] cpu=0 bench=binarysearch cycles=3441 instructions=1258 cache-misses=7
[sample=90] cpu=0 bench=binarysearch cycles=3805 instructions=1258 cache-misses=12
[sample=91] cpu=0 bench=binarysearch cycles=3067 instructions=1258 cache-misses=11
[sample=92] cpu=0 bench=binarysearch cycles=4426 instructions=1258 cache-misses=8
[sample=93] cpu=0 bench=binarysearch cycles=4037 instructions=1258 cache-misses=7
[sample=94] cpu=0 bench=binarysearch cycles=3303 instructions=1258 cache-misses=7
[sample=95] cpu=0 bench=binarysearch cycles=3516 instructions=1259 cache-misses=13
[sample=96] cpu=0 bench=binarysearch cycles=3273 instructions=1258 cache-misses=11
[sample=97] cpu=0 bench=binarysearch cycles=3436 instructions=1258 cache-misses=7
[sample=98] cpu=0 bench=binarysearch cycles=4121 instructions=1258 cache-misses=12
[sample=99] cpu=0 bench=binarysearch cycles=3378 instructions=1258 cache-misses=6

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        2367                34403              4063.63              3584.50
  instructions                  1257                 1264              1258.05              1258.00
  cache-misses                     5                   16                 9.13                 9.00
