[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot read /sys/devices/system/cpu/cpu5/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu5
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu5/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu5/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu5 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=6, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM  cpu5=MEM
sched_setaffinity: Invalid argument
sched_setaffinity: Invalid argument
[sample=60] cpu=0 bench=adpcm_dec cycles=324666 instructions=228468 cache-misses=48
[sample=61] cpu=0 bench=adpcm_dec cycles=325557 instructions=228469 cache-misses=41
[sample=62] cpu=0 bench=adpcm_dec cycles=323070 instructions=228470 cache-misses=45
[sample=63] cpu=0 bench=adpcm_dec cycles=324893 instructions=228470 cache-misses=38
[sample=64] cpu=0 bench=adpcm_dec cycles=326156 instructions=228471 cache-misses=43
[sample=65] cpu=0 bench=adpcm_dec cycles=329518 instructions=228469 cache-misses=49
[sample=66] cpu=0 bench=adpcm_dec cycles=321631 instructions=228472 cache-misses=40
[sample=67] cpu=0 bench=adpcm_dec cycles=322213 instructions=228470 cache-misses=41
[sample=68] cpu=0 bench=adpcm_dec cycles=325156 instructions=228470 cache-misses=39
[sample=69] cpu=0 bench=adpcm_dec cycles=324704 instructions=228470 cache-misses=44
[sample=70] cpu=0 bench=adpcm_dec cycles=329569 instructions=228473 cache-misses=46
[sample=71] cpu=0 bench=adpcm_dec cycles=325429 instructions=228469 cache-misses=50
[sample=72] cpu=0 bench=adpcm_dec cycles=324025 instructions=228470 cache-misses=45
[sample=73] cpu=0 bench=adpcm_dec cycles=324777 instructions=228471 cache-misses=39
[sample=74] cpu=0 bench=adpcm_dec cycles=333370 instructions=228469 cache-misses=38
[sample=75] cpu=0 bench=adpcm_dec cycles=323219 instructions=228470 cache-misses=47
[sample=76] cpu=0 bench=adpcm_dec cycles=323209 instructions=228471 cache-misses=48
[sample=77] cpu=0 bench=adpcm_dec cycles=323374 instructions=228470 cache-misses=44
[sample=78] cpu=0 bench=adpcm_dec cycles=323430 instructions=228471 cache-misses=42
[sample=79] cpu=0 bench=adpcm_dec cycles=329308 instructions=228469 cache-misses=43
[sample=80] cpu=0 bench=adpcm_dec cycles=323181 instructions=228470 cache-misses=44
[sample=81] cpu=0 bench=adpcm_dec cycles=322236 instructions=228470 cache-misses=48
[sample=82] cpu=0 bench=adpcm_dec cycles=318155 instructions=228468 cache-misses=31
[sample=83] cpu=0 bench=adpcm_dec cycles=324414 instructions=228471 cache-misses=53
[sample=84] cpu=0 bench=adpcm_dec cycles=328067 instructions=228472 cache-misses=45
[sample=85] cpu=0 bench=adpcm_dec cycles=327177 instructions=228472 cache-misses=47
[sample=86] cpu=0 bench=adpcm_dec cycles=325571 instructions=228472 cache-misses=53
[sample=87] cpu=0 bench=adpcm_dec cycles=324886 instructions=228471 cache-misses=37
[sample=88] cpu=0 bench=adpcm_dec cycles=320586 instructions=228471 cache-misses=37
[sample=89] cpu=0 bench=adpcm_dec cycles=323810 instructions=228471 cache-misses=38
[sample=90] cpu=0 bench=adpcm_dec cycles=323459 instructions=228471 cache-misses=37
[sample=91] cpu=0 bench=adpcm_dec cycles=329549 instructions=228471 cache-misses=37
[sample=92] cpu=0 bench=adpcm_dec cycles=324351 instructions=228471 cache-misses=45
[sample=93] cpu=0 bench=adpcm_dec cycles=325574 instructions=228471 cache-misses=50
[sample=94] cpu=0 bench=adpcm_dec cycles=322261 instructions=228468 cache-misses=47
[sample=95] cpu=0 bench=adpcm_dec cycles=323544 instructions=228470 cache-misses=41
[sample=96] cpu=0 bench=adpcm_dec cycles=329099 instructions=228469 cache-misses=48
[sample=97] cpu=0 bench=adpcm_dec cycles=326221 instructions=228470 cache-misses=48
[sample=98] cpu=0 bench=adpcm_dec cycles=325313 instructions=228470 cache-misses=54
[sample=99] cpu=0 bench=adpcm_dec cycles=324105 instructions=228469 cache-misses=45

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu5)
# event                          min                  max                  avg               median
  cycles                      316906               456597            326578.71            324794.00
  instructions                228468               228475            228470.21            228470.00
  cache-misses                    17                   80                44.45                44.50
