[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=BUS  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=17] cpu=0 bench=fmref cycles=668267 instructions=417306 cache-misses=75
[sample=18] cpu=0 bench=fmref cycles=709814 instructions=417304 cache-misses=61
[sample=19] cpu=0 bench=fmref cycles=697352 instructions=417304 cache-misses=69
[sample=20] cpu=0 bench=fmref cycles=680679 instructions=417300 cache-misses=65
[sample=21] cpu=0 bench=fmref cycles=669391 instructions=417307 cache-misses=53
[sample=22] cpu=0 bench=fmref cycles=663501 instructions=417298 cache-misses=55
[sample=23] cpu=0 bench=fmref cycles=665149 instructions=417299 cache-misses=60
[sample=24] cpu=0 bench=fmref cycles=661867 instructions=417301 cache-misses=54
[sample=25] cpu=0 bench=fmref cycles=663632 instructions=417300 cache-misses=52
[sample=26] cpu=0 bench=fmref cycles=664349 instructions=417308 cache-misses=70
[sample=27] cpu=0 bench=fmref cycles=666432 instructions=417304 cache-misses=59
[sample=28] cpu=0 bench=fmref cycles=659316 instructions=417303 cache-misses=58
[sample=29] cpu=0 bench=fmref cycles=659853 instructions=417300 cache-misses=57
[sample=30] cpu=0 bench=fmref cycles=661478 instructions=417304 cache-misses=53
[sample=31] cpu=0 bench=fmref cycles=665381 instructions=417300 cache-misses=56
[sample=32] cpu=0 bench=fmref cycles=673410 instructions=417301 cache-misses=55
[sample=33] cpu=0 bench=fmref cycles=663309 instructions=417304 cache-misses=49
[sample=34] cpu=0 bench=fmref cycles=712015 instructions=417302 cache-misses=67
[sample=35] cpu=0 bench=fmref cycles=668013 instructions=417307 cache-misses=71
[sample=36] cpu=0 bench=fmref cycles=669210 instructions=417297 cache-misses=57
[sample=37] cpu=0 bench=fmref cycles=663452 instructions=417303 cache-misses=37
[sample=38] cpu=0 bench=fmref cycles=660330 instructions=417297 cache-misses=23
[sample=39] cpu=0 bench=fmref cycles=659386 instructions=417301 cache-misses=19
[sample=40] cpu=0 bench=fmref cycles=661779 instructions=417297 cache-misses=26
[sample=41] cpu=0 bench=fmref cycles=657508 instructions=417301 cache-misses=23
[sample=42] cpu=0 bench=fmref cycles=662613 instructions=417301 cache-misses=20
[sample=43] cpu=0 bench=fmref cycles=775898 instructions=417301 cache-misses=73
[sample=44] cpu=0 bench=fmref cycles=761166 instructions=417303 cache-misses=50
[sample=45] cpu=0 bench=fmref cycles=724379 instructions=417302 cache-misses=68
[sample=46] cpu=0 bench=fmref cycles=752032 instructions=417301 cache-misses=45
[sample=47] cpu=0 bench=fmref cycles=660470 instructions=417301 cache-misses=34
[sample=48] cpu=0 bench=fmref cycles=664874 instructions=417303 cache-misses=26
[sample=49] cpu=0 bench=fmref cycles=715410 instructions=417301 cache-misses=59
[sample=50] cpu=0 bench=fmref cycles=662040 instructions=417298 cache-misses=50
[sample=51] cpu=0 bench=fmref cycles=656338 instructions=417297 cache-misses=24
[sample=52] cpu=0 bench=fmref cycles=661240 instructions=417298 cache-misses=20
[sample=53] cpu=0 bench=fmref cycles=668094 instructions=417299 cache-misses=54
[sample=54] cpu=0 bench=fmref cycles=826459 instructions=417301 cache-misses=50
[sample=55] cpu=0 bench=fmref cycles=656993 instructions=417301 cache-misses=37
[sample=56] cpu=0 bench=fmref cycles=662747 instructions=417298 cache-misses=22
[sample=57] cpu=0 bench=fmref cycles=657146 instructions=417297 cache-misses=23
[sample=58] cpu=0 bench=fmref cycles=657118 instructions=417300 cache-misses=15
[sample=59] cpu=0 bench=fmref cycles=660934 instructions=417312 cache-misses=59
[sample=60] cpu=0 bench=fmref cycles=656225 instructions=417298 cache-misses=43
