[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=CACHE  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=65] cpu=0 bench=adpcm_dec cycles=321658 instructions=228468 cache-misses=47
[sample=66] cpu=0 bench=adpcm_dec cycles=322377 instructions=228470 cache-misses=67
[sample=67] cpu=0 bench=adpcm_dec cycles=320417 instructions=228469 cache-misses=54
[sample=68] cpu=0 bench=adpcm_dec cycles=320770 instructions=228470 cache-misses=49
[sample=69] cpu=0 bench=adpcm_dec cycles=324584 instructions=228469 cache-misses=49
[sample=70] cpu=0 bench=adpcm_dec cycles=326797 instructions=228468 cache-misses=52
[sample=71] cpu=0 bench=adpcm_dec cycles=319684 instructions=228469 cache-misses=51
[sample=72] cpu=0 bench=adpcm_dec cycles=320739 instructions=228468 cache-misses=50
[sample=73] cpu=0 bench=adpcm_dec cycles=321545 instructions=228468 cache-misses=43
[sample=74] cpu=0 bench=adpcm_dec cycles=455884 instructions=228471 cache-misses=55
[sample=75] cpu=0 bench=adpcm_dec cycles=320661 instructions=228469 cache-misses=33
[sample=76] cpu=0 bench=adpcm_dec cycles=317556 instructions=228470 cache-misses=21
[sample=77] cpu=0 bench=adpcm_dec cycles=316461 instructions=228469 cache-misses=14
[sample=78] cpu=0 bench=adpcm_dec cycles=322092 instructions=228469 cache-misses=18
[sample=79] cpu=0 bench=adpcm_dec cycles=321800 instructions=228470 cache-misses=38
[sample=80] cpu=0 bench=adpcm_dec cycles=322657 instructions=228467 cache-misses=20
[sample=81] cpu=0 bench=adpcm_dec cycles=317355 instructions=228468 cache-misses=19
[sample=82] cpu=0 bench=adpcm_dec cycles=317210 instructions=228467 cache-misses=21
[sample=83] cpu=0 bench=adpcm_dec cycles=317800 instructions=228468 cache-misses=16
[sample=84] cpu=0 bench=adpcm_dec cycles=316867 instructions=228467 cache-misses=15
[sample=85] cpu=0 bench=adpcm_dec cycles=321238 instructions=228468 cache-misses=18
[sample=86] cpu=0 bench=adpcm_dec cycles=321269 instructions=228468 cache-misses=15
[sample=87] cpu=0 bench=adpcm_dec cycles=322513 instructions=228468 cache-misses=17
[sample=88] cpu=0 bench=adpcm_dec cycles=320135 instructions=228468 cache-misses=17
[sample=89] cpu=0 bench=adpcm_dec cycles=318252 instructions=228468 cache-misses=16
[sample=90] cpu=0 bench=adpcm_dec cycles=316968 instructions=228468 cache-misses=15
[sample=91] cpu=0 bench=adpcm_dec cycles=317517 instructions=228468 cache-misses=22
[sample=92] cpu=0 bench=adpcm_dec cycles=319933 instructions=228468 cache-misses=20
[sample=93] cpu=0 bench=adpcm_dec cycles=318526 instructions=228468 cache-misses=23
[sample=94] cpu=0 bench=adpcm_dec cycles=337031 instructions=228470 cache-misses=54
[sample=95] cpu=0 bench=adpcm_dec cycles=320109 instructions=228469 cache-misses=52
[sample=96] cpu=0 bench=adpcm_dec cycles=321488 instructions=228468 cache-misses=50
[sample=97] cpu=0 bench=adpcm_dec cycles=319563 instructions=228467 cache-misses=58
[sample=98] cpu=0 bench=adpcm_dec cycles=324315 instructions=228468 cache-misses=46
[sample=99] cpu=0 bench=adpcm_dec cycles=323705 instructions=228468 cache-misses=50

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      316461               462878            325945.31            321406.00
  instructions                228467               228476            228468.59            228468.00
  cache-misses                    14                   73                46.05                50.00
