[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=CACHE
sched_setaffinity: Invalid argument
[sample=65] cpu=0 bench=adpcm_dec cycles=332688 instructions=228472 cache-misses=69
[sample=66] cpu=0 bench=adpcm_dec cycles=332146 instructions=228471 cache-misses=65
[sample=67] cpu=0 bench=adpcm_dec cycles=332091 instructions=228471 cache-misses=67
[sample=68] cpu=0 bench=adpcm_dec cycles=333903 instructions=228477 cache-misses=69
[sample=69] cpu=0 bench=adpcm_dec cycles=332937 instructions=228476 cache-misses=64
[sample=70] cpu=0 bench=adpcm_dec cycles=332259 instructions=228470 cache-misses=62
[sample=71] cpu=0 bench=adpcm_dec cycles=337903 instructions=228471 cache-misses=79
[sample=72] cpu=0 bench=adpcm_dec cycles=336370 instructions=228471 cache-misses=57
[sample=73] cpu=0 bench=adpcm_dec cycles=324880 instructions=228470 cache-misses=59
[sample=74] cpu=0 bench=adpcm_dec cycles=327145 instructions=228469 cache-misses=43
[sample=75] cpu=0 bench=adpcm_dec cycles=329336 instructions=228470 cache-misses=54
[sample=76] cpu=0 bench=adpcm_dec cycles=334497 instructions=228467 cache-misses=45
[sample=77] cpu=0 bench=adpcm_dec cycles=331323 instructions=228469 cache-misses=54
[sample=78] cpu=0 bench=adpcm_dec cycles=328512 instructions=228467 cache-misses=42
[sample=79] cpu=0 bench=adpcm_dec cycles=331235 instructions=228467 cache-misses=42
[sample=80] cpu=0 bench=adpcm_dec cycles=328816 instructions=228467 cache-misses=40
[sample=81] cpu=0 bench=adpcm_dec cycles=328371 instructions=228467 cache-misses=45
[sample=82] cpu=0 bench=adpcm_dec cycles=325166 instructions=228467 cache-misses=43
[sample=83] cpu=0 bench=adpcm_dec cycles=326016 instructions=228467 cache-misses=41
[sample=84] cpu=0 bench=adpcm_dec cycles=329101 instructions=228469 cache-misses=44
[sample=85] cpu=0 bench=adpcm_dec cycles=326009 instructions=228467 cache-misses=46
[sample=86] cpu=0 bench=adpcm_dec cycles=330045 instructions=228467 cache-misses=46
[sample=87] cpu=0 bench=adpcm_dec cycles=326946 instructions=228467 cache-misses=41
[sample=88] cpu=0 bench=adpcm_dec cycles=328891 instructions=228467 cache-misses=41
[sample=89] cpu=0 bench=adpcm_dec cycles=325623 instructions=228468 cache-misses=46
[sample=90] cpu=0 bench=adpcm_dec cycles=328880 instructions=228468 cache-misses=56
[sample=91] cpu=0 bench=adpcm_dec cycles=327695 instructions=228467 cache-misses=44
[sample=92] cpu=0 bench=adpcm_dec cycles=329964 instructions=228468 cache-misses=43
[sample=93] cpu=0 bench=adpcm_dec cycles=327065 instructions=228467 cache-misses=41
[sample=94] cpu=0 bench=adpcm_dec cycles=329257 instructions=228468 cache-misses=44
[sample=95] cpu=0 bench=adpcm_dec cycles=326130 instructions=228467 cache-misses=48
[sample=96] cpu=0 bench=adpcm_dec cycles=326333 instructions=228469 cache-misses=40
[sample=97] cpu=0 bench=adpcm_dec cycles=325855 instructions=228470 cache-misses=44
[sample=98] cpu=0 bench=adpcm_dec cycles=334067 instructions=228468 cache-misses=43
[sample=99] cpu=0 bench=adpcm_dec cycles=328708 instructions=228467 cache-misses=44

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      323723               697189            335789.06            329296.50
  instructions                228467               228477            228468.97            228468.00
  cache-misses                    39                   79                49.50                45.00
