[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=48] cpu=0 bench=iir cycles=8352 instructions=2588 cache-misses=8
[sample=49] cpu=0 bench=iir cycles=9377 instructions=2588 cache-misses=9
[sample=50] cpu=0 bench=iir cycles=4071 instructions=2588 cache-misses=12
[sample=51] cpu=0 bench=iir cycles=4011 instructions=2588 cache-misses=10
[sample=52] cpu=0 bench=iir cycles=4037 instructions=2588 cache-misses=14
[sample=53] cpu=0 bench=iir cycles=4040 instructions=2588 cache-misses=9
[sample=54] cpu=0 bench=iir cycles=4017 instructions=2588 cache-misses=10
[sample=55] cpu=0 bench=iir cycles=3783 instructions=2588 cache-misses=10
[sample=56] cpu=0 bench=iir cycles=4310 instructions=2588 cache-misses=10
[sample=57] cpu=0 bench=iir cycles=4105 instructions=2589 cache-misses=13
[sample=58] cpu=0 bench=iir cycles=3871 instructions=2588 cache-misses=10
[sample=59] cpu=0 bench=iir cycles=4026 instructions=2588 cache-misses=9
[sample=60] cpu=0 bench=iir cycles=3797 instructions=2588 cache-misses=9
[sample=61] cpu=0 bench=iir cycles=3970 instructions=2588 cache-misses=10
[sample=62] cpu=0 bench=iir cycles=4461 instructions=2588 cache-misses=10
[sample=63] cpu=0 bench=iir cycles=4248 instructions=2589 cache-misses=13
[sample=64] cpu=0 bench=iir cycles=4017 instructions=2589 cache-misses=13
[sample=65] cpu=0 bench=iir cycles=3754 instructions=2588 cache-misses=10
[sample=66] cpu=0 bench=iir cycles=3852 instructions=2588 cache-misses=9
[sample=67] cpu=0 bench=iir cycles=3922 instructions=2588 cache-misses=12
[sample=68] cpu=0 bench=iir cycles=4102 instructions=2589 cache-misses=10
[sample=69] cpu=0 bench=iir cycles=3719 instructions=2588 cache-misses=10
[sample=70] cpu=0 bench=iir cycles=3976 instructions=2588 cache-misses=13
[sample=71] cpu=0 bench=iir cycles=8653 instructions=2588 cache-misses=9
[sample=72] cpu=0 bench=iir cycles=4053 instructions=2588 cache-misses=8
[sample=73] cpu=0 bench=iir cycles=4058 instructions=2588 cache-misses=11
[sample=74] cpu=0 bench=iir cycles=4235 instructions=2588 cache-misses=11
[sample=75] cpu=0 bench=iir cycles=6157 instructions=2589 cache-misses=14
[sample=76] cpu=0 bench=iir cycles=3863 instructions=2588 cache-misses=11
[sample=77] cpu=0 bench=iir cycles=3829 instructions=2589 cache-misses=11
[sample=78] cpu=0 bench=iir cycles=3841 instructions=2588 cache-misses=11
[sample=79] cpu=0 bench=iir cycles=4285 instructions=2588 cache-misses=10
[sample=80] cpu=0 bench=iir cycles=4425 instructions=2589 cache-misses=11
[sample=81] cpu=0 bench=iir cycles=4337 instructions=2589 cache-misses=14
[sample=82] cpu=0 bench=iir cycles=3905 instructions=2589 cache-misses=10
[sample=83] cpu=0 bench=iir cycles=5162 instructions=2588 cache-misses=9
[sample=84] cpu=0 bench=iir cycles=4187 instructions=2589 cache-misses=10
[sample=85] cpu=0 bench=iir cycles=3925 instructions=2588 cache-misses=11
[sample=86] cpu=0 bench=iir cycles=3727 instructions=2589 cache-misses=10
[sample=87] cpu=0 bench=iir cycles=7218 instructions=2588 cache-misses=11
[sample=88] cpu=0 bench=iir cycles=4583 instructions=2589 cache-misses=14
[sample=89] cpu=0 bench=iir cycles=4129 instructions=2589 cache-misses=15
[sample=90] cpu=0 bench=iir cycles=3789 instructions=2589 cache-misses=10
[sample=91] cpu=0 bench=iir cycles=4239 instructions=2589 cache-misses=13
[sample=92] cpu=0 bench=iir cycles=4104 instructions=2589 cache-misses=14
[sample=93] cpu=0 bench=iir cycles=4072 instructions=2589 cache-misses=10
[sample=94] cpu=0 bench=iir cycles=4039 instructions=2589 cache-misses=12
[sample=95] cpu=0 bench=iir cycles=4188 instructions=2589 cache-misses=11
[sample=96] cpu=0 bench=iir cycles=3858 instructions=2588 cache-misses=13
[sample=97] cpu=0 bench=iir cycles=3888 instructions=2588 cache-misses=11
[sample=98] cpu=0 bench=iir cycles=3764 instructions=2588 cache-misses=9
[sample=99] cpu=0 bench=iir cycles=3852 instructions=2588 cache-misses=10

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                        3684                32508              6015.59              4107.00
  instructions                  2588                 2592              2588.62              2589.00
  cache-misses                     8                   16                11.18                11.00
