[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=15] cpu=0 bench=adpcm_dec cycles=317491 instructions=228469 cache-misses=55
[sample=16] cpu=0 bench=adpcm_dec cycles=316785 instructions=228469 cache-misses=49
[sample=17] cpu=0 bench=adpcm_dec cycles=318351 instructions=228469 cache-misses=52
[sample=18] cpu=0 bench=adpcm_dec cycles=316939 instructions=228469 cache-misses=43
[sample=19] cpu=0 bench=adpcm_dec cycles=317235 instructions=228470 cache-misses=43
[sample=20] cpu=0 bench=adpcm_dec cycles=320922 instructions=228469 cache-misses=46
[sample=21] cpu=0 bench=adpcm_dec cycles=317257 instructions=228469 cache-misses=40
[sample=22] cpu=0 bench=adpcm_dec cycles=316808 instructions=228469 cache-misses=43
[sample=23] cpu=0 bench=adpcm_dec cycles=317581 instructions=228469 cache-misses=40
[sample=24] cpu=0 bench=adpcm_dec cycles=317853 instructions=228468 cache-misses=51
[sample=25] cpu=0 bench=adpcm_dec cycles=317338 instructions=228469 cache-misses=49
[sample=26] cpu=0 bench=adpcm_dec cycles=318310 instructions=228470 cache-misses=50
[sample=27] cpu=0 bench=adpcm_dec cycles=317772 instructions=228470 cache-misses=52
[sample=28] cpu=0 bench=adpcm_dec cycles=317712 instructions=228468 cache-misses=48
[sample=29] cpu=0 bench=adpcm_dec cycles=317530 instructions=228467 cache-misses=47
[sample=30] cpu=0 bench=adpcm_dec cycles=316421 instructions=228468 cache-misses=50
[sample=31] cpu=0 bench=adpcm_dec cycles=317139 instructions=228468 cache-misses=53
[sample=32] cpu=0 bench=adpcm_dec cycles=317181 instructions=228471 cache-misses=55
[sample=33] cpu=0 bench=adpcm_dec cycles=318084 instructions=228469 cache-misses=50
[sample=34] cpu=0 bench=adpcm_dec cycles=322862 instructions=228469 cache-misses=50
[sample=35] cpu=0 bench=adpcm_dec cycles=320886 instructions=228469 cache-misses=40
[sample=36] cpu=0 bench=adpcm_dec cycles=317880 instructions=228468 cache-misses=48
[sample=37] cpu=0 bench=adpcm_dec cycles=317676 instructions=228468 cache-misses=42
[sample=38] cpu=0 bench=adpcm_dec cycles=317637 instructions=228469 cache-misses=41
[sample=39] cpu=0 bench=adpcm_dec cycles=317803 instructions=228468 cache-misses=43
[sample=40] cpu=0 bench=adpcm_dec cycles=316874 instructions=228469 cache-misses=45
[sample=41] cpu=0 bench=adpcm_dec cycles=317063 instructions=228470 cache-misses=51
[sample=42] cpu=0 bench=adpcm_dec cycles=318256 instructions=228471 cache-misses=50
[sample=43] cpu=0 bench=adpcm_dec cycles=320095 instructions=228470 cache-misses=50
[sample=44] cpu=0 bench=adpcm_dec cycles=321878 instructions=228471 cache-misses=44
[sample=45] cpu=0 bench=adpcm_dec cycles=319534 instructions=228471 cache-misses=52
[sample=46] cpu=0 bench=adpcm_dec cycles=316892 instructions=228470 cache-misses=49
[sample=47] cpu=0 bench=adpcm_dec cycles=316318 instructions=228471 cache-misses=42
[sample=48] cpu=0 bench=adpcm_dec cycles=316494 instructions=228468 cache-misses=46
[sample=49] cpu=0 bench=adpcm_dec cycles=317269 instructions=228469 cache-misses=55
[sample=50] cpu=0 bench=adpcm_dec cycles=316732 instructions=228469 cache-misses=43
[sample=51] cpu=0 bench=adpcm_dec cycles=317454 instructions=228470 cache-misses=42
[sample=52] cpu=0 bench=adpcm_dec cycles=322631 instructions=228469 cache-misses=52
[sample=53] cpu=0 bench=adpcm_dec cycles=323363 instructions=228469 cache-misses=45
[sample=54] cpu=0 bench=adpcm_dec cycles=319751 instructions=228469 cache-misses=44
[sample=55] cpu=0 bench=adpcm_dec cycles=317419 instructions=228468 cache-misses=49
[sample=56] cpu=0 bench=adpcm_dec cycles=317774 instructions=228469 cache-misses=43
