[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=BUS  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=24] cpu=0 bench=adpcm_dec cycles=327772 instructions=228467 cache-misses=48
[sample=25] cpu=0 bench=adpcm_dec cycles=456464 instructions=228472 cache-misses=49
[sample=26] cpu=0 bench=adpcm_dec cycles=474551 instructions=228467 cache-misses=66
[sample=27] cpu=0 bench=adpcm_dec cycles=419811 instructions=228468 cache-misses=41
[sample=28] cpu=0 bench=adpcm_dec cycles=420407 instructions=228468 cache-misses=60
[sample=29] cpu=0 bench=adpcm_dec cycles=361857 instructions=228469 cache-misses=46
[sample=30] cpu=0 bench=adpcm_dec cycles=336984 instructions=228467 cache-misses=53
[sample=31] cpu=0 bench=adpcm_dec cycles=330210 instructions=228470 cache-misses=56
[sample=32] cpu=0 bench=adpcm_dec cycles=325495 instructions=228468 cache-misses=41
[sample=33] cpu=0 bench=adpcm_dec cycles=334157 instructions=228467 cache-misses=59
[sample=34] cpu=0 bench=adpcm_dec cycles=319940 instructions=228468 cache-misses=55
[sample=35] cpu=0 bench=adpcm_dec cycles=324386 instructions=228467 cache-misses=41
[sample=36] cpu=0 bench=adpcm_dec cycles=328537 instructions=228469 cache-misses=47
[sample=37] cpu=0 bench=adpcm_dec cycles=322219 instructions=228467 cache-misses=46
[sample=38] cpu=0 bench=adpcm_dec cycles=321966 instructions=228468 cache-misses=50
[sample=39] cpu=0 bench=adpcm_dec cycles=326848 instructions=228469 cache-misses=58
[sample=40] cpu=0 bench=adpcm_dec cycles=319563 instructions=228467 cache-misses=56
[sample=41] cpu=0 bench=adpcm_dec cycles=320611 instructions=228468 cache-misses=46
[sample=42] cpu=0 bench=adpcm_dec cycles=326963 instructions=228467 cache-misses=52
[sample=43] cpu=0 bench=adpcm_dec cycles=323068 instructions=228468 cache-misses=48
[sample=44] cpu=0 bench=adpcm_dec cycles=323346 instructions=228467 cache-misses=51
