board,bench,q,sample_count,C_solo,C_mix,slowdown_mix,delta_mix,strongest_single_delta,a_mix,prop2_ceiling,ceiling_headroom,source_solo,source_mix
pi5,iir,p99,1000,1846,8299,4.495666306,6453,3393,1.901856764,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/iir__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/iir__mix.txt
pi5,minver,p99,1000,1486,15875,10.68304172,14389,7796,1.845690097,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/minver__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/minver__mix.txt
pi5,md5,p99,1000,19429205,19472413,1.002223869,43208,25548,1.691247847,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/md5__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/md5__mix.txt
pi5,bitonic,p99,1000,7347,15893,2.163195862,8546,6568,1.301157125,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitonic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitonic__mix.txt
pi5,fac,p99,1000,277,3590,12.96028881,3313,3203,1.034342804,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/fac__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/fac__mix.txt
pi5,filterbank,p99,1000,3270443,3642874,1.113877845,372431,377996,0.985277622,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/filterbank__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/filterbank__mix.txt
pi5,sha,p99,1000,1477024,1708497,1.156715802,231473,248045,0.9331895422,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/sha__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/sha__mix.txt
pi5,fmref,p99,1000,215316,277651,1.289504728,62335,68433,0.9108909444,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/fmref__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/fmref__mix.txt
pi5,pm,p99,1000,8001294,8389653,1.048537024,388359,438100,0.886461995,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/pm__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/pm__mix.txt
pi5,h264_dec,p99,1000,233686,317504,1.358677884,83818,94973,0.8825455656,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/h264_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/h264_dec__mix.txt
pi5,lms,p99,1000,162429,193689,1.192453318,31260,37105,0.8424740601,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/lms__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/lms__mix.txt
pi5,epic,p99,1000,1506838,1945535,1.291137468,438697,527725,0.8312984983,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/epic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/epic__mix.txt
pi5,deg2rad,p99,1000,3796,6870,1.809799789,3074,3709,0.8287948234,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/deg2rad__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/deg2rad__mix.txt
pi5,g723_enc,p99,1000,321402,381249,1.18620606,59847,72286,0.8279196525,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/g723_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/g723_enc__mix.txt
pi5,complex_updates,p99,1000,1051,6223,5.921027593,5172,6303,0.8205616373,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/complex_updates__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/complex_updates__mix.txt
pi5,dijkstra,p99,1000,42168089,47937977,1.136830673,5769888,7089548,0.8138583729,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/dijkstra__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/dijkstra__mix.txt
pi5,jfdctint,p99,1000,2864,11772,4.110335196,8908,11048,0.8062997828,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/jfdctint__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/jfdctint__mix.txt
pi5,bsort,p99,1000,75083,91584,1.219770121,16501,20588,0.8014863027,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/bsort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/bsort__mix.txt
pi5,ammunition,p99,1000,80960587,82385925,1.017605332,1425338,1787923,0.7972032353,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/ammunition__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/ammunition__mix.txt
pi5,powerwindow,p99,1000,778157,1184895,1.522694006,406738,512953,0.7929342454,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/powerwindow__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/powerwindow__mix.txt
pi5,insertsort,p99,1000,1107,7222,6.523938573,6115,7728,0.7912784679,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/insertsort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/insertsort__mix.txt
pi5,st,p99,1000,94908,151763,1.599053821,56855,72547,0.7836988435,,,paper_runs/pi5/20260520T110517Z/results_manual/e23/st__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e23/st__mix.txt
