board,bench,pair,q,sample_count,C_solo,C_a,C_b,C_pair,slowdown_a,slowdown_b,slowdown_pair,delta_a,delta_b,delta_pair,delta_pos_a,delta_pos_b,additive_violation,dominant_amplification,verdict,source_solo,source_a,source_b,source_pair
pi5,minver,BUS+MEM,p99,1000,1486,9282,8199,19349,6.246298789,5.517496635,13.02086137,7796,6713,17863,7796,6713,1.231166862,2.291303232,violation,paper_runs/pi5/20260520T110517Z/results_manual/e23/minver__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/minver__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/minver__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/minver__BUS+MEM.txt
pi5,minver,LLC+MEM,p99,1000,1486,8220,8199,17337,5.531628533,5.517496635,11.66689098,6734,6713,15851,6734,6713,1.178775935,2.353875854,violation,paper_runs/pi5/20260520T110517Z/results_manual/e23/minver__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/minver__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/minver__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/minver__LLC+MEM.txt
pi5,iir,LLC+MEM,p99,1000,1846,4663,4778,8086,2.526002167,2.588299025,4.38028169,2817,2932,6240,2817,2932,1.085406158,2.128240109,violation,paper_runs/pi5/20260520T110517Z/results_manual/e23/iir__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/iir__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/iir__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/iir__LLC+MEM.txt
pi5,bitonic,LLC+MEM,p99,1000,7347,13915,12456,19913,1.893970328,1.695385872,2.710357969,6568,5109,12566,6568,5109,1.076132568,1.913215591,violation,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitonic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__LLC+MEM.txt
pi5,deg2rad,LLC+BUS,p99,1000,3796,6788,5589,8018,1.788198103,1.472339305,2.112223393,2992,1793,4222,2992,1793,0.8823406479,1.411096257,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/deg2rad__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__LLC+BUS.txt
pi5,bitonic,BUS+MEM,p99,1000,7347,12727,12456,16201,1.732271676,1.695385872,2.205117735,5380,5109,8854,5380,5109,0.844122414,1.645724907,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitonic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__BUS+MEM.txt
pi5,fmref,BUS+MEM,p99,1000,215316,260335,271682,299438,1.209083394,1.261782682,1.390690892,45019,56366,84122,45019,56366,0.8297282635,1.492424511,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/fmref__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fmref__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fmref__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fmref__BUS+MEM.txt
pi5,cover,LLC+MEM,p99,1000,3737,15831,37206,41027,4.236285791,9.95611453,10.97859245,12094,33469,37290,12094,33469,0.8184272326,1.114165347,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/cover__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cover__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cover__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cover__LLC+MEM.txt
pi5,complex_updates,LLC+BUS,p99,1000,1051,6077,4493,7316,5.782112274,4.274976213,6.960989534,5026,3442,6265,5026,3442,0.739844119,1.246518106,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/complex_updates__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/complex_updates__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/complex_updates__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/complex_updates__LLC+BUS.txt
pi5,lift,LLC+MEM,p99,1000,487496,516092,509116,524601,1.058658943,1.044349082,1.076113445,28596,21620,37105,28596,21620,0.7389079178,1.297559099,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/lift__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lift__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lift__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lift__LLC+MEM.txt
pi5,deg2rad,LLC+MEM,p99,1000,3796,6788,7505,8659,1.788198103,1.977081138,2.281085353,2992,3709,4863,2992,3709,0.7257125802,1.311135077,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/deg2rad__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__LLC+MEM.txt
