board,bench,config,return_code,samples,expected_samples,reason
pi5,anagram,solo,1,1,1000,run_incomplete
pi5,anagram,LLC,1,1,1000,run_incomplete
pi5,anagram,BUS,1,1,1000,run_incomplete
pi5,anagram,MEM,1,1,1000,run_incomplete
pi5,anagram,LLC+BUS,1,1,1000,run_incomplete
pi5,anagram,LLC+MEM,1,1,1000,run_incomplete
pi5,anagram,BUS+MEM,1,1,1000,run_incomplete
pi5,anagram,Mix,1,1,1000,run_incomplete
pi5,audiobeam,solo,1,4,1000,run_incomplete
pi5,audiobeam,LLC,1,4,1000,run_incomplete
pi5,audiobeam,BUS,1,4,1000,run_incomplete
pi5,audiobeam,MEM,1,4,1000,run_incomplete
pi5,audiobeam,LLC+BUS,1,4,1000,run_incomplete
pi5,audiobeam,LLC+MEM,1,4,1000,run_incomplete
pi5,audiobeam,BUS+MEM,1,4,1000,run_incomplete
pi5,audiobeam,Mix,1,4,1000,run_incomplete
pi5,huff_dec,solo,1,1,1000,run_incomplete
pi5,huff_dec,LLC,1,1,1000,run_incomplete
pi5,huff_dec,BUS,1,1,1000,run_incomplete
pi5,huff_dec,MEM,1,1,1000,run_incomplete
pi5,huff_dec,LLC+BUS,1,1,1000,run_incomplete
pi5,huff_dec,LLC+MEM,1,1,1000,run_incomplete
pi5,huff_dec,BUS+MEM,1,1,1000,run_incomplete
pi5,huff_dec,Mix,1,1,1000,run_incomplete
pi5,rijndael_dec,solo,1,0,1000,run_incomplete
pi5,rijndael_dec,LLC,1,0,1000,run_incomplete
pi5,rijndael_dec,BUS,1,0,1000,run_incomplete
pi5,rijndael_dec,MEM,1,0,1000,run_incomplete
pi5,rijndael_dec,LLC+BUS,1,0,1000,run_incomplete
pi5,rijndael_dec,LLC+MEM,1,0,1000,run_incomplete
pi5,rijndael_dec,BUS+MEM,1,0,1000,run_incomplete
pi5,rijndael_dec,Mix,1,0,1000,run_incomplete
pi5,rijndael_enc,solo,1,0,1000,run_incomplete
pi5,rijndael_enc,LLC,1,0,1000,run_incomplete
pi5,rijndael_enc,BUS,1,0,1000,run_incomplete
pi5,rijndael_enc,MEM,1,0,1000,run_incomplete
pi5,rijndael_enc,LLC+BUS,1,0,1000,run_incomplete
pi5,rijndael_enc,LLC+MEM,1,0,1000,run_incomplete
pi5,rijndael_enc,BUS+MEM,1,0,1000,run_incomplete
pi5,rijndael_enc,Mix,1,0,1000,run_incomplete
