board,bench,pair,q,sample_count,C_solo,C_a,C_b,C_pair,slowdown_a,slowdown_b,slowdown_pair,delta_a,delta_b,delta_pair,delta_pos_a,delta_pos_b,additive_violation,dominant_amplification,verdict,source_solo,source_a,source_b,source_pair
pi5,ludcmp,LLC+BUS,max,1000,8356,56287,40768,63961,6.73611776,4.878889421,7.654499761,47931,32412,55605,47931,32412,0.6920951421,1.160105151,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/ludcmp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ludcmp__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ludcmp__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ludcmp__LLC+BUS.txt
pi5,recursion,BUS+MEM,max,1000,4948,18708,23913,27577,3.780921584,4.832861762,5.573362975,13760,18965,22629,13760,18965,0.6914896868,1.193197996,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/recursion__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/recursion__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/recursion__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/recursion__BUS+MEM.txt
pi5,ndes,LLC+MEM,max,1000,40068,112196,133359,153355,2.800139762,3.328316861,3.827368474,72128,93291,113287,72128,93291,0.684848778,1.214340076,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/ndes__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ndes__LLC+MEM.txt
pi5,cjpeg_transupp,BUS+MEM,max,1000,2303437,2375189,2421949,2433143,1.031149973,1.051450072,1.056309767,71752,118512,129706,71752,118512,0.6817159315,1.09445457,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_transupp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cjpeg_transupp__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cjpeg_transupp__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cjpeg_transupp__BUS+MEM.txt
pi5,isqrt,LLC+BUS,max,1000,598958,612031,613790,617956,1.021826238,1.024763005,1.031718418,13073,14832,18998,13073,14832,0.6808098907,1.28087918,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/isqrt__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__LLC+BUS.txt
pi5,isqrt,LLC+MEM,max,1000,598958,612031,613635,617638,1.021826238,1.024504222,1.031187496,13073,14677,18680,13073,14677,0.6731531532,1.272739661,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/isqrt__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__LLC+MEM.txt
pi5,insertsort,BUS+MEM,max,1000,5146,27687,29763,36743,5.380295375,5.783715507,7.140108822,22541,24617,31597,22541,24617,0.6700241741,1.283543892,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/insertsort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/insertsort__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/insertsort__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/insertsort__BUS+MEM.txt
pi5,powerwindow,BUS+MEM,max,1000,829464,1175596,1386410,1430906,1.417295989,1.67145289,1.725097171,346132,556946,601442,346132,556946,0.665991199,1.079892844,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/powerwindow__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__BUS+MEM.txt
pi5,iir,BUS+MEM,max,1000,2762,21782,15993,24226,7.886314265,5.790369298,8.771180304,19020,13231,21464,19020,13231,0.665529751,1.12849632,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/iir__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/iir__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/iir__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/iir__BUS+MEM.txt
pi5,isqrt,BUS+MEM,max,1000,598958,613790,613635,618490,1.024763005,1.024504222,1.032609966,14832,14677,19532,14832,14677,0.6618997594,1.316882416,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/isqrt__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__BUS+MEM.txt
pi5,cosf,BUS+MEM,max,1000,19784,36018,60706,57443,1.82056207,3.068439143,2.903507885,16234,40922,37659,16234,40922,0.6588809574,0.9202629393,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/cosf__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cosf__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cosf__MEM.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cosf__BUS+MEM.txt
pi5,dijkstra,LLC+BUS,max,1000,42187945,46479559,46574228,47833100,1.101726074,1.103970056,1.13380967,4291614,4386283,5645155,4291614,4386283,0.6505210882,1.287002001,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/dijkstra__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__LLC+BUS.txt
pi5,md5,LLC+BUS,max,1000,19607706,19493031,19680421,19654948,0.9941515341,1.003708491,1.002409359,-114675,72715,47242,0,72715,0.6496871347,0.6496871347,OK,paper_runs/pi5/20260520T110517Z/results_manual/e23/md5__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__LLC.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__BUS.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__LLC+BUS.txt
