board,source,records,violations,deadline_misses,shield_recovered,max_ratio,rho_safe_min,source_path
pi5,E4,227,0,,,0,0,/home/gjh/CRISP/experiments/data/processed/e4_safety_histogram.csv
pi5,E7,445,,0,22,0,0,/home/gjh/CRISP/experiments/data/processed/e7_case_study.csv
