board,bench,q,best_channel,C_solo,C_best,slowdown_best,delta_best,source_solo,source_best
pi5,rad2deg,p99,MEM,3788,9001,2.376187962,5213,paper_runs/pi5/20260520T110517Z/results_manual/e23/rad2deg__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/rad2deg__MEM.txt
pi5,matrix1,p99,MEM,9381,20766,2.213623281,11385,paper_runs/pi5/20260520T110517Z/results_manual/e23/matrix1__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/matrix1__MEM.txt
pi5,countnegative,p99,MEM,9888,20016,2.024271845,10128,paper_runs/pi5/20260520T110517Z/results_manual/e23/countnegative__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/countnegative__MEM.txt
pi5,deg2rad,p99,MEM,3796,7505,1.977081138,3709,paper_runs/pi5/20260520T110517Z/results_manual/e23/deg2rad__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/deg2rad__MEM.txt
pi5,bitonic,p99,LLC,7347,13915,1.893970328,6568,paper_runs/pi5/20260520T110517Z/results_manual/e23/bitonic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bitonic__LLC.txt
pi5,st,p99,MEM,94908,167455,1.764392886,72547,paper_runs/pi5/20260520T110517Z/results_manual/e23/st__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/st__MEM.txt
pi5,powerwindow,p99,MEM,778157,1291110,1.659189598,512953,paper_runs/pi5/20260520T110517Z/results_manual/e23/powerwindow__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/powerwindow__MEM.txt
pi5,fft,p99,MEM,350302,552712,1.577815713,202410,paper_runs/pi5/20260520T110517Z/results_manual/e23/fft__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fft__MEM.txt
pi5,cjpeg_wrbmp,p99,MEM,78151,123196,1.576384179,45045,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_wrbmp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cjpeg_wrbmp__MEM.txt
pi5,huff_enc,p99,MEM,562407,848114,1.508007546,285707,paper_runs/pi5/20260520T110517Z/results_manual/e23/huff_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/huff_enc__MEM.txt
pi5,h264_dec,p99,MEM,233686,328659,1.406412879,94973,paper_runs/pi5/20260520T110517Z/results_manual/e23/h264_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/h264_dec__MEM.txt
pi5,adpcm_enc,p99,MEM,177709,247994,1.395506136,70285,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/adpcm_enc__MEM.txt
pi5,adpcm_dec,p99,MEM,181710,251946,1.386527984,70236,paper_runs/pi5/20260520T110517Z/results_manual/e23/adpcm_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/adpcm_dec__MEM.txt
pi5,epic,p99,MEM,1506838,2034563,1.35022013,527725,paper_runs/pi5/20260520T110517Z/results_manual/e23/epic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/epic__MEM.txt
pi5,fmref,p99,LLC,215316,283749,1.317825893,68433,paper_runs/pi5/20260520T110517Z/results_manual/e23/fmref__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/fmref__LLC.txt
pi5,bsort,p99,LLC,75083,95671,1.274203215,20588,paper_runs/pi5/20260520T110517Z/results_manual/e23/bsort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/bsort__LLC.txt
pi5,test3,p99,MEM,212528773,264981054,1.246800846,52452281,paper_runs/pi5/20260520T110517Z/results_manual/e23/test3__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/test3__MEM.txt
pi5,lms,p99,MEM,162429,199534,1.228438271,37105,paper_runs/pi5/20260520T110517Z/results_manual/e23/lms__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lms__MEM.txt
pi5,g723_enc,p99,LLC,321402,393688,1.22490837,72286,paper_runs/pi5/20260520T110517Z/results_manual/e23/g723_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/g723_enc__LLC.txt
pi5,quicksort,p99,MEM,3064868,3731888,1.217634169,667020,paper_runs/pi5/20260520T110517Z/results_manual/e23/quicksort__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/quicksort__MEM.txt
pi5,dijkstra,p99,MEM,42168089,49257637,1.168125902,7089548,paper_runs/pi5/20260520T110517Z/results_manual/e23/dijkstra__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/dijkstra__MEM.txt
pi5,sha,p99,MEM,1477024,1725069,1.16793566,248045,paper_runs/pi5/20260520T110517Z/results_manual/e23/sha__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/sha__MEM.txt
pi5,gsm_enc,p99,MEM,3539189,4062083,1.147744017,522894,paper_runs/pi5/20260520T110517Z/results_manual/e23/gsm_enc__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/gsm_enc__MEM.txt
pi5,filterbank,p99,LLC,3270443,3648439,1.115579449,377996,paper_runs/pi5/20260520T110517Z/results_manual/e23/filterbank__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/filterbank__LLC.txt
pi5,gsm_dec,p99,LLC,1852537,2023803,1.092449436,171266,paper_runs/pi5/20260520T110517Z/results_manual/e23/gsm_dec__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/gsm_dec__LLC.txt
pi5,cjpeg_transupp,p99,LLC,2267113,2403185,1.060019946,136072,paper_runs/pi5/20260520T110517Z/results_manual/e23/cjpeg_transupp__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cjpeg_transupp__LLC.txt
pi5,lift,p99,LLC,487496,516092,1.058658943,28596,paper_runs/pi5/20260520T110517Z/results_manual/e23/lift__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/lift__LLC.txt
pi5,pm,p99,MEM,8001294,8439394,1.054753644,438100,paper_runs/pi5/20260520T110517Z/results_manual/e23/pm__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/pm__MEM.txt
pi5,susan,p99,MEM,31233146,32739970,1.048244388,1506824,paper_runs/pi5/20260520T110517Z/results_manual/e23/susan__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/susan__MEM.txt
pi5,cubic,p99,MEM,1190701,1247776,1.047933948,57075,paper_runs/pi5/20260520T110517Z/results_manual/e23/cubic__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/cubic__MEM.txt
pi5,isqrt,p99,LLC,578871,605691,1.046331566,26820,paper_runs/pi5/20260520T110517Z/results_manual/e23/isqrt__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/isqrt__LLC.txt
pi5,mpeg2,p99,MEM,263223434,274310040,1.042118613,11086606,paper_runs/pi5/20260520T110517Z/results_manual/e23/mpeg2__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/mpeg2__MEM.txt
pi5,ammunition,p99,MEM,80960587,82748510,1.022083869,1787923,paper_runs/pi5/20260520T110517Z/results_manual/e23/ammunition__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/ammunition__MEM.txt
pi5,md5,p99,BUS,19429205,19454753,1.001314928,25548,paper_runs/pi5/20260520T110517Z/results_manual/e23/md5__solo.txt,paper_runs/pi5/20260520T110517Z/results_manual/e24/md5__BUS.txt
