victim,attackers,base_med,bg_med,sd_med,sd_avg,valid,confirm_file
cubic,PR_CACHE PR_CACHE PR_CACHE,2162194.0,2210735.0,1.0224498819254886,1.0249308410044606,True,/home/gjh/CRISP/results/hunt/cubic__CONFIRM_MIX_TOP1x3.txt
deg2rad,POINTER POINTER POINTER,17223.0,17323.0,1.0058061893978982,1.0081363447415823,True,/home/gjh/CRISP/results/hunt/deg2rad__CONFIRM_MIX_TOP1x3.txt
dijkstra,MEM MEM MEM,108748619.5,111443762.0,1.024783234144871,1.0278537047482734,True,/home/gjh/CRISP/results/hunt/dijkstra__CONFIRM_SOLO3_MEM.txt
duff,MTH_MEM MTH_MEM MTH_MEM,4789.5,5439.0,1.1356091450046977,1.1019824478921798,True,/home/gjh/CRISP/results/hunt/duff__CONFIRM_SOLO3_MTH_MEM.txt
epic,MTH_MEM MEM MTH_BUS,5562163.0,5688011.0,1.0226257303139084,1.0344506535021636,True,/home/gjh/CRISP/results/hunt/epic__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
fac,POINTER POINTER POINTER,741.0,830.0,1.1201079622132253,1.0444138473642801,True,/home/gjh/CRISP/results/hunt/fac__CONFIRM_MIX_TOP1x3.txt
fft,PR_TLB PR_TLB PR_CACHE,979871.0,1009093.0,1.029822292934478,1.0270717046252675,True,/home/gjh/CRISP/results/hunt/fft__CONFIRM_MIX_TOP1x2_TOP2.txt
filterbank,MTH_MEM PR_TLB PR_TLB,15631621.5,15743340.5,1.0071469872783192,1.0098854655221399,True,/home/gjh/CRISP/results/hunt/filterbank__CONFIRM_MIX_TOP1_TOP3x2.txt
fir2dim,POINTER POINTER POINTER,13017.5,20171.0,1.549529479546764,1.3614686976385948,True,/home/gjh/CRISP/results/hunt/fir2dim__CONFIRM_SOLO3_POINTER.txt
fmref,PR_CACHE PR_CACHE POINTER,654084.5,707290.0,1.081343465561407,1.0594416582032242,True,/home/gjh/CRISP/results/hunt/fmref__CONFIRM_MIX_TOP1x2_TOP2.txt
g723_enc,PR_CACHE PR_CACHE PR_CACHE,1033081.0,1066954.0,1.0327883292791176,1.0238527828171329,True,/home/gjh/CRISP/results/hunt/g723_enc__CONFIRM_SOLO3_PR_CACHE.txt
gsm_dec,MTH_MEM MTH_MEM BUS,3777224.5,3985646.0,1.0551784782715457,1.0680436572738339,True,/home/gjh/CRISP/results/hunt/gsm_dec__CONFIRM_MIX_TOP1x2_TOP2.txt
gsm_enc,PR_CACHE MTH_MEM PR_TLB,11827671.5,12782613.0,1.080737911938119,1.0790841679817822,True,/home/gjh/CRISP/results/hunt/gsm_enc__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
h264_dec,PR_TLB PR_TLB PR_CACHE,522207.0,539223.5,1.0325857370736127,1.0514010141824148,True,/home/gjh/CRISP/results/hunt/h264_dec__CONFIRM_MIX_TOP1x2_TOP2.txt
huff_enc,PR_CACHE MEM PR_TLB,1495374.0,1605579.5,1.0736976167834937,1.0987939469430836,True,/home/gjh/CRISP/results/hunt/huff_enc__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
iir,PR_CACHE PR_CACHE PR_CACHE,3671.5,3517.0,0.9579191066321667,1.1430938939166122,True,/home/gjh/CRISP/results/hunt/iir__CONFIRM_SOLO3_PR_CACHE.txt
insertsort,PR_CACHE PR_CACHE PR_CACHE,4276.5,4184.0,0.9783701625160762,0.9774161386598423,True,/home/gjh/CRISP/results/hunt/insertsort__CONFIRM_SOLO3_PR_CACHE.txt
isqrt,PR_TLB PR_TLB PR_TLB,1433754.0,1449573.5,1.0110336222252911,1.009546761811352,True,/home/gjh/CRISP/results/hunt/isqrt__CONFIRM_SOLO3_PR_TLB.txt
jfdctint,PR_SPAWN PR_SPAWN PR_SPAWN,8565.5,11646.5,1.3596987916642345,1.2505905729967666,True,/home/gjh/CRISP/results/hunt/jfdctint__CONFIRM_MIX_TOP1x3.txt
lift,PR_CACHE PR_SPAWN PR_SPAWN,1410045.5,1422478.5,1.0088174459618502,1.0112456214812775,True,/home/gjh/CRISP/results/hunt/lift__CONFIRM_MIX_TOP1_TOP3x2.txt
lms,PR_CACHE PR_CACHE POINTER,460561.0,471726.5,1.0242432598504867,1.0263784210466829,True,/home/gjh/CRISP/results/hunt/lms__CONFIRM_MIX_TOP1x2_TOP2.txt
ludcmp,POINTER POINTER POINTER,10767.0,10704.5,0.994195226153989,0.977959704776529,True,/home/gjh/CRISP/results/hunt/ludcmp__CONFIRM_SOLO3_POINTER.txt
matrix1,PR_CACHE PR_CACHE PR_CACHE,20701.5,20666.0,0.9982851484191967,0.9875057202781683,True,/home/gjh/CRISP/results/hunt/matrix1__CONFIRM_MIX_TOP1x3.txt
md5,MTH_MEM MTH_MEM MTH_MEM,36046736.0,36266071.5,1.0060847534156767,1.011740255052827,True,/home/gjh/CRISP/results/hunt/md5__CONFIRM_SOLO3_MTH_MEM.txt
minver,MEM POINTER POINTER,6780.0,6380.0,0.9410029498525073,1.226463354648303,True,/home/gjh/CRISP/results/hunt/minver__CONFIRM_MIX_TOP1_TOP3x2.txt
mpeg2,MTH_MEM PR_CACHE PR_CACHE,566236650.5,583484759.0,1.0304609538869827,1.029468235009327,True,/home/gjh/CRISP/results/hunt/mpeg2__CONFIRM_MIX_TOP1_TOP3x2.txt
ndes,PR_SPAWN PR_SPAWN MTH_MEM,105587.5,105800.5,1.0020172842429265,0.962126162903996,True,/home/gjh/CRISP/results/hunt/ndes__CONFIRM_MIX_TOP1x2_TOP2.txt
petrinet,PR_ROWBUF PR_ROWBUF PR_ROWBUF,3426.0,3352.0,0.9784004670169294,0.6295606337416515,True,/home/gjh/CRISP/results/hunt/petrinet__CONFIRM_SOLO3_PR_ROWBUF.txt
pm,MEM MTH_MEM PR_TLB,21330830.5,21722955.0,1.0183829926359407,1.02333935189927,True,/home/gjh/CRISP/results/hunt/pm__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
powerwindow,MTH_MEM MTH_MEM MTH_MEM,2934370.0,3141663.0,1.0706431022672669,1.105608921234184,True,/home/gjh/CRISP/results/hunt/powerwindow__CONFIRM_SOLO3_MTH_MEM.txt
prime,POINTER POINTER POINTER,1058.5,1100.0,1.0392064241851677,1.2407252828788724,True,/home/gjh/CRISP/results/hunt/prime__CONFIRM_SOLO3_POINTER.txt
quicksort,MEM MTH_MEM PR_TLB,6052417.0,6458664.5,1.0671215317781308,1.0870823702961228,True,/home/gjh/CRISP/results/hunt/quicksort__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
rad2deg,MEM MEM MEM,17559.5,17453.0,0.9939349070303825,1.0465081162702907,True,/home/gjh/CRISP/results/hunt/rad2deg__CONFIRM_SOLO3_MEM.txt
recursion,MTH_MEM MTH_MEM MTH_MEM,4554.5,5042.5,1.1071467779119553,1.2859067992272535,True,/home/gjh/CRISP/results/hunt/recursion__CONFIRM_SOLO3_MTH_MEM.txt
rijndael_dec,,0.0,0.0,0.0,0.0,False,/home/gjh/CRISP/results/hunt/rijndael_dec__CONFIRM_.txt
rijndael_enc,,0.0,0.0,0.0,0.0,False,/home/gjh/CRISP/results/hunt/rijndael_enc__CONFIRM_.txt
sha,MTH_MEM PR_TLB MEM,5438545.5,5730881.5,1.0537526071998478,1.0693241062840342,True,/home/gjh/CRISP/results/hunt/sha__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
st,PR_SPAWN POINTER MEM,321609.5,322680.5,1.003330125509352,1.0040434585827307,True,/home/gjh/CRISP/results/hunt/st__CONFIRM_MIX_TOP1_TOP2_TOP3.txt
statemate,MTH_MEM MTH_MEM MTH_MEM,105857.5,111463.5,1.0529579859717073,1.159952472921952,True,/home/gjh/CRISP/results/hunt/statemate__CONFIRM_SOLO3_MTH_MEM.txt
susan,MTH_MEM MTH_MEM MTH_MEM,78976611.0,79568272.5,1.0074916040649047,1.008695703837737,True,/home/gjh/CRISP/results/hunt/susan__CONFIRM_MIX_TOP1x3.txt
test3,MEM MEM MEM,768144447.5,939169036.0,1.222646390345743,1.222066300130896,True,/home/gjh/CRISP/results/hunt/test3__CONFIRM_SOLO3_MEM.txt
