[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=63469 instructions=10128 cache-misses=15
[sample=1] cpu=0 bench=fir2dim cycles=25784 instructions=10114 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=25577 instructions=10112 cache-misses=7
[sample=3] cpu=0 bench=fir2dim cycles=16039 instructions=10113 cache-misses=9
[sample=4] cpu=0 bench=fir2dim cycles=17003 instructions=10113 cache-misses=7
[sample=5] cpu=0 bench=fir2dim cycles=16098 instructions=10116 cache-misses=9
[sample=6] cpu=0 bench=fir2dim cycles=16228 instructions=10112 cache-misses=12
[sample=7] cpu=0 bench=fir2dim cycles=18360 instructions=10110 cache-misses=6
[sample=8] cpu=0 bench=fir2dim cycles=17226 instructions=10113 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=16608 instructions=10110 cache-misses=12
[sample=10] cpu=0 bench=fir2dim cycles=15840 instructions=10110 cache-misses=8
[sample=11] cpu=0 bench=fir2dim cycles=15353 instructions=10112 cache-misses=9
[sample=12] cpu=0 bench=fir2dim cycles=15390 instructions=10114 cache-misses=9
[sample=13] cpu=0 bench=fir2dim cycles=14632 instructions=10111 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=16020 instructions=10110 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=16952 instructions=10110 cache-misses=10
[sample=16] cpu=0 bench=fir2dim cycles=14990 instructions=10107 cache-misses=9
[sample=17] cpu=0 bench=fir2dim cycles=16272 instructions=10116 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=15413 instructions=10109 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=19086 instructions=10108 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=14693 instructions=10110 cache-misses=7
[sample=21] cpu=0 bench=fir2dim cycles=17692 instructions=10112 cache-misses=7
[sample=22] cpu=0 bench=fir2dim cycles=15398 instructions=10107 cache-misses=8
[sample=23] cpu=0 bench=fir2dim cycles=20897 instructions=10113 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=14860 instructions=10112 cache-misses=8
[sample=25] cpu=0 bench=fir2dim cycles=16941 instructions=10110 cache-misses=12
[sample=26] cpu=0 bench=fir2dim cycles=19480 instructions=10117 cache-misses=5
[sample=27] cpu=0 bench=fir2dim cycles=16817 instructions=10121 cache-misses=8
[sample=28] cpu=0 bench=fir2dim cycles=19598 instructions=10111 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=16544 instructions=10107 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=15801 instructions=10115 cache-misses=11
[sample=31] cpu=0 bench=fir2dim cycles=21395 instructions=10110 cache-misses=11
[sample=32] cpu=0 bench=fir2dim cycles=19840 instructions=10112 cache-misses=8
[sample=33] cpu=0 bench=fir2dim cycles=15744 instructions=10115 cache-misses=10
[sample=34] cpu=0 bench=fir2dim cycles=16484 instructions=10113 cache-misses=9
[sample=35] cpu=0 bench=fir2dim cycles=16190 instructions=10110 cache-misses=9
[sample=36] cpu=0 bench=fir2dim cycles=15771 instructions=10113 cache-misses=7
[sample=37] cpu=0 bench=fir2dim cycles=16945 instructions=10109 cache-misses=7
[sample=38] cpu=0 bench=fir2dim cycles=14881 instructions=10110 cache-misses=8
[sample=39] cpu=0 bench=fir2dim cycles=19238 instructions=10107 cache-misses=9
[sample=40] cpu=0 bench=fir2dim cycles=19661 instructions=10111 cache-misses=8
[sample=41] cpu=0 bench=fir2dim cycles=14631 instructions=10115 cache-misses=8
[sample=42] cpu=0 bench=fir2dim cycles=15100 instructions=10115 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=15226 instructions=10109 cache-misses=6
[sample=44] cpu=0 bench=fir2dim cycles=15370 instructions=10112 cache-misses=8
[sample=45] cpu=0 bench=fir2dim cycles=14935 instructions=10114 cache-misses=7
[sample=46] cpu=0 bench=fir2dim cycles=16250 instructions=10109 cache-misses=9
[sample=47] cpu=0 bench=fir2dim cycles=15469 instructions=10112 cache-misses=9
[sample=48] cpu=0 bench=fir2dim cycles=15491 instructions=10108 cache-misses=9
[sample=49] cpu=0 bench=fir2dim cycles=15866 instructions=10109 cache-misses=9
[sample=50] cpu=0 bench=fir2dim cycles=14814 instructions=10115 cache-misses=10
[sample=51] cpu=0 bench=fir2dim cycles=14422 instructions=10112 cache-misses=9
[sample=52] cpu=0 bench=fir2dim cycles=15647 instructions=10110 cache-misses=10
[sample=53] cpu=0 bench=fir2dim cycles=18091 instructions=10116 cache-misses=9
[sample=54] cpu=0 bench=fir2dim cycles=14621 instructions=10115 cache-misses=8
[sample=55] cpu=0 bench=fir2dim cycles=15241 instructions=10112 cache-misses=9
[sample=56] cpu=0 bench=fir2dim cycles=14554 instructions=10115 cache-misses=8
[sample=57] cpu=0 bench=fir2dim cycles=15408 instructions=10108 cache-misses=8
[sample=58] cpu=0 bench=fir2dim cycles=15184 instructions=10109 cache-misses=8
[sample=59] cpu=0 bench=fir2dim cycles=17914 instructions=10109 cache-misses=7
[sample=60] cpu=0 bench=fir2dim cycles=15594 instructions=10112 cache-misses=8
[sample=61] cpu=0 bench=fir2dim cycles=15431 instructions=10111 cache-misses=9
[sample=62] cpu=0 bench=fir2dim cycles=16538 instructions=10109 cache-misses=8
[sample=63] cpu=0 bench=fir2dim cycles=17457 instructions=10111 cache-misses=8
[sample=64] cpu=0 bench=fir2dim cycles=15623 instructions=10111 cache-misses=7
[sample=65] cpu=0 bench=fir2dim cycles=18271 instructions=10112 cache-misses=11
[sample=66] cpu=0 bench=fir2dim cycles=16737 instructions=10116 cache-misses=13
[sample=67] cpu=0 bench=fir2dim cycles=14580 instructions=10112 cache-misses=8
[sample=68] cpu=0 bench=fir2dim cycles=15444 instructions=10111 cache-misses=10
[sample=69] cpu=0 bench=fir2dim cycles=15493 instructions=10111 cache-misses=7
[sample=70] cpu=0 bench=fir2dim cycles=19852 instructions=10111 cache-misses=8
[sample=71] cpu=0 bench=fir2dim cycles=15822 instructions=10111 cache-misses=9
[sample=72] cpu=0 bench=fir2dim cycles=15919 instructions=10111 cache-misses=9
[sample=73] cpu=0 bench=fir2dim cycles=16156 instructions=10111 cache-misses=8
[sample=74] cpu=0 bench=fir2dim cycles=14755 instructions=10111 cache-misses=8
