tag	phase	bg_workers	defines	ratio_adpcm_dec	ratio_binarysearch	ratio_fir2dim	ratio_fmref	ratio_iir	ratio_insertsort
A_p256_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=256 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0104	1.1017	1.0699	1.0176	1.0227	1.6075
A_p256_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=256 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0380	1.8126	1.2170	1.0211	1.4886	1.4992
A_p256_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=256 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0452	1.8173	1.1878	1.0191	1.4701	1.6108
A_p256_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=256 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0406	1.0760	1.0941	1.0166	1.3249	1.5820
A_p512_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=512 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0405	1.8301	1.1938	1.0192	1.2048	1.6977
A_p512_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=512 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0403	1.6634	1.1829	1.0196	1.4463	1.6465
A_p512_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=512 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0413	1.7457	1.2240	1.0167	1.5659	1.6306
A_p512_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=512 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0250	1.8877	1.2462	1.0194	1.3238	1.5951
A_p768_i2	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=768 -DMEM_OP_RATIO=2521 -DMEM_ITER=2	1.0345	1.6127	1.1991	1.0425	1.5381	1.5237
A_p768_i4	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=768 -DMEM_OP_RATIO=2521 -DMEM_ITER=4	1.0413	1.5588	1.2028	1.0196	1.3946	1.5649
A_p768_i8	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=768 -DMEM_OP_RATIO=2521 -DMEM_ITER=8	1.0406	1.8627	1.2106	1.0224	1.4553	1.5214
A_p768_i16	PHASE_A_LOOP	MEM MEM MEM	-DMEM_SIZE_MB=8 -DMEM_PAGE_SIZE=768 -DMEM_OP_RATIO=2521 -DMEM_ITER=16	1.0364	1.4142	1.1916	1.0210	1.4409	1.6673
