[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=62710 instructions=10128 cache-misses=18
[sample=1] cpu=0 bench=fir2dim cycles=24462 instructions=10109 cache-misses=11
[sample=2] cpu=0 bench=fir2dim cycles=16818 instructions=10113 cache-misses=9
[sample=3] cpu=0 bench=fir2dim cycles=15343 instructions=10110 cache-misses=10
[sample=4] cpu=0 bench=fir2dim cycles=14878 instructions=10110 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=15754 instructions=10111 cache-misses=7
[sample=6] cpu=0 bench=fir2dim cycles=16401 instructions=10114 cache-misses=9
[sample=7] cpu=0 bench=fir2dim cycles=15992 instructions=10113 cache-misses=7
[sample=8] cpu=0 bench=fir2dim cycles=16255 instructions=10114 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=14481 instructions=10117 cache-misses=8
[sample=10] cpu=0 bench=fir2dim cycles=14663 instructions=10109 cache-misses=8
[sample=11] cpu=0 bench=fir2dim cycles=16194 instructions=10108 cache-misses=10
[sample=12] cpu=0 bench=fir2dim cycles=14414 instructions=10108 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=15548 instructions=10107 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=16006 instructions=10112 cache-misses=8
[sample=15] cpu=0 bench=fir2dim cycles=19078 instructions=10108 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=16470 instructions=10109 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=14718 instructions=10111 cache-misses=7
[sample=18] cpu=0 bench=fir2dim cycles=16032 instructions=10109 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=16685 instructions=10111 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=15505 instructions=10110 cache-misses=11
[sample=21] cpu=0 bench=fir2dim cycles=16579 instructions=10109 cache-misses=9
[sample=22] cpu=0 bench=fir2dim cycles=15597 instructions=10110 cache-misses=7
[sample=23] cpu=0 bench=fir2dim cycles=16388 instructions=10111 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=15000 instructions=10111 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=15182 instructions=10115 cache-misses=8
[sample=26] cpu=0 bench=fir2dim cycles=15038 instructions=10116 cache-misses=8
[sample=27] cpu=0 bench=fir2dim cycles=15035 instructions=10110 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=16421 instructions=10109 cache-misses=9
[sample=29] cpu=0 bench=fir2dim cycles=15370 instructions=10112 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=16103 instructions=10112 cache-misses=7
[sample=31] cpu=0 bench=fir2dim cycles=15128 instructions=10114 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=16164 instructions=10112 cache-misses=8
[sample=33] cpu=0 bench=fir2dim cycles=15182 instructions=10109 cache-misses=8
[sample=34] cpu=0 bench=fir2dim cycles=16868 instructions=10112 cache-misses=9
[sample=35] cpu=0 bench=fir2dim cycles=15256 instructions=10112 cache-misses=7
[sample=36] cpu=0 bench=fir2dim cycles=16994 instructions=10109 cache-misses=9
[sample=37] cpu=0 bench=fir2dim cycles=17893 instructions=10108 cache-misses=9
[sample=38] cpu=0 bench=fir2dim cycles=15090 instructions=10110 cache-misses=9
[sample=39] cpu=0 bench=fir2dim cycles=15805 instructions=10110 cache-misses=9
[sample=40] cpu=0 bench=fir2dim cycles=15320 instructions=10110 cache-misses=6
[sample=41] cpu=0 bench=fir2dim cycles=14767 instructions=10111 cache-misses=10
[sample=42] cpu=0 bench=fir2dim cycles=16759 instructions=10113 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=19170 instructions=10111 cache-misses=10
[sample=44] cpu=0 bench=fir2dim cycles=15469 instructions=10112 cache-misses=11
[sample=45] cpu=0 bench=fir2dim cycles=15802 instructions=10113 cache-misses=10
[sample=46] cpu=0 bench=fir2dim cycles=20052 instructions=10107 cache-misses=9
[sample=47] cpu=0 bench=fir2dim cycles=15198 instructions=10113 cache-misses=8
[sample=48] cpu=0 bench=fir2dim cycles=14326 instructions=10107 cache-misses=8
[sample=49] cpu=0 bench=fir2dim cycles=16265 instructions=10114 cache-misses=9
[sample=50] cpu=0 bench=fir2dim cycles=14947 instructions=10118 cache-misses=10
[sample=51] cpu=0 bench=fir2dim cycles=15149 instructions=10114 cache-misses=12
[sample=52] cpu=0 bench=fir2dim cycles=16490 instructions=10112 cache-misses=8
[sample=53] cpu=0 bench=fir2dim cycles=14983 instructions=10109 cache-misses=8
[sample=54] cpu=0 bench=fir2dim cycles=15997 instructions=10111 cache-misses=8
[sample=55] cpu=0 bench=fir2dim cycles=15287 instructions=10115 cache-misses=9
[sample=56] cpu=0 bench=fir2dim cycles=15817 instructions=10107 cache-misses=8
[sample=57] cpu=0 bench=fir2dim cycles=14865 instructions=10109 cache-misses=9
[sample=58] cpu=0 bench=fir2dim cycles=16177 instructions=10114 cache-misses=10
[sample=59] cpu=0 bench=fir2dim cycles=17528 instructions=10110 cache-misses=9
[sample=60] cpu=0 bench=fir2dim cycles=15246 instructions=10115 cache-misses=9
[sample=61] cpu=0 bench=fir2dim cycles=16686 instructions=10108 cache-misses=9
[sample=62] cpu=0 bench=fir2dim cycles=15526 instructions=10112 cache-misses=9
[sample=63] cpu=0 bench=fir2dim cycles=15397 instructions=10109 cache-misses=11
[sample=64] cpu=0 bench=fir2dim cycles=14810 instructions=10109 cache-misses=8
[sample=65] cpu=0 bench=fir2dim cycles=15328 instructions=10111 cache-misses=10
[sample=66] cpu=0 bench=fir2dim cycles=15342 instructions=10110 cache-misses=7
[sample=67] cpu=0 bench=fir2dim cycles=16462 instructions=10114 cache-misses=10
[sample=68] cpu=0 bench=fir2dim cycles=15575 instructions=10112 cache-misses=9
[sample=69] cpu=0 bench=fir2dim cycles=19166 instructions=10109 cache-misses=11
[sample=70] cpu=0 bench=fir2dim cycles=18270 instructions=10106 cache-misses=7
[sample=71] cpu=0 bench=fir2dim cycles=17081 instructions=10112 cache-misses=8
[sample=72] cpu=0 bench=fir2dim cycles=16537 instructions=10111 cache-misses=9
[sample=73] cpu=0 bench=fir2dim cycles=16087 instructions=10111 cache-misses=7
[sample=74] cpu=0 bench=fir2dim cycles=14732 instructions=10113 cache-misses=8
[sample=75] cpu=0 bench=fir2dim cycles=16235 instructions=10111 cache-misses=8
[sample=76] cpu=0 bench=fir2dim cycles=15409 instructions=10111 cache-misses=7
[sample=77] cpu=0 bench=fir2dim cycles=16416 instructions=10109 cache-misses=8
[sample=78] cpu=0 bench=fir2dim cycles=15447 instructions=10107 cache-misses=8
[sample=79] cpu=0 bench=fir2dim cycles=16014 instructions=10112 cache-misses=10
[sample=80] cpu=0 bench=fir2dim cycles=14937 instructions=10113 cache-misses=8
[sample=81] cpu=0 bench=fir2dim cycles=15801 instructions=10112 cache-misses=9
[sample=82] cpu=0 bench=fir2dim cycles=15308 instructions=10113 cache-misses=9
[sample=83] cpu=0 bench=fir2dim cycles=17274 instructions=10112 cache-misses=11
[sample=84] cpu=0 bench=fir2dim cycles=15198 instructions=10108 cache-misses=7
[sample=85] cpu=0 bench=fir2dim cycles=15233 instructions=10110 cache-misses=7
[sample=86] cpu=0 bench=fir2dim cycles=14392 instructions=10113 cache-misses=8
[sample=87] cpu=0 bench=fir2dim cycles=21992 instructions=10113 cache-misses=7
[sample=88] cpu=0 bench=fir2dim cycles=16007 instructions=10111 cache-misses=7
[sample=89] cpu=0 bench=fir2dim cycles=15563 instructions=10109 cache-misses=9
[sample=90] cpu=0 bench=fir2dim cycles=15417 instructions=10112 cache-misses=9
[sample=91] cpu=0 bench=fir2dim cycles=16252 instructions=10112 cache-misses=9
[sample=92] cpu=0 bench=fir2dim cycles=16320 instructions=10115 cache-misses=12
[sample=93] cpu=0 bench=fir2dim cycles=14924 instructions=10108 cache-misses=9
[sample=94] cpu=0 bench=fir2dim cycles=20146 instructions=10109 cache-misses=8
[sample=95] cpu=0 bench=fir2dim cycles=14599 instructions=10107 cache-misses=8
[sample=96] cpu=0 bench=fir2dim cycles=19623 instructions=10112 cache-misses=10
[sample=97] cpu=0 bench=fir2dim cycles=15305 instructions=10114 cache-misses=8
[sample=98] cpu=0 bench=fir2dim cycles=20305 instructions=10113 cache-misses=9
[sample=99] cpu=0 bench=fir2dim cycles=15122 instructions=10107 cache-misses=9

# Statistics over 100 samples on cpu0 bench=fir2dim (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       14326                62710             16613.52             15777.50
  instructions                 10106                10128             10111.17             10111.00
  cache-misses                     6                   18                 8.72                 9.00
