[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=73] cpu=0 bench=binarysearch cycles=3395 instructions=1258 cache-misses=7
[sample=74] cpu=0 bench=binarysearch cycles=3528 instructions=1258 cache-misses=10
[sample=75] cpu=0 bench=binarysearch cycles=3379 instructions=1258 cache-misses=8
[sample=76] cpu=0 bench=binarysearch cycles=3590 instructions=1259 cache-misses=9
[sample=77] cpu=0 bench=binarysearch cycles=3571 instructions=1258 cache-misses=8
[sample=78] cpu=0 bench=binarysearch cycles=3137 instructions=1259 cache-misses=9
[sample=79] cpu=0 bench=binarysearch cycles=4328 instructions=1258 cache-misses=10
[sample=80] cpu=0 bench=binarysearch cycles=4110 instructions=1259 cache-misses=10
[sample=81] cpu=0 bench=binarysearch cycles=3544 instructions=1259 cache-misses=8
[sample=82] cpu=0 bench=binarysearch cycles=3452 instructions=1260 cache-misses=11
[sample=83] cpu=0 bench=binarysearch cycles=8500 instructions=1259 cache-misses=9
[sample=84] cpu=0 bench=binarysearch cycles=3489 instructions=1259 cache-misses=8
[sample=85] cpu=0 bench=binarysearch cycles=3767 instructions=1258 cache-misses=9
[sample=86] cpu=0 bench=binarysearch cycles=3420 instructions=1259 cache-misses=7
[sample=87] cpu=0 bench=binarysearch cycles=3238 instructions=1258 cache-misses=7
[sample=88] cpu=0 bench=binarysearch cycles=3314 instructions=1260 cache-misses=10
[sample=89] cpu=0 bench=binarysearch cycles=3488 instructions=1257 cache-misses=11
[sample=90] cpu=0 bench=binarysearch cycles=2829 instructions=1258 cache-misses=7
[sample=91] cpu=0 bench=binarysearch cycles=4020 instructions=1259 cache-misses=9
[sample=92] cpu=0 bench=binarysearch cycles=3059 instructions=1259 cache-misses=8
[sample=93] cpu=0 bench=binarysearch cycles=3693 instructions=1260 cache-misses=8
[sample=94] cpu=0 bench=binarysearch cycles=3504 instructions=1258 cache-misses=10
[sample=95] cpu=0 bench=binarysearch cycles=2973 instructions=1258 cache-misses=5
[sample=96] cpu=0 bench=binarysearch cycles=3642 instructions=1258 cache-misses=7
[sample=97] cpu=0 bench=binarysearch cycles=3084 instructions=1258 cache-misses=7
[sample=98] cpu=0 bench=binarysearch cycles=4788 instructions=1260 cache-misses=10
[sample=99] cpu=0 bench=binarysearch cycles=3317 instructions=1259 cache-misses=9

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        2480                29582              3901.37              3407.50
  instructions                  1257                 1263              1258.56              1259.00
  cache-misses                     5                   16                 9.03                 9.00
