[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=61959 instructions=10136 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=19367 instructions=10122 cache-misses=9
[sample=2] cpu=0 bench=fir2dim cycles=16691 instructions=10117 cache-misses=9
[sample=3] cpu=0 bench=fir2dim cycles=15537 instructions=10108 cache-misses=8
[sample=4] cpu=0 bench=fir2dim cycles=20364 instructions=10111 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=15291 instructions=10111 cache-misses=11
[sample=6] cpu=0 bench=fir2dim cycles=15205 instructions=10107 cache-misses=7
[sample=7] cpu=0 bench=fir2dim cycles=14498 instructions=10106 cache-misses=7
[sample=8] cpu=0 bench=fir2dim cycles=14257 instructions=10108 cache-misses=7
[sample=9] cpu=0 bench=fir2dim cycles=16819 instructions=10108 cache-misses=12
[sample=10] cpu=0 bench=fir2dim cycles=17603 instructions=10110 cache-misses=12
[sample=11] cpu=0 bench=fir2dim cycles=14816 instructions=10107 cache-misses=7
[sample=12] cpu=0 bench=fir2dim cycles=20344 instructions=10105 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=19716 instructions=10110 cache-misses=9
[sample=14] cpu=0 bench=fir2dim cycles=14654 instructions=10113 cache-misses=6
[sample=15] cpu=0 bench=fir2dim cycles=16746 instructions=10107 cache-misses=11
[sample=16] cpu=0 bench=fir2dim cycles=15939 instructions=10110 cache-misses=9
[sample=17] cpu=0 bench=fir2dim cycles=15216 instructions=10113 cache-misses=8
[sample=18] cpu=0 bench=fir2dim cycles=15222 instructions=10115 cache-misses=12
[sample=19] cpu=0 bench=fir2dim cycles=16644 instructions=10114 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=16316 instructions=10105 cache-misses=12
[sample=21] cpu=0 bench=fir2dim cycles=20823 instructions=10105 cache-misses=9
[sample=22] cpu=0 bench=fir2dim cycles=16557 instructions=10107 cache-misses=9
[sample=23] cpu=0 bench=fir2dim cycles=15637 instructions=10111 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=15071 instructions=10107 cache-misses=10
[sample=25] cpu=0 bench=fir2dim cycles=14815 instructions=10109 cache-misses=9
[sample=26] cpu=0 bench=fir2dim cycles=15544 instructions=10106 cache-misses=9
[sample=27] cpu=0 bench=fir2dim cycles=15278 instructions=10106 cache-misses=9
[sample=28] cpu=0 bench=fir2dim cycles=15011 instructions=10108 cache-misses=11
[sample=29] cpu=0 bench=fir2dim cycles=20391 instructions=10108 cache-misses=8
[sample=30] cpu=0 bench=fir2dim cycles=15886 instructions=10109 cache-misses=6
[sample=31] cpu=0 bench=fir2dim cycles=15465 instructions=10107 cache-misses=10
[sample=32] cpu=0 bench=fir2dim cycles=15359 instructions=10110 cache-misses=7
[sample=33] cpu=0 bench=fir2dim cycles=16605 instructions=10113 cache-misses=11
[sample=34] cpu=0 bench=fir2dim cycles=15755 instructions=10109 cache-misses=8
[sample=35] cpu=0 bench=fir2dim cycles=15867 instructions=10112 cache-misses=10
[sample=36] cpu=0 bench=fir2dim cycles=15402 instructions=10112 cache-misses=8
[sample=37] cpu=0 bench=fir2dim cycles=15319 instructions=10108 cache-misses=6
[sample=38] cpu=0 bench=fir2dim cycles=15520 instructions=10114 cache-misses=9
[sample=39] cpu=0 bench=fir2dim cycles=17687 instructions=10108 cache-misses=8
[sample=40] cpu=0 bench=fir2dim cycles=15001 instructions=10116 cache-misses=13
[sample=41] cpu=0 bench=fir2dim cycles=15931 instructions=10107 cache-misses=8
[sample=42] cpu=0 bench=fir2dim cycles=14828 instructions=10109 cache-misses=8
[sample=43] cpu=0 bench=fir2dim cycles=16475 instructions=10107 cache-misses=10
[sample=44] cpu=0 bench=fir2dim cycles=16675 instructions=10105 cache-misses=9
[sample=45] cpu=0 bench=fir2dim cycles=16243 instructions=10112 cache-misses=10
[sample=46] cpu=0 bench=fir2dim cycles=15022 instructions=10107 cache-misses=8
[sample=47] cpu=0 bench=fir2dim cycles=15400 instructions=10106 cache-misses=8
[sample=48] cpu=0 bench=fir2dim cycles=15147 instructions=10109 cache-misses=7
[sample=49] cpu=0 bench=fir2dim cycles=16146 instructions=10107 cache-misses=7
[sample=50] cpu=0 bench=fir2dim cycles=15548 instructions=10108 cache-misses=8
[sample=51] cpu=0 bench=fir2dim cycles=19816 instructions=10110 cache-misses=12
[sample=52] cpu=0 bench=fir2dim cycles=16333 instructions=10105 cache-misses=12
[sample=53] cpu=0 bench=fir2dim cycles=16403 instructions=10108 cache-misses=11
[sample=54] cpu=0 bench=fir2dim cycles=15174 instructions=10110 cache-misses=8
[sample=55] cpu=0 bench=fir2dim cycles=14703 instructions=10116 cache-misses=8
[sample=56] cpu=0 bench=fir2dim cycles=14897 instructions=10107 cache-misses=7
[sample=57] cpu=0 bench=fir2dim cycles=15288 instructions=10111 cache-misses=9
[sample=58] cpu=0 bench=fir2dim cycles=15643 instructions=10108 cache-misses=10
[sample=59] cpu=0 bench=fir2dim cycles=17091 instructions=10108 cache-misses=7
[sample=60] cpu=0 bench=fir2dim cycles=16043 instructions=10106 cache-misses=9
[sample=61] cpu=0 bench=fir2dim cycles=14458 instructions=10106 cache-misses=7
[sample=62] cpu=0 bench=fir2dim cycles=15388 instructions=10111 cache-misses=7
[sample=63] cpu=0 bench=fir2dim cycles=15637 instructions=10109 cache-misses=8
[sample=64] cpu=0 bench=fir2dim cycles=23470 instructions=10108 cache-misses=11
[sample=65] cpu=0 bench=fir2dim cycles=15314 instructions=10109 cache-misses=8
[sample=66] cpu=0 bench=fir2dim cycles=15801 instructions=10107 cache-misses=7
[sample=67] cpu=0 bench=fir2dim cycles=20283 instructions=10110 cache-misses=12
[sample=68] cpu=0 bench=fir2dim cycles=14904 instructions=10115 cache-misses=9
[sample=69] cpu=0 bench=fir2dim cycles=16005 instructions=10111 cache-misses=10
[sample=70] cpu=0 bench=fir2dim cycles=16175 instructions=10115 cache-misses=7
[sample=71] cpu=0 bench=fir2dim cycles=16525 instructions=10107 cache-misses=10
[sample=72] cpu=0 bench=fir2dim cycles=14479 instructions=10110 cache-misses=9
[sample=73] cpu=0 bench=fir2dim cycles=16621 instructions=10107 cache-misses=8
[sample=74] cpu=0 bench=fir2dim cycles=18013 instructions=10110 cache-misses=9
[sample=75] cpu=0 bench=fir2dim cycles=15091 instructions=10107 cache-misses=10
[sample=76] cpu=0 bench=fir2dim cycles=15825 instructions=10109 cache-misses=8
[sample=77] cpu=0 bench=fir2dim cycles=16392 instructions=10111 cache-misses=8
[sample=78] cpu=0 bench=fir2dim cycles=15776 instructions=10108 cache-misses=8
[sample=79] cpu=0 bench=fir2dim cycles=16415 instructions=10105 cache-misses=12
[sample=80] cpu=0 bench=fir2dim cycles=16726 instructions=10115 cache-misses=9
