[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=65151 instructions=10126 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=17877 instructions=10117 cache-misses=7
[sample=2] cpu=0 bench=fir2dim cycles=15177 instructions=10113 cache-misses=8
[sample=3] cpu=0 bench=fir2dim cycles=15836 instructions=10110 cache-misses=7
[sample=4] cpu=0 bench=fir2dim cycles=16979 instructions=10111 cache-misses=8
[sample=5] cpu=0 bench=fir2dim cycles=14748 instructions=10114 cache-misses=7
[sample=6] cpu=0 bench=fir2dim cycles=15283 instructions=10108 cache-misses=6
[sample=7] cpu=0 bench=fir2dim cycles=16412 instructions=10110 cache-misses=8
[sample=8] cpu=0 bench=fir2dim cycles=14757 instructions=10114 cache-misses=7
[sample=9] cpu=0 bench=fir2dim cycles=15031 instructions=10108 cache-misses=7
[sample=10] cpu=0 bench=fir2dim cycles=14901 instructions=10114 cache-misses=8
[sample=11] cpu=0 bench=fir2dim cycles=15296 instructions=10111 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=15087 instructions=10109 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=20487 instructions=10115 cache-misses=7
[sample=14] cpu=0 bench=fir2dim cycles=16716 instructions=10110 cache-misses=7
[sample=15] cpu=0 bench=fir2dim cycles=15673 instructions=10109 cache-misses=7
[sample=16] cpu=0 bench=fir2dim cycles=16489 instructions=10110 cache-misses=8
[sample=17] cpu=0 bench=fir2dim cycles=16306 instructions=10110 cache-misses=7
[sample=18] cpu=0 bench=fir2dim cycles=17254 instructions=10113 cache-misses=7
[sample=19] cpu=0 bench=fir2dim cycles=15428 instructions=10111 cache-misses=7
[sample=20] cpu=0 bench=fir2dim cycles=15252 instructions=10109 cache-misses=7
[sample=21] cpu=0 bench=fir2dim cycles=14448 instructions=10111 cache-misses=7
