[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=70] cpu=0 bench=adpcm_dec cycles=329900 instructions=228472 cache-misses=47
[sample=71] cpu=0 bench=adpcm_dec cycles=329842 instructions=228471 cache-misses=45
[sample=72] cpu=0 bench=adpcm_dec cycles=336353 instructions=228475 cache-misses=61
[sample=73] cpu=0 bench=adpcm_dec cycles=327894 instructions=228469 cache-misses=46
[sample=74] cpu=0 bench=adpcm_dec cycles=327358 instructions=228471 cache-misses=43
[sample=75] cpu=0 bench=adpcm_dec cycles=329545 instructions=228472 cache-misses=42
[sample=76] cpu=0 bench=adpcm_dec cycles=329443 instructions=228472 cache-misses=46
[sample=77] cpu=0 bench=adpcm_dec cycles=329076 instructions=228472 cache-misses=48
[sample=78] cpu=0 bench=adpcm_dec cycles=325498 instructions=228473 cache-misses=44
[sample=79] cpu=0 bench=adpcm_dec cycles=326883 instructions=228472 cache-misses=42
[sample=80] cpu=0 bench=adpcm_dec cycles=326105 instructions=228472 cache-misses=52
[sample=81] cpu=0 bench=adpcm_dec cycles=329313 instructions=228471 cache-misses=48
[sample=82] cpu=0 bench=adpcm_dec cycles=328074 instructions=228473 cache-misses=40
[sample=83] cpu=0 bench=adpcm_dec cycles=327736 instructions=228472 cache-misses=52
[sample=84] cpu=0 bench=adpcm_dec cycles=328941 instructions=228472 cache-misses=44
[sample=85] cpu=0 bench=adpcm_dec cycles=328614 instructions=228470 cache-misses=41
[sample=86] cpu=0 bench=adpcm_dec cycles=326660 instructions=228470 cache-misses=40
[sample=87] cpu=0 bench=adpcm_dec cycles=330111 instructions=228470 cache-misses=50
[sample=88] cpu=0 bench=adpcm_dec cycles=335464 instructions=228471 cache-misses=43
[sample=89] cpu=0 bench=adpcm_dec cycles=326560 instructions=228471 cache-misses=46
[sample=90] cpu=0 bench=adpcm_dec cycles=331407 instructions=228471 cache-misses=43
[sample=91] cpu=0 bench=adpcm_dec cycles=328708 instructions=228472 cache-misses=43
[sample=92] cpu=0 bench=adpcm_dec cycles=329749 instructions=228472 cache-misses=43
[sample=93] cpu=0 bench=adpcm_dec cycles=329468 instructions=228473 cache-misses=45
[sample=94] cpu=0 bench=adpcm_dec cycles=329545 instructions=228474 cache-misses=51
[sample=95] cpu=0 bench=adpcm_dec cycles=333780 instructions=228470 cache-misses=43
[sample=96] cpu=0 bench=adpcm_dec cycles=330872 instructions=228471 cache-misses=43
[sample=97] cpu=0 bench=adpcm_dec cycles=325892 instructions=228471 cache-misses=42
[sample=98] cpu=0 bench=adpcm_dec cycles=320923 instructions=228471 cache-misses=44
[sample=99] cpu=0 bench=adpcm_dec cycles=321130 instructions=228470 cache-misses=52

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                      320923               471652            330461.72            328850.00
  instructions                228469               228478            228471.76            228472.00
  cache-misses                    39                   74                46.25                45.00
