[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=73] cpu=0 bench=binarysearch cycles=2521 instructions=1257 cache-misses=9
[sample=74] cpu=0 bench=binarysearch cycles=2893 instructions=1258 cache-misses=10
[sample=75] cpu=0 bench=binarysearch cycles=2433 instructions=1257 cache-misses=9
[sample=76] cpu=0 bench=binarysearch cycles=2538 instructions=1257 cache-misses=7
[sample=77] cpu=0 bench=binarysearch cycles=2510 instructions=1257 cache-misses=4
[sample=78] cpu=0 bench=binarysearch cycles=2257 instructions=1257 cache-misses=7
[sample=79] cpu=0 bench=binarysearch cycles=3163 instructions=1258 cache-misses=7
[sample=80] cpu=0 bench=binarysearch cycles=2894 instructions=1258 cache-misses=7
[sample=81] cpu=0 bench=binarysearch cycles=2281 instructions=1258 cache-misses=7
[sample=82] cpu=0 bench=binarysearch cycles=2155 instructions=1258 cache-misses=8
[sample=83] cpu=0 bench=binarysearch cycles=2589 instructions=1258 cache-misses=10
[sample=84] cpu=0 bench=binarysearch cycles=4348 instructions=1258 cache-misses=10
[sample=85] cpu=0 bench=binarysearch cycles=4095 instructions=1258 cache-misses=9
[sample=86] cpu=0 bench=binarysearch cycles=3027 instructions=1257 cache-misses=8
[sample=87] cpu=0 bench=binarysearch cycles=3610 instructions=1257 cache-misses=6
[sample=88] cpu=0 bench=binarysearch cycles=2749 instructions=1257 cache-misses=9
[sample=89] cpu=0 bench=binarysearch cycles=2712 instructions=1257 cache-misses=8
[sample=90] cpu=0 bench=binarysearch cycles=3839 instructions=1258 cache-misses=7
[sample=91] cpu=0 bench=binarysearch cycles=4179 instructions=1257 cache-misses=7
[sample=92] cpu=0 bench=binarysearch cycles=3134 instructions=1257 cache-misses=9
[sample=93] cpu=0 bench=binarysearch cycles=3791 instructions=1257 cache-misses=9
[sample=94] cpu=0 bench=binarysearch cycles=4186 instructions=1257 cache-misses=7
[sample=95] cpu=0 bench=binarysearch cycles=3495 instructions=1257 cache-misses=8
[sample=96] cpu=0 bench=binarysearch cycles=5326 instructions=1257 cache-misses=11
[sample=97] cpu=0 bench=binarysearch cycles=2420 instructions=1257 cache-misses=9
[sample=98] cpu=0 bench=binarysearch cycles=3982 instructions=1257 cache-misses=10
[sample=99] cpu=0 bench=binarysearch cycles=2019 instructions=1258 cache-misses=8

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        2019                34092              3659.16              3054.50
  instructions                  1257                 1262              1257.42              1257.00
  cache-misses                     4                   15                 7.57                 8.00
