[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM
[sample=0] cpu=0 bench=fir2dim cycles=59483 instructions=10127 cache-misses=19
[sample=1] cpu=0 bench=fir2dim cycles=17710 instructions=10113 cache-misses=13
[sample=2] cpu=0 bench=fir2dim cycles=19101 instructions=10111 cache-misses=11
[sample=3] cpu=0 bench=fir2dim cycles=15251 instructions=10115 cache-misses=8
[sample=4] cpu=0 bench=fir2dim cycles=16345 instructions=10113 cache-misses=9
[sample=5] cpu=0 bench=fir2dim cycles=14599 instructions=10111 cache-misses=8
[sample=6] cpu=0 bench=fir2dim cycles=16060 instructions=10111 cache-misses=8
[sample=7] cpu=0 bench=fir2dim cycles=14387 instructions=10111 cache-misses=7
[sample=8] cpu=0 bench=fir2dim cycles=14931 instructions=10109 cache-misses=10
[sample=9] cpu=0 bench=fir2dim cycles=15213 instructions=10111 cache-misses=7
[sample=10] cpu=0 bench=fir2dim cycles=16162 instructions=10109 cache-misses=9
[sample=11] cpu=0 bench=fir2dim cycles=17153 instructions=10107 cache-misses=8
[sample=12] cpu=0 bench=fir2dim cycles=14878 instructions=10107 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=15737 instructions=10114 cache-misses=10
[sample=14] cpu=0 bench=fir2dim cycles=15882 instructions=10107 cache-misses=8
[sample=15] cpu=0 bench=fir2dim cycles=15086 instructions=10108 cache-misses=9
[sample=16] cpu=0 bench=fir2dim cycles=14612 instructions=10116 cache-misses=9
[sample=17] cpu=0 bench=fir2dim cycles=15530 instructions=10114 cache-misses=10
[sample=18] cpu=0 bench=fir2dim cycles=15492 instructions=10118 cache-misses=7
[sample=19] cpu=0 bench=fir2dim cycles=15861 instructions=10114 cache-misses=8
[sample=20] cpu=0 bench=fir2dim cycles=20244 instructions=10113 cache-misses=8
[sample=21] cpu=0 bench=fir2dim cycles=16087 instructions=10110 cache-misses=9
[sample=22] cpu=0 bench=fir2dim cycles=15770 instructions=10109 cache-misses=9
[sample=23] cpu=0 bench=fir2dim cycles=19280 instructions=10110 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=19713 instructions=10109 cache-misses=7
[sample=25] cpu=0 bench=fir2dim cycles=15220 instructions=10109 cache-misses=10
[sample=26] cpu=0 bench=fir2dim cycles=14255 instructions=10115 cache-misses=6
[sample=27] cpu=0 bench=fir2dim cycles=15276 instructions=10108 cache-misses=10
[sample=28] cpu=0 bench=fir2dim cycles=16698 instructions=10107 cache-misses=7
[sample=29] cpu=0 bench=fir2dim cycles=15237 instructions=10113 cache-misses=7
[sample=30] cpu=0 bench=fir2dim cycles=15312 instructions=10109 cache-misses=6
[sample=31] cpu=0 bench=fir2dim cycles=17892 instructions=10107 cache-misses=8
[sample=32] cpu=0 bench=fir2dim cycles=14831 instructions=10108 cache-misses=8
[sample=33] cpu=0 bench=fir2dim cycles=15645 instructions=10108 cache-misses=10
[sample=34] cpu=0 bench=fir2dim cycles=18211 instructions=10115 cache-misses=13
[sample=35] cpu=0 bench=fir2dim cycles=16536 instructions=10117 cache-misses=9
[sample=36] cpu=0 bench=fir2dim cycles=16333 instructions=10115 cache-misses=7
[sample=37] cpu=0 bench=fir2dim cycles=15805 instructions=10117 cache-misses=8
[sample=38] cpu=0 bench=fir2dim cycles=15776 instructions=10113 cache-misses=10
[sample=39] cpu=0 bench=fir2dim cycles=16685 instructions=10112 cache-misses=8
[sample=40] cpu=0 bench=fir2dim cycles=14807 instructions=10116 cache-misses=10
[sample=41] cpu=0 bench=fir2dim cycles=15583 instructions=10122 cache-misses=8
[sample=42] cpu=0 bench=fir2dim cycles=14588 instructions=10117 cache-misses=7
[sample=43] cpu=0 bench=fir2dim cycles=16699 instructions=10112 cache-misses=8
[sample=44] cpu=0 bench=fir2dim cycles=15350 instructions=10108 cache-misses=10
[sample=45] cpu=0 bench=fir2dim cycles=16026 instructions=10110 cache-misses=10
[sample=46] cpu=0 bench=fir2dim cycles=18471 instructions=10110 cache-misses=9
[sample=47] cpu=0 bench=fir2dim cycles=15754 instructions=10110 cache-misses=11
[sample=48] cpu=0 bench=fir2dim cycles=16113 instructions=10116 cache-misses=7
[sample=49] cpu=0 bench=fir2dim cycles=15524 instructions=10115 cache-misses=7
[sample=50] cpu=0 bench=fir2dim cycles=17285 instructions=10112 cache-misses=10
[sample=51] cpu=0 bench=fir2dim cycles=20803 instructions=10109 cache-misses=8
[sample=52] cpu=0 bench=fir2dim cycles=15659 instructions=10112 cache-misses=8
[sample=53] cpu=0 bench=fir2dim cycles=15497 instructions=10111 cache-misses=10
[sample=54] cpu=0 bench=fir2dim cycles=15134 instructions=10106 cache-misses=6
[sample=55] cpu=0 bench=fir2dim cycles=16292 instructions=10109 cache-misses=10
[sample=56] cpu=0 bench=fir2dim cycles=15410 instructions=10111 cache-misses=9
[sample=57] cpu=0 bench=fir2dim cycles=14990 instructions=10109 cache-misses=11
[sample=58] cpu=0 bench=fir2dim cycles=20871 instructions=10111 cache-misses=8
[sample=59] cpu=0 bench=fir2dim cycles=16441 instructions=10111 cache-misses=9
[sample=60] cpu=0 bench=fir2dim cycles=15935 instructions=10110 cache-misses=6
[sample=61] cpu=0 bench=fir2dim cycles=15238 instructions=10114 cache-misses=10
[sample=62] cpu=0 bench=fir2dim cycles=15496 instructions=10107 cache-misses=9
[sample=63] cpu=0 bench=fir2dim cycles=19475 instructions=10110 cache-misses=8
[sample=64] cpu=0 bench=fir2dim cycles=19134 instructions=10115 cache-misses=8
[sample=65] cpu=0 bench=fir2dim cycles=14947 instructions=10111 cache-misses=9
[sample=66] cpu=0 bench=fir2dim cycles=17033 instructions=10110 cache-misses=11
[sample=67] cpu=0 bench=fir2dim cycles=16168 instructions=10107 cache-misses=8
[sample=68] cpu=0 bench=fir2dim cycles=16250 instructions=10113 cache-misses=9
