[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE
[sample=73] cpu=0 bench=binarysearch cycles=2072 instructions=1259 cache-misses=12
[sample=74] cpu=0 bench=binarysearch cycles=2076 instructions=1259 cache-misses=12
[sample=75] cpu=0 bench=binarysearch cycles=1959 instructions=1258 cache-misses=8
[sample=76] cpu=0 bench=binarysearch cycles=2005 instructions=1259 cache-misses=9
[sample=77] cpu=0 bench=binarysearch cycles=2064 instructions=1258 cache-misses=12
[sample=78] cpu=0 bench=binarysearch cycles=2067 instructions=1258 cache-misses=13
[sample=79] cpu=0 bench=binarysearch cycles=2028 instructions=1259 cache-misses=10
[sample=80] cpu=0 bench=binarysearch cycles=1984 instructions=1259 cache-misses=9
[sample=81] cpu=0 bench=binarysearch cycles=2061 instructions=1259 cache-misses=13
[sample=82] cpu=0 bench=binarysearch cycles=2013 instructions=1257 cache-misses=13
[sample=83] cpu=0 bench=binarysearch cycles=2006 instructions=1259 cache-misses=8
[sample=84] cpu=0 bench=binarysearch cycles=2052 instructions=1259 cache-misses=14
[sample=85] cpu=0 bench=binarysearch cycles=2003 instructions=1259 cache-misses=11
[sample=86] cpu=0 bench=binarysearch cycles=2060 instructions=1259 cache-misses=13
[sample=87] cpu=0 bench=binarysearch cycles=2107 instructions=1259 cache-misses=14
[sample=88] cpu=0 bench=binarysearch cycles=2063 instructions=1259 cache-misses=13
[sample=89] cpu=0 bench=binarysearch cycles=2005 instructions=1259 cache-misses=9
[sample=90] cpu=0 bench=binarysearch cycles=2096 instructions=1259 cache-misses=13
[sample=91] cpu=0 bench=binarysearch cycles=2064 instructions=1260 cache-misses=12
[sample=92] cpu=0 bench=binarysearch cycles=2085 instructions=1259 cache-misses=13
[sample=93] cpu=0 bench=binarysearch cycles=2086 instructions=1259 cache-misses=14
[sample=94] cpu=0 bench=binarysearch cycles=2057 instructions=1259 cache-misses=14
[sample=95] cpu=0 bench=binarysearch cycles=2037 instructions=1259 cache-misses=13
[sample=96] cpu=0 bench=binarysearch cycles=2016 instructions=1260 cache-misses=11
[sample=97] cpu=0 bench=binarysearch cycles=2024 instructions=1259 cache-misses=9
[sample=98] cpu=0 bench=binarysearch cycles=2062 instructions=1258 cache-misses=11
[sample=99] cpu=0 bench=binarysearch cycles=2077 instructions=1259 cache-misses=13

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                        1959                 6705              2130.83              2061.00
  instructions                  1257                 1263              1258.73              1259.00
  cache-misses                     7                   16                11.81                12.00
