config,adpcm_dec,binarysearch,fir2dim,fmref,iir,insertsort
wrPure_LLC4M_s16       ,1.0003,1.0669,1.0319,1.0048,0.9783,1.0565
wr95_LLC4M_s16         ,1.0005,1.0727,1.0303,1.0074,1.0103,1.0622
wr80_LLC4M_s16         ,1.0088,1.1194,1.0343,1.0048,1.0040,1.0660
wrPure_LLC2M_s16       ,1.0001,0.9793,1.0213,1.0012,1.0075,1.0694
wrPure_DRAM16M_s16     ,1.0001,1.0937,1.0285,1.0004,1.0092,1.0610
wr10_LLC4M_s8          ,1.0012,1.0600,1.0348,1.0002,1.0070,1.0667
wr10_LLC4M_s32         ,1.0011,1.0692,0.9955,1.0002,1.0074,0.9991
wr10_LLC4M_s64         ,1.0000,0.9785,1.0297,1.0004,1.0125,1.0679
wr10_LLC4M_s128        ,1.0084,1.0687,1.0372,1.0003,1.0017,0.9960
wr10_LLC4M_s64_fr10    ,1.0004,1.0549,1.0287,1.0003,0.9986,1.0514
wr10_LLC4M_s64_fr90    ,1.0042,1.1032,1.0314,1.0003,0.9969,1.0506
wr10_LLC4M_s64_fr0     ,0.9996,1.0828,1.0369,1.0006,1.0149,1.0520
wr10_L2_256K_s64       ,1.0044,1.0746,1.0421,1.0021,1.0040,1.0503
wr10_L2_512K_s64       ,1.0021,1.0698,1.0353,1.0012,0.9948,1.0697
wr10_LLC1M_s64         ,1.0022,1.2308,1.0543,1.0007,1.0047,0.9964
wr10_LLC8M_s64         ,1.0012,1.0759,1.0302,1.0002,1.0026,1.0577
wr10_DRAM16M_s64       ,1.0019,1.1767,1.0293,1.0048,1.0124,1.0666
wr10_DRAM64M_s64       ,1.0001,1.0637,1.0390,1.0001,1.0003,1.0492
