[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE
[sample=73] cpu=0 bench=binarysearch cycles=1825 instructions=1257 cache-misses=0
[sample=74] cpu=0 bench=binarysearch cycles=1832 instructions=1257 cache-misses=0
[sample=75] cpu=0 bench=binarysearch cycles=1830 instructions=1257 cache-misses=1
[sample=76] cpu=0 bench=binarysearch cycles=1799 instructions=1257 cache-misses=1
[sample=77] cpu=0 bench=binarysearch cycles=1814 instructions=1257 cache-misses=0
[sample=78] cpu=0 bench=binarysearch cycles=1811 instructions=1257 cache-misses=0
[sample=79] cpu=0 bench=binarysearch cycles=1814 instructions=1257 cache-misses=0
[sample=80] cpu=0 bench=binarysearch cycles=1837 instructions=1257 cache-misses=0
[sample=81] cpu=0 bench=binarysearch cycles=1808 instructions=1257 cache-misses=0
[sample=82] cpu=0 bench=binarysearch cycles=1815 instructions=1257 cache-misses=0
[sample=83] cpu=0 bench=binarysearch cycles=1807 instructions=1257 cache-misses=0
[sample=84] cpu=0 bench=binarysearch cycles=1802 instructions=1257 cache-misses=0
[sample=85] cpu=0 bench=binarysearch cycles=1809 instructions=1257 cache-misses=0
[sample=86] cpu=0 bench=binarysearch cycles=1807 instructions=1257 cache-misses=0
[sample=87] cpu=0 bench=binarysearch cycles=1818 instructions=1257 cache-misses=0
[sample=88] cpu=0 bench=binarysearch cycles=1816 instructions=1257 cache-misses=0
[sample=89] cpu=0 bench=binarysearch cycles=1828 instructions=1257 cache-misses=0
[sample=90] cpu=0 bench=binarysearch cycles=1813 instructions=1257 cache-misses=0
[sample=91] cpu=0 bench=binarysearch cycles=1815 instructions=1257 cache-misses=0
[sample=92] cpu=0 bench=binarysearch cycles=1850 instructions=1257 cache-misses=0
[sample=93] cpu=0 bench=binarysearch cycles=1877 instructions=1257 cache-misses=0
[sample=94] cpu=0 bench=binarysearch cycles=1858 instructions=1257 cache-misses=0
[sample=95] cpu=0 bench=binarysearch cycles=1859 instructions=1257 cache-misses=0
[sample=96] cpu=0 bench=binarysearch cycles=1853 instructions=1257 cache-misses=0
[sample=97] cpu=0 bench=binarysearch cycles=2081 instructions=1257 cache-misses=2
[sample=98] cpu=0 bench=binarysearch cycles=1843 instructions=1257 cache-misses=1
[sample=99] cpu=0 bench=binarysearch cycles=1835 instructions=1257 cache-misses=2

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                        1793                14736              2166.95              1845.50
  instructions                  1257                 1262              1257.37              1257.00
  cache-misses                     0                   23                 2.67                 0.00
