victim,mix,attackers,baseline_med,bg_med,slowdown_med,baseline_avg,bg_avg,slowdown_avg
petrinet,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",3397.50,5961.00,1.755,7597.00,22410.25,2.950
petrinet,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",3397.50,4410.00,1.298,7597.00,9627.83,1.267
petrinet,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",3397.50,3420.50,1.007,7597.00,12526.67,1.649
petrinet,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",3397.50,3429.50,1.009,7597.00,11068.67,1.457
petrinet,H16_CACHE_MEM_BUS,"CACHE MEM BUS",3397.50,5113.50,1.505,7597.00,24553.92,3.232
petrinet,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",3397.50,13261.00,3.903,7597.00,16729.33,2.202
petrinet,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",3397.50,3396.50,1.000,7597.00,8415.83,1.108
petrinet,H4_TUNED_KILLER,"CACHE BUS MEM",3397.50,16310.00,4.801,7597.00,33469.08,4.406
petrinet,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",3397.50,3486.00,1.026,7597.00,6728.67,0.886
petrinet,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",3397.50,3648.50,1.074,7597.00,10948.17,1.441
petrinet,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",3397.50,3481.50,1.025,7597.00,6720.75,0.885
petrinet,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",3397.50,3553.00,1.046,7597.00,9635.00,1.268
petrinet,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",3397.50,3428.00,1.009,7597.00,8588.75,1.131
petrinet,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",3397.50,3355.50,0.988,7597.00,7306.67,0.962
petrinet,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",3397.50,5285.50,1.556,7597.00,16399.08,2.159
petrinet,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",3397.50,5346.00,1.574,7597.00,27652.58,3.640
petrinet,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",3397.50,35345.00,10.403,7597.00,33473.25,4.406
minver,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",6498.00,10105.00,1.555,7855.25,25477.17,3.243
minver,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",6498.00,6452.00,0.993,7855.25,9310.17,1.185
minver,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",6498.00,7141.00,1.099,7855.25,12509.75,1.593
minver,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",6498.00,8570.50,1.319,7855.25,19702.08,2.508
minver,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",6498.00,7208.50,1.109,7855.25,16841.92,2.144
minver,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",6498.00,12854.00,1.978,7855.25,17314.42,2.204
minver,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",6498.00,7294.00,1.122,7855.25,15114.17,1.924
minver,H16_CACHE_MEM_BUS,"CACHE MEM BUS",6498.00,7460.00,1.148,7855.25,17815.83,2.268
minver,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",6498.00,8474.00,1.304,7855.25,16411.67,2.089
minver,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",6498.00,6806.00,1.047,7855.25,11052.92,1.407
minver,H4_TUNED_KILLER,"CACHE BUS MEM",6498.00,6825.50,1.050,7855.25,12427.83,1.582
minver,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",6498.00,7614.00,1.172,7855.25,15037.75,1.914
