# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=2400000
# cpu0=gsm_dec (measured)  cpu1=MTH_CACHE
[sample=63] cpu=0 bench=gsm_dec cycles=1861157 instructions=2784038 cache-misses=17
[sample=64] cpu=0 bench=gsm_dec cycles=1842248 instructions=2784038 cache-misses=45
[sample=65] cpu=0 bench=gsm_dec cycles=1843252 instructions=2784038 cache-misses=30
[sample=66] cpu=0 bench=gsm_dec cycles=1837952 instructions=2784038 cache-misses=45
[sample=67] cpu=0 bench=gsm_dec cycles=1845676 instructions=2784038 cache-misses=30
[sample=68] cpu=0 bench=gsm_dec cycles=1847128 instructions=2784038 cache-misses=19
[sample=69] cpu=0 bench=gsm_dec cycles=1839214 instructions=2784038 cache-misses=14
[sample=70] cpu=0 bench=gsm_dec cycles=1825177 instructions=2784038 cache-misses=13
[sample=71] cpu=0 bench=gsm_dec cycles=1835691 instructions=2784038 cache-misses=11
[sample=72] cpu=0 bench=gsm_dec cycles=1842762 instructions=2784038 cache-misses=16
[sample=73] cpu=0 bench=gsm_dec cycles=1845573 instructions=2784038 cache-misses=9
[sample=74] cpu=0 bench=gsm_dec cycles=1833987 instructions=2784038 cache-misses=10
[sample=75] cpu=0 bench=gsm_dec cycles=1848457 instructions=2784038 cache-misses=16
[sample=76] cpu=0 bench=gsm_dec cycles=1837142 instructions=2784038 cache-misses=8
[sample=77] cpu=0 bench=gsm_dec cycles=1837686 instructions=2784038 cache-misses=6
[sample=78] cpu=0 bench=gsm_dec cycles=1821848 instructions=2784038 cache-misses=10
[sample=79] cpu=0 bench=gsm_dec cycles=1836516 instructions=2784038 cache-misses=13
[sample=80] cpu=0 bench=gsm_dec cycles=1826407 instructions=2784038 cache-misses=12
[sample=81] cpu=0 bench=gsm_dec cycles=1832480 instructions=2784038 cache-misses=18
[sample=82] cpu=0 bench=gsm_dec cycles=1841333 instructions=2784038 cache-misses=7
[sample=83] cpu=0 bench=gsm_dec cycles=1858869 instructions=2784038 cache-misses=15
[sample=84] cpu=0 bench=gsm_dec cycles=1854625 instructions=2784038 cache-misses=9
[sample=85] cpu=0 bench=gsm_dec cycles=1838004 instructions=2784038 cache-misses=15
[sample=86] cpu=0 bench=gsm_dec cycles=1834892 instructions=2784038 cache-misses=7
[sample=87] cpu=0 bench=gsm_dec cycles=1823276 instructions=2784038 cache-misses=9
[sample=88] cpu=0 bench=gsm_dec cycles=1839362 instructions=2784038 cache-misses=7
[sample=89] cpu=0 bench=gsm_dec cycles=1842758 instructions=2784038 cache-misses=9
[sample=90] cpu=0 bench=gsm_dec cycles=1843658 instructions=2784038 cache-misses=9
