# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=2400000
# cpu0=minver (measured)  cpu1=PR_MEMBUS
[sample=67] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=2
[sample=68] cpu=0 bench=minver cycles=1355 instructions=4118 cache-misses=2
[sample=69] cpu=0 bench=minver cycles=1326 instructions=4118 cache-misses=2
[sample=70] cpu=0 bench=minver cycles=1383 instructions=4118 cache-misses=2
[sample=71] cpu=0 bench=minver cycles=1326 instructions=4118 cache-misses=2
[sample=72] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=2
[sample=73] cpu=0 bench=minver cycles=1335 instructions=4118 cache-misses=2
[sample=74] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=2
[sample=75] cpu=0 bench=minver cycles=1369 instructions=4118 cache-misses=2
[sample=76] cpu=0 bench=minver cycles=1364 instructions=4118 cache-misses=2
[sample=77] cpu=0 bench=minver cycles=1332 instructions=4118 cache-misses=2
[sample=78] cpu=0 bench=minver cycles=1332 instructions=4118 cache-misses=2
[sample=79] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=2
[sample=80] cpu=0 bench=minver cycles=1332 instructions=4118 cache-misses=2
[sample=81] cpu=0 bench=minver cycles=1325 instructions=4118 cache-misses=2
[sample=82] cpu=0 bench=minver cycles=1379 instructions=4118 cache-misses=2
[sample=83] cpu=0 bench=minver cycles=1334 instructions=4118 cache-misses=2
[sample=84] cpu=0 bench=minver cycles=1334 instructions=4118 cache-misses=2
[sample=85] cpu=0 bench=minver cycles=1337 instructions=4118 cache-misses=2
[sample=86] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=2
[sample=87] cpu=0 bench=minver cycles=1359 instructions=4118 cache-misses=2
[sample=88] cpu=0 bench=minver cycles=1330 instructions=4118 cache-misses=2
[sample=89] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=2
[sample=90] cpu=0 bench=minver cycles=1349 instructions=4118 cache-misses=2
[sample=91] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=2
[sample=92] cpu=0 bench=minver cycles=1362 instructions=4118 cache-misses=2
[sample=93] cpu=0 bench=minver cycles=1326 instructions=4118 cache-misses=2
[sample=94] cpu=0 bench=minver cycles=1349 instructions=4118 cache-misses=2
[sample=95] cpu=0 bench=minver cycles=1359 instructions=4118 cache-misses=2
[sample=96] cpu=0 bench=minver cycles=1342 instructions=4118 cache-misses=2
[sample=97] cpu=0 bench=minver cycles=1344 instructions=4118 cache-misses=2
[sample=98] cpu=0 bench=minver cycles=1354 instructions=4118 cache-misses=2
[sample=99] cpu=0 bench=minver cycles=1340 instructions=4118 cache-misses=2

# Statistics over 100 samples on cpu0 bench=minver (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                        1318                 6626              1419.76              1334.50
  instructions                  4118                 4438              4132.83              4118.00
  cache-misses                     2                   16                 2.24                 2.00

--STDERR--
[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 2400000 kHz via 'performance' governor (user-specified)
