[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=57] cpu=0 bench=iir cycles=3615 instructions=2589 cache-misses=2
[sample=58] cpu=0 bench=iir cycles=3691 instructions=2588 cache-misses=3
[sample=59] cpu=0 bench=iir cycles=4342 instructions=2588 cache-misses=3
[sample=60] cpu=0 bench=iir cycles=4270 instructions=2588 cache-misses=2
[sample=61] cpu=0 bench=iir cycles=3618 instructions=2588 cache-misses=0
[sample=62] cpu=0 bench=iir cycles=3711 instructions=2588 cache-misses=1
[sample=63] cpu=0 bench=iir cycles=3925 instructions=2588 cache-misses=0
[sample=64] cpu=0 bench=iir cycles=4163 instructions=2588 cache-misses=2
[sample=65] cpu=0 bench=iir cycles=3567 instructions=2588 cache-misses=2
[sample=66] cpu=0 bench=iir cycles=4367 instructions=2588 cache-misses=2
[sample=67] cpu=0 bench=iir cycles=3717 instructions=2589 cache-misses=2
[sample=68] cpu=0 bench=iir cycles=3863 instructions=2589 cache-misses=3
[sample=69] cpu=0 bench=iir cycles=4067 instructions=2588 cache-misses=1
[sample=70] cpu=0 bench=iir cycles=3830 instructions=2588 cache-misses=2
[sample=71] cpu=0 bench=iir cycles=3593 instructions=2588 cache-misses=1
[sample=72] cpu=0 bench=iir cycles=3620 instructions=2588 cache-misses=1
[sample=73] cpu=0 bench=iir cycles=3612 instructions=2589 cache-misses=1
[sample=74] cpu=0 bench=iir cycles=3635 instructions=2588 cache-misses=0
[sample=75] cpu=0 bench=iir cycles=4025 instructions=2588 cache-misses=2
[sample=76] cpu=0 bench=iir cycles=3686 instructions=2588 cache-misses=0
[sample=77] cpu=0 bench=iir cycles=3714 instructions=2588 cache-misses=1
[sample=78] cpu=0 bench=iir cycles=3684 instructions=2588 cache-misses=3
[sample=79] cpu=0 bench=iir cycles=3804 instructions=2588 cache-misses=1
[sample=80] cpu=0 bench=iir cycles=3907 instructions=2588 cache-misses=2
[sample=81] cpu=0 bench=iir cycles=3531 instructions=2588 cache-misses=1
[sample=82] cpu=0 bench=iir cycles=3885 instructions=2588 cache-misses=1
[sample=83] cpu=0 bench=iir cycles=3875 instructions=2588 cache-misses=0
[sample=84] cpu=0 bench=iir cycles=3796 instructions=2588 cache-misses=2
[sample=85] cpu=0 bench=iir cycles=3922 instructions=2588 cache-misses=2
[sample=86] cpu=0 bench=iir cycles=3913 instructions=2588 cache-misses=1
[sample=87] cpu=0 bench=iir cycles=3905 instructions=2588 cache-misses=0
[sample=88] cpu=0 bench=iir cycles=3835 instructions=2588 cache-misses=1
[sample=89] cpu=0 bench=iir cycles=3589 instructions=2588 cache-misses=2
[sample=90] cpu=0 bench=iir cycles=3823 instructions=2588 cache-misses=2
[sample=91] cpu=0 bench=iir cycles=3606 instructions=2588 cache-misses=0
[sample=92] cpu=0 bench=iir cycles=3886 instructions=2588 cache-misses=1
[sample=93] cpu=0 bench=iir cycles=23903 instructions=2588 cache-misses=15
[sample=94] cpu=0 bench=iir cycles=10497 instructions=2589 cache-misses=11
[sample=95] cpu=0 bench=iir cycles=13900 instructions=2589 cache-misses=17
[sample=96] cpu=0 bench=iir cycles=9974 instructions=2589 cache-misses=11
[sample=97] cpu=0 bench=iir cycles=5069 instructions=2589 cache-misses=11
[sample=98] cpu=0 bench=iir cycles=5959 instructions=2589 cache-misses=14
[sample=99] cpu=0 bench=iir cycles=5216 instructions=2589 cache-misses=12

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                        3531                30744              7486.78              5352.00
  instructions                  2588                 2593              2588.63              2589.00
  cache-misses                     0                   17                 7.94                10.00
