[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=POINTER  cpu2=POINTER  cpu3=POINTER
[sample=0] cpu=0 bench=insertsort cycles=34388 instructions=2953 cache-misses=22
[sample=1] cpu=0 bench=insertsort cycles=18257 instructions=2946 cache-misses=11
[sample=2] cpu=0 bench=insertsort cycles=4277 instructions=2946 cache-misses=5
[sample=3] cpu=0 bench=insertsort cycles=4261 instructions=2947 cache-misses=3
[sample=4] cpu=0 bench=insertsort cycles=4149 instructions=2946 cache-misses=2
[sample=5] cpu=0 bench=insertsort cycles=4119 instructions=2946 cache-misses=0
[sample=6] cpu=0 bench=insertsort cycles=4189 instructions=2946 cache-misses=3
[sample=7] cpu=0 bench=insertsort cycles=4163 instructions=2946 cache-misses=1
[sample=8] cpu=0 bench=insertsort cycles=4189 instructions=2946 cache-misses=3
[sample=9] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=1
[sample=10] cpu=0 bench=insertsort cycles=4141 instructions=2946 cache-misses=2
[sample=11] cpu=0 bench=insertsort cycles=4183 instructions=2946 cache-misses=0
[sample=12] cpu=0 bench=insertsort cycles=4140 instructions=2946 cache-misses=0
[sample=13] cpu=0 bench=insertsort cycles=4198 instructions=2946 cache-misses=1
[sample=14] cpu=0 bench=insertsort cycles=4142 instructions=2946 cache-misses=1
[sample=15] cpu=0 bench=insertsort cycles=4203 instructions=2946 cache-misses=1
[sample=16] cpu=0 bench=insertsort cycles=4199 instructions=2946 cache-misses=3
[sample=17] cpu=0 bench=insertsort cycles=4180 instructions=2946 cache-misses=0
[sample=18] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=2
[sample=19] cpu=0 bench=insertsort cycles=4161 instructions=2946 cache-misses=2
[sample=20] cpu=0 bench=insertsort cycles=4174 instructions=2946 cache-misses=2
[sample=21] cpu=0 bench=insertsort cycles=4185 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=4152 instructions=2946 cache-misses=2
[sample=23] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=2
[sample=24] cpu=0 bench=insertsort cycles=4177 instructions=2946 cache-misses=3
[sample=25] cpu=0 bench=insertsort cycles=4199 instructions=2946 cache-misses=3
[sample=26] cpu=0 bench=insertsort cycles=4189 instructions=2946 cache-misses=2
[sample=27] cpu=0 bench=insertsort cycles=4168 instructions=2946 cache-misses=3
[sample=28] cpu=0 bench=insertsort cycles=4200 instructions=2946 cache-misses=3
[sample=29] cpu=0 bench=insertsort cycles=4211 instructions=2946 cache-misses=1
[sample=30] cpu=0 bench=insertsort cycles=4196 instructions=2946 cache-misses=3
[sample=31] cpu=0 bench=insertsort cycles=4157 instructions=2946 cache-misses=2
[sample=32] cpu=0 bench=insertsort cycles=4115 instructions=2946 cache-misses=1
[sample=33] cpu=0 bench=insertsort cycles=4142 instructions=2946 cache-misses=1
[sample=34] cpu=0 bench=insertsort cycles=4144 instructions=2946 cache-misses=2
[sample=35] cpu=0 bench=insertsort cycles=4175 instructions=2946 cache-misses=2
[sample=36] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=1
[sample=37] cpu=0 bench=insertsort cycles=4149 instructions=2946 cache-misses=1
[sample=38] cpu=0 bench=insertsort cycles=4166 instructions=2946 cache-misses=1
[sample=39] cpu=0 bench=insertsort cycles=4160 instructions=2946 cache-misses=0
[sample=40] cpu=0 bench=insertsort cycles=4179 instructions=2946 cache-misses=3
[sample=41] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=1
[sample=42] cpu=0 bench=insertsort cycles=4185 instructions=2946 cache-misses=3
[sample=43] cpu=0 bench=insertsort cycles=4167 instructions=2946 cache-misses=1
[sample=44] cpu=0 bench=insertsort cycles=4151 instructions=2946 cache-misses=3
[sample=45] cpu=0 bench=insertsort cycles=4203 instructions=2946 cache-misses=1
[sample=46] cpu=0 bench=insertsort cycles=4186 instructions=2946 cache-misses=1
[sample=47] cpu=0 bench=insertsort cycles=4165 instructions=2946 cache-misses=2
[sample=48] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=2
[sample=49] cpu=0 bench=insertsort cycles=5113 instructions=2946 cache-misses=2
[sample=50] cpu=0 bench=insertsort cycles=4168 instructions=2946 cache-misses=2
[sample=51] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=1
[sample=52] cpu=0 bench=insertsort cycles=4158 instructions=2946 cache-misses=1
[sample=53] cpu=0 bench=insertsort cycles=4208 instructions=2946 cache-misses=4
[sample=54] cpu=0 bench=insertsort cycles=4207 instructions=2946 cache-misses=4
[sample=55] cpu=0 bench=insertsort cycles=4179 instructions=2946 cache-misses=3
[sample=56] cpu=0 bench=insertsort cycles=4159 instructions=2946 cache-misses=2
[sample=57] cpu=0 bench=insertsort cycles=4140 instructions=2946 cache-misses=0
[sample=58] cpu=0 bench=insertsort cycles=4172 instructions=2946 cache-misses=1
[sample=59] cpu=0 bench=insertsort cycles=4191 instructions=2946 cache-misses=2
[sample=60] cpu=0 bench=insertsort cycles=4210 instructions=2946 cache-misses=2
[sample=61] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=3
[sample=62] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=0
[sample=63] cpu=0 bench=insertsort cycles=4137 instructions=2946 cache-misses=1
[sample=64] cpu=0 bench=insertsort cycles=4165 instructions=2946 cache-misses=0
[sample=65] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=2
[sample=66] cpu=0 bench=insertsort cycles=4185 instructions=2946 cache-misses=2
[sample=67] cpu=0 bench=insertsort cycles=4210 instructions=2946 cache-misses=3
[sample=68] cpu=0 bench=insertsort cycles=4183 instructions=2946 cache-misses=1
[sample=69] cpu=0 bench=insertsort cycles=4163 instructions=2946 cache-misses=2
[sample=70] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=3
[sample=71] cpu=0 bench=insertsort cycles=4202 instructions=2946 cache-misses=2
[sample=72] cpu=0 bench=insertsort cycles=4180 instructions=2946 cache-misses=2
[sample=73] cpu=0 bench=insertsort cycles=4138 instructions=2946 cache-misses=2
[sample=74] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=2
[sample=75] cpu=0 bench=insertsort cycles=4149 instructions=2946 cache-misses=0
[sample=76] cpu=0 bench=insertsort cycles=4168 instructions=2946 cache-misses=1
[sample=77] cpu=0 bench=insertsort cycles=4171 instructions=2946 cache-misses=3
[sample=78] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=1
[sample=79] cpu=0 bench=insertsort cycles=4194 instructions=2946 cache-misses=6
[sample=80] cpu=0 bench=insertsort cycles=4155 instructions=2946 cache-misses=2
[sample=81] cpu=0 bench=insertsort cycles=4165 instructions=2946 cache-misses=1
[sample=82] cpu=0 bench=insertsort cycles=4158 instructions=2946 cache-misses=2
[sample=83] cpu=0 bench=insertsort cycles=4149 instructions=2946 cache-misses=2
[sample=84] cpu=0 bench=insertsort cycles=4174 instructions=2946 cache-misses=1
[sample=85] cpu=0 bench=insertsort cycles=4160 instructions=2946 cache-misses=2
[sample=86] cpu=0 bench=insertsort cycles=4185 instructions=2946 cache-misses=2
[sample=87] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=2
[sample=88] cpu=0 bench=insertsort cycles=4188 instructions=2946 cache-misses=1
[sample=89] cpu=0 bench=insertsort cycles=4107 instructions=2946 cache-misses=0
[sample=90] cpu=0 bench=insertsort cycles=4144 instructions=2946 cache-misses=1
[sample=91] cpu=0 bench=insertsort cycles=4149 instructions=2946 cache-misses=1
[sample=92] cpu=0 bench=insertsort cycles=4196 instructions=2946 cache-misses=1
[sample=93] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=1
[sample=94] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=1
[sample=95] cpu=0 bench=insertsort cycles=4175 instructions=2946 cache-misses=1
[sample=96] cpu=0 bench=insertsort cycles=4180 instructions=2946 cache-misses=1
[sample=97] cpu=0 bench=insertsort cycles=4181 instructions=2946 cache-misses=2
[sample=98] cpu=0 bench=insertsort cycles=4159 instructions=2946 cache-misses=2
[sample=99] cpu=0 bench=insertsort cycles=4152 instructions=2946 cache-misses=3

# Statistics over 100 samples on cpu0 bench=insertsort (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        4107                34388              4625.09              4172.00
  instructions                  2946                 2953              2946.08              2946.00
  cache-misses                     0                   22                 2.06                 2.00
