[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=16] cpu=0 bench=binarysearch cycles=3673 instructions=1258 cache-misses=7
[sample=17] cpu=0 bench=binarysearch cycles=4252 instructions=1258 cache-misses=7
[sample=18] cpu=0 bench=binarysearch cycles=5300 instructions=1258 cache-misses=9
[sample=19] cpu=0 bench=binarysearch cycles=6261 instructions=1258 cache-misses=10
[sample=20] cpu=0 bench=binarysearch cycles=3761 instructions=1258 cache-misses=5
[sample=21] cpu=0 bench=binarysearch cycles=4184 instructions=1258 cache-misses=9
[sample=22] cpu=0 bench=binarysearch cycles=13669 instructions=1258 cache-misses=8
[sample=23] cpu=0 bench=binarysearch cycles=3635 instructions=1258 cache-misses=10
[sample=24] cpu=0 bench=binarysearch cycles=3878 instructions=1258 cache-misses=6
[sample=25] cpu=0 bench=binarysearch cycles=4394 instructions=1258 cache-misses=9
[sample=26] cpu=0 bench=binarysearch cycles=2461 instructions=1258 cache-misses=6
[sample=27] cpu=0 bench=binarysearch cycles=7899 instructions=1258 cache-misses=5
[sample=28] cpu=0 bench=binarysearch cycles=3101 instructions=1258 cache-misses=6
[sample=29] cpu=0 bench=binarysearch cycles=3842 instructions=1257 cache-misses=6
[sample=30] cpu=0 bench=binarysearch cycles=3339 instructions=1258 cache-misses=8
[sample=31] cpu=0 bench=binarysearch cycles=10874 instructions=1258 cache-misses=5
[sample=32] cpu=0 bench=binarysearch cycles=4037 instructions=1258 cache-misses=8
[sample=33] cpu=0 bench=binarysearch cycles=3577 instructions=1257 cache-misses=7
[sample=34] cpu=0 bench=binarysearch cycles=3290 instructions=1258 cache-misses=7
[sample=35] cpu=0 bench=binarysearch cycles=7050 instructions=1258 cache-misses=10
[sample=36] cpu=0 bench=binarysearch cycles=2899 instructions=1258 cache-misses=8
[sample=37] cpu=0 bench=binarysearch cycles=4163 instructions=1258 cache-misses=10
[sample=38] cpu=0 bench=binarysearch cycles=3318 instructions=1257 cache-misses=6
[sample=39] cpu=0 bench=binarysearch cycles=26323 instructions=1257 cache-misses=12
[sample=40] cpu=0 bench=binarysearch cycles=18613 instructions=1258 cache-misses=9
[sample=41] cpu=0 bench=binarysearch cycles=6481 instructions=1258 cache-misses=9
[sample=42] cpu=0 bench=binarysearch cycles=10567 instructions=1258 cache-misses=11
[sample=43] cpu=0 bench=binarysearch cycles=3942 instructions=1258 cache-misses=6
[sample=44] cpu=0 bench=binarysearch cycles=3011 instructions=1258 cache-misses=2
[sample=45] cpu=0 bench=binarysearch cycles=5834 instructions=1258 cache-misses=8
[sample=46] cpu=0 bench=binarysearch cycles=12225 instructions=1258 cache-misses=7
[sample=47] cpu=0 bench=binarysearch cycles=3013 instructions=1258 cache-misses=4
[sample=48] cpu=0 bench=binarysearch cycles=3272 instructions=1258 cache-misses=6
[sample=49] cpu=0 bench=binarysearch cycles=3413 instructions=1257 cache-misses=6
[sample=50] cpu=0 bench=binarysearch cycles=4871 instructions=1258 cache-misses=7
[sample=51] cpu=0 bench=binarysearch cycles=4000 instructions=1258 cache-misses=9
[sample=52] cpu=0 bench=binarysearch cycles=2652 instructions=1257 cache-misses=6
