tag	phase	bg_workers	defines	ratio_adpcm_dec	ratio_binarysearch	ratio_fir2dim	ratio_fmref	ratio_iir	ratio_insertsort
CA_1M_s64_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=1048576  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0009	1.0700	1.0057	1.0026	0.9993	1.0613
CA_2M_s64_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=2097152  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0003	1.0123	1.0220	1.0028	1.0139	1.0437
CA_4M_s64_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0014	1.0820	1.0047	1.0014	1.0375	1.0844
CA_8M_s64_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=8388608  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0011	0.9154	0.9835	1.0009	1.0311	1.0586
CA_16M_s64_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=16777216 -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0053	1.0722	1.0184	1.0032	1.0317	1.0032
CA_4M_s128_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=128 -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0018	0.9995	1.0287	1.0011	1.0448	1.0678
CA_4M_s256_w0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=256 -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0003	1.0533	1.0345	1.0011	1.0329	0.9844
CA_4M_s64_iter4	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=4	1.0004	1.0828	1.0255	1.0009	1.0376	1.0498
CA_4M_s64_iter16	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=16	1.0010	1.0903	1.0283	1.0007	1.0368	1.0696
CA_4M_s64_iter64	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=50 -DCACHE_ITER=64	1.0002	1.0008	1.0234	1.0006	1.0053	1.0340
CA_4M_s64_w50	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=50 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0002	1.1015	0.9737	1.0005	1.0125	0.9608
CA_4M_s64_w100	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=100 -DCACHE_FR_RATIO=50 -DCACHE_ITER=1	1.0019	1.0927	1.0217	1.0013	1.0325	1.0577
CA_4M_s64_fr0	CACHE_VARIANTS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=4194304  -DCACHE_STRIDE=64  -DCACHE_RW_RATIO=0  -DCACHE_FR_RATIO=0  -DCACHE_ITER=1	1.0018	0.9962	1.0106	0.9996	0.9789	0.9914
BA_1M_t5_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=1   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0010	1.0143	1.0077	1.0252	1.0302	1.0655
BA_4M_t5_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0023	1.0035	1.0288	1.0039	1.0147	1.0538
BA_8M_t5_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=8   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0030	1.0530	1.0201	1.0016	1.0464	1.0345
BA_16M_t5_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=16  -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0012	1.0789	1.0322	1.0037	1.0412	1.0551
BA_32M_t5_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=32  -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0007	1.0769	1.0269	1.0011	1.0206	1.0055
BA_4M_t1_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=1 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0026	1.1133	1.0277	1.0001	1.0043	1.0278
BA_4M_t7_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=7 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0143	1.0710	1.0287	1.0771	1.0097	1.0104
BA_4M_t8_d333_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=8 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.1431	1.4392	1.0225	1.0803	1.0090	0.9889
BA_4M_d111_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=111 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0046	1.0161	0.9975	1.0012	1.0317	1.0575
BA_4M_d100_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=100 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0013	0.9965	0.9963	1.0005	1.0270	1.0545
BA_4M_d001_c100	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=001 -DBUS_CPU_RATIO=100 -DBUS_ITER=4	1.0005	1.1118	1.0237	1.0004	1.0192	1.0599
BA_4M_d333_c0	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=0   -DBUS_ITER=4	1.0052	1.0093	1.0091	1.0263	1.0422	1.0435
BA_4M_d333_c100_i16	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=4   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=16	0.9988	1.1096	1.0254	1.0010	1.0131	1.0557
BA_8M_d333_c100_i16	BUS_VARIANTS	BUS BUS BUS	-DBUS_SIZE_MB=8   -DBUS_DATA_TYPE=5 -DBUS_DIR_RATIO=333 -DBUS_CPU_RATIO=100 -DBUS_ITER=16	1.0006	1.0150	0.9994	1.0025	1.0390	1.0495
PA_4K_s17_l100_i8K	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=4096u   -DPOINTER_STRIDE=17u   -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=8192    -DPOINTER_CACHE_LINE=64	1.0689	0.9224	1.0186	1.0420	1.0288	0.9854
PA_64K_s17_l100_i16K	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=17u   -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64	1.0139	1.0570	1.0213	1.0441	1.0073	1.0230
PA_256K_s17_l100	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=262144u -DPOINTER_STRIDE=17u   -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=32768   -DPOINTER_CACHE_LINE=64	1.0331	1.0818	1.0027	1.0856	1.0309	1.0405
PA_1M_s17_l100	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=1048576u -DPOINTER_STRIDE=17u  -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=65536   -DPOINTER_CACHE_LINE=64	1.2504	0.9539	1.0084	1.1253	0.9818	1.0113
PA_64K_s1_l100	POINTER_VARIANTS	POINTER POINTER POINTER	-DPOINTER_ELEMENTS=65536u  -DPOINTER_STRIDE=1u    -DPOINTER_LOAD_RATIO=100 -DPOINTER_ITER=16384   -DPOINTER_CACHE_LINE=64	1.2222	7.0694	2.5500	1.1095	4.2430	4.6346
