[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=CACHE  cpu2=BUS  cpu3=POINTER  cpu4=PIPELINE
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=binarysearch cycles=10132 instructions=1263 cache-misses=15
[sample=1] cpu=0 bench=binarysearch cycles=9526 instructions=1258 cache-misses=7
[sample=2] cpu=0 bench=binarysearch cycles=7200 instructions=1258 cache-misses=10
[sample=3] cpu=0 bench=binarysearch cycles=1993 instructions=1258 cache-misses=9
[sample=4] cpu=0 bench=binarysearch cycles=1975 instructions=1258 cache-misses=6
[sample=5] cpu=0 bench=binarysearch cycles=1976 instructions=1258 cache-misses=7
[sample=6] cpu=0 bench=binarysearch cycles=1982 instructions=1258 cache-misses=7
[sample=7] cpu=0 bench=binarysearch cycles=1991 instructions=1258 cache-misses=8
[sample=8] cpu=0 bench=binarysearch cycles=1972 instructions=1258 cache-misses=8
[sample=9] cpu=0 bench=binarysearch cycles=2000 instructions=1258 cache-misses=8
[sample=10] cpu=0 bench=binarysearch cycles=1978 instructions=1258 cache-misses=9
[sample=11] cpu=0 bench=binarysearch cycles=1983 instructions=1258 cache-misses=8
[sample=12] cpu=0 bench=binarysearch cycles=1967 instructions=1258 cache-misses=9
[sample=13] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=7
[sample=14] cpu=0 bench=binarysearch cycles=1984 instructions=1258 cache-misses=8
[sample=15] cpu=0 bench=binarysearch cycles=1977 instructions=1258 cache-misses=7
[sample=16] cpu=0 bench=binarysearch cycles=1987 instructions=1258 cache-misses=8
[sample=17] cpu=0 bench=binarysearch cycles=1970 instructions=1258 cache-misses=8
[sample=18] cpu=0 bench=binarysearch cycles=1989 instructions=1258 cache-misses=8
[sample=19] cpu=0 bench=binarysearch cycles=1966 instructions=1258 cache-misses=10
[sample=20] cpu=0 bench=binarysearch cycles=1967 instructions=1258 cache-misses=8
[sample=21] cpu=0 bench=binarysearch cycles=1978 instructions=1258 cache-misses=6
[sample=22] cpu=0 bench=binarysearch cycles=1989 instructions=1258 cache-misses=9
[sample=23] cpu=0 bench=binarysearch cycles=1988 instructions=1258 cache-misses=8
[sample=24] cpu=0 bench=binarysearch cycles=1982 instructions=1258 cache-misses=9
[sample=25] cpu=0 bench=binarysearch cycles=1984 instructions=1258 cache-misses=10
[sample=26] cpu=0 bench=binarysearch cycles=2010 instructions=1258 cache-misses=10
[sample=27] cpu=0 bench=binarysearch cycles=1968 instructions=1258 cache-misses=8
[sample=28] cpu=0 bench=binarysearch cycles=2009 instructions=1258 cache-misses=8
[sample=29] cpu=0 bench=binarysearch cycles=2004 instructions=1258 cache-misses=7
[sample=30] cpu=0 bench=binarysearch cycles=1981 instructions=1258 cache-misses=7
[sample=31] cpu=0 bench=binarysearch cycles=1951 instructions=1258 cache-misses=7
[sample=32] cpu=0 bench=binarysearch cycles=1984 instructions=1258 cache-misses=8
[sample=33] cpu=0 bench=binarysearch cycles=1990 instructions=1258 cache-misses=8
[sample=34] cpu=0 bench=binarysearch cycles=1981 instructions=1258 cache-misses=7
[sample=35] cpu=0 bench=binarysearch cycles=1984 instructions=1258 cache-misses=8
[sample=36] cpu=0 bench=binarysearch cycles=2006 instructions=1258 cache-misses=7
[sample=37] cpu=0 bench=binarysearch cycles=1990 instructions=1258 cache-misses=9
[sample=38] cpu=0 bench=binarysearch cycles=1974 instructions=1258 cache-misses=7
[sample=39] cpu=0 bench=binarysearch cycles=2007 instructions=1258 cache-misses=7
[sample=40] cpu=0 bench=binarysearch cycles=1978 instructions=1258 cache-misses=7
[sample=41] cpu=0 bench=binarysearch cycles=1973 instructions=1258 cache-misses=9
[sample=42] cpu=0 bench=binarysearch cycles=1989 instructions=1258 cache-misses=10
[sample=43] cpu=0 bench=binarysearch cycles=1974 instructions=1258 cache-misses=8
[sample=44] cpu=0 bench=binarysearch cycles=1992 instructions=1258 cache-misses=10
[sample=45] cpu=0 bench=binarysearch cycles=1980 instructions=1258 cache-misses=7
[sample=46] cpu=0 bench=binarysearch cycles=1999 instructions=1258 cache-misses=9
[sample=47] cpu=0 bench=binarysearch cycles=2007 instructions=1258 cache-misses=10
[sample=48] cpu=0 bench=binarysearch cycles=1973 instructions=1258 cache-misses=8
[sample=49] cpu=0 bench=binarysearch cycles=2506 instructions=1258 cache-misses=10
[sample=50] cpu=0 bench=binarysearch cycles=1955 instructions=1258 cache-misses=10
[sample=51] cpu=0 bench=binarysearch cycles=1985 instructions=1258 cache-misses=9
[sample=52] cpu=0 bench=binarysearch cycles=2032 instructions=1258 cache-misses=13
[sample=53] cpu=0 bench=binarysearch cycles=1956 instructions=1258 cache-misses=9
[sample=54] cpu=0 bench=binarysearch cycles=1990 instructions=1258 cache-misses=8
[sample=55] cpu=0 bench=binarysearch cycles=2985 instructions=1258 cache-misses=12
[sample=56] cpu=0 bench=binarysearch cycles=2041 instructions=1258 cache-misses=9
[sample=57] cpu=0 bench=binarysearch cycles=2005 instructions=1258 cache-misses=10
[sample=58] cpu=0 bench=binarysearch cycles=1985 instructions=1258 cache-misses=8
[sample=59] cpu=0 bench=binarysearch cycles=2011 instructions=1258 cache-misses=9
[sample=60] cpu=0 bench=binarysearch cycles=1981 instructions=1258 cache-misses=6
[sample=61] cpu=0 bench=binarysearch cycles=1994 instructions=1258 cache-misses=8
[sample=62] cpu=0 bench=binarysearch cycles=1969 instructions=1258 cache-misses=8
[sample=63] cpu=0 bench=binarysearch cycles=2001 instructions=1258 cache-misses=10
[sample=64] cpu=0 bench=binarysearch cycles=1995 instructions=1258 cache-misses=9
[sample=65] cpu=0 bench=binarysearch cycles=1975 instructions=1258 cache-misses=7
[sample=66] cpu=0 bench=binarysearch cycles=1980 instructions=1258 cache-misses=9
[sample=67] cpu=0 bench=binarysearch cycles=2006 instructions=1258 cache-misses=9
[sample=68] cpu=0 bench=binarysearch cycles=1952 instructions=1258 cache-misses=6
