[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=CACHE  cpu4=CACHE
sched_setaffinity: Invalid argument
[sample=87] cpu=0 bench=adpcm_dec cycles=323770 instructions=228472 cache-misses=50
[sample=88] cpu=0 bench=adpcm_dec cycles=320098 instructions=228471 cache-misses=48
[sample=89] cpu=0 bench=adpcm_dec cycles=319820 instructions=228473 cache-misses=51
[sample=90] cpu=0 bench=adpcm_dec cycles=319575 instructions=228471 cache-misses=57
[sample=91] cpu=0 bench=adpcm_dec cycles=319233 instructions=228470 cache-misses=57
[sample=92] cpu=0 bench=adpcm_dec cycles=320291 instructions=228469 cache-misses=50
[sample=93] cpu=0 bench=adpcm_dec cycles=322019 instructions=228470 cache-misses=44
[sample=94] cpu=0 bench=adpcm_dec cycles=318885 instructions=228471 cache-misses=45
[sample=95] cpu=0 bench=adpcm_dec cycles=320039 instructions=228470 cache-misses=58
[sample=96] cpu=0 bench=adpcm_dec cycles=319984 instructions=228471 cache-misses=51
[sample=97] cpu=0 bench=adpcm_dec cycles=320013 instructions=228469 cache-misses=45
[sample=98] cpu=0 bench=adpcm_dec cycles=320038 instructions=228472 cache-misses=68
[sample=99] cpu=0 bench=adpcm_dec cycles=323393 instructions=228468 cache-misses=48

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      318575               358528            321358.54            319911.00
  instructions                228467               228480            228470.68            228470.50
  cache-misses                    39                   75                51.33                50.00
