[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=68] cpu=0 bench=fir2dim cycles=13678 instructions=10107 cache-misses=1
[sample=69] cpu=0 bench=fir2dim cycles=13679 instructions=10108 cache-misses=1
[sample=70] cpu=0 bench=fir2dim cycles=13209 instructions=10104 cache-misses=1
[sample=71] cpu=0 bench=fir2dim cycles=17705 instructions=10103 cache-misses=1
[sample=72] cpu=0 bench=fir2dim cycles=13491 instructions=10109 cache-misses=2
[sample=73] cpu=0 bench=fir2dim cycles=13361 instructions=10104 cache-misses=2
[sample=74] cpu=0 bench=fir2dim cycles=13106 instructions=10109 cache-misses=1
[sample=75] cpu=0 bench=fir2dim cycles=13629 instructions=10104 cache-misses=1
[sample=76] cpu=0 bench=fir2dim cycles=13130 instructions=10107 cache-misses=1
[sample=77] cpu=0 bench=fir2dim cycles=15923 instructions=10106 cache-misses=1
[sample=78] cpu=0 bench=fir2dim cycles=13062 instructions=10106 cache-misses=2
[sample=79] cpu=0 bench=fir2dim cycles=13091 instructions=10106 cache-misses=0
[sample=80] cpu=0 bench=fir2dim cycles=13063 instructions=10107 cache-misses=2
[sample=81] cpu=0 bench=fir2dim cycles=13401 instructions=10102 cache-misses=2
[sample=82] cpu=0 bench=fir2dim cycles=13514 instructions=10104 cache-misses=1
[sample=83] cpu=0 bench=fir2dim cycles=13338 instructions=10102 cache-misses=2
[sample=84] cpu=0 bench=fir2dim cycles=13562 instructions=10104 cache-misses=1
[sample=85] cpu=0 bench=fir2dim cycles=13003 instructions=10103 cache-misses=3
[sample=86] cpu=0 bench=fir2dim cycles=12964 instructions=10100 cache-misses=1
[sample=87] cpu=0 bench=fir2dim cycles=13524 instructions=10104 cache-misses=1
[sample=88] cpu=0 bench=fir2dim cycles=13519 instructions=10102 cache-misses=1
[sample=89] cpu=0 bench=fir2dim cycles=13450 instructions=10105 cache-misses=1
[sample=90] cpu=0 bench=fir2dim cycles=13181 instructions=10107 cache-misses=1
