[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=22114 instructions=10140 cache-misses=16
[sample=1] cpu=0 bench=fir2dim cycles=19346 instructions=10118 cache-misses=11
[sample=2] cpu=0 bench=fir2dim cycles=14398 instructions=10108 cache-misses=10
[sample=3] cpu=0 bench=fir2dim cycles=13193 instructions=10110 cache-misses=8
[sample=4] cpu=0 bench=fir2dim cycles=13338 instructions=10110 cache-misses=11
[sample=5] cpu=0 bench=fir2dim cycles=13316 instructions=10110 cache-misses=9
[sample=6] cpu=0 bench=fir2dim cycles=13315 instructions=10109 cache-misses=11
[sample=7] cpu=0 bench=fir2dim cycles=13242 instructions=10108 cache-misses=9
[sample=8] cpu=0 bench=fir2dim cycles=13363 instructions=10116 cache-misses=11
[sample=9] cpu=0 bench=fir2dim cycles=13374 instructions=10115 cache-misses=10
[sample=10] cpu=0 bench=fir2dim cycles=13319 instructions=10110 cache-misses=10
[sample=11] cpu=0 bench=fir2dim cycles=13283 instructions=10116 cache-misses=10
[sample=12] cpu=0 bench=fir2dim cycles=13232 instructions=10108 cache-misses=10
[sample=13] cpu=0 bench=fir2dim cycles=13306 instructions=10111 cache-misses=10
[sample=14] cpu=0 bench=fir2dim cycles=13261 instructions=10112 cache-misses=9
[sample=15] cpu=0 bench=fir2dim cycles=13246 instructions=10114 cache-misses=8
[sample=16] cpu=0 bench=fir2dim cycles=13151 instructions=10109 cache-misses=7
[sample=17] cpu=0 bench=fir2dim cycles=13232 instructions=10111 cache-misses=9
[sample=18] cpu=0 bench=fir2dim cycles=13145 instructions=10109 cache-misses=8
[sample=19] cpu=0 bench=fir2dim cycles=13230 instructions=10106 cache-misses=10
[sample=20] cpu=0 bench=fir2dim cycles=13268 instructions=10109 cache-misses=11
[sample=21] cpu=0 bench=fir2dim cycles=13218 instructions=10107 cache-misses=10
[sample=22] cpu=0 bench=fir2dim cycles=13279 instructions=10108 cache-misses=10
[sample=23] cpu=0 bench=fir2dim cycles=13273 instructions=10112 cache-misses=9
[sample=24] cpu=0 bench=fir2dim cycles=13210 instructions=10109 cache-misses=10
[sample=25] cpu=0 bench=fir2dim cycles=13169 instructions=10108 cache-misses=10
[sample=26] cpu=0 bench=fir2dim cycles=13172 instructions=10107 cache-misses=9
[sample=27] cpu=0 bench=fir2dim cycles=13201 instructions=10108 cache-misses=10
[sample=28] cpu=0 bench=fir2dim cycles=13233 instructions=10110 cache-misses=11
[sample=29] cpu=0 bench=fir2dim cycles=13273 instructions=10113 cache-misses=9
[sample=30] cpu=0 bench=fir2dim cycles=13281 instructions=10110 cache-misses=11
[sample=31] cpu=0 bench=fir2dim cycles=13293 instructions=10108 cache-misses=10
[sample=32] cpu=0 bench=fir2dim cycles=13321 instructions=10112 cache-misses=11
[sample=33] cpu=0 bench=fir2dim cycles=13342 instructions=10111 cache-misses=11
[sample=34] cpu=0 bench=fir2dim cycles=13273 instructions=10109 cache-misses=10
[sample=35] cpu=0 bench=fir2dim cycles=13251 instructions=10110 cache-misses=9
[sample=36] cpu=0 bench=fir2dim cycles=13229 instructions=10110 cache-misses=8
[sample=37] cpu=0 bench=fir2dim cycles=13342 instructions=10111 cache-misses=9
[sample=38] cpu=0 bench=fir2dim cycles=13255 instructions=10110 cache-misses=9
[sample=39] cpu=0 bench=fir2dim cycles=13310 instructions=10110 cache-misses=11
[sample=40] cpu=0 bench=fir2dim cycles=13314 instructions=10109 cache-misses=10
[sample=41] cpu=0 bench=fir2dim cycles=13425 instructions=10109 cache-misses=10
[sample=42] cpu=0 bench=fir2dim cycles=13254 instructions=10107 cache-misses=11
[sample=43] cpu=0 bench=fir2dim cycles=13310 instructions=10112 cache-misses=10
[sample=44] cpu=0 bench=fir2dim cycles=13246 instructions=10109 cache-misses=11
[sample=45] cpu=0 bench=fir2dim cycles=13248 instructions=10110 cache-misses=7
[sample=46] cpu=0 bench=fir2dim cycles=13316 instructions=10111 cache-misses=11
[sample=47] cpu=0 bench=fir2dim cycles=13272 instructions=10112 cache-misses=10
[sample=48] cpu=0 bench=fir2dim cycles=13219 instructions=10112 cache-misses=9
[sample=49] cpu=0 bench=fir2dim cycles=13358 instructions=10110 cache-misses=9
[sample=50] cpu=0 bench=fir2dim cycles=13264 instructions=10106 cache-misses=11
[sample=51] cpu=0 bench=fir2dim cycles=13276 instructions=10104 cache-misses=9
[sample=52] cpu=0 bench=fir2dim cycles=13217 instructions=10111 cache-misses=7
[sample=53] cpu=0 bench=fir2dim cycles=13245 instructions=10106 cache-misses=11
[sample=54] cpu=0 bench=fir2dim cycles=13306 instructions=10107 cache-misses=11
[sample=55] cpu=0 bench=fir2dim cycles=13255 instructions=10108 cache-misses=9
[sample=56] cpu=0 bench=fir2dim cycles=13331 instructions=10108 cache-misses=10
[sample=57] cpu=0 bench=fir2dim cycles=13311 instructions=10111 cache-misses=9
[sample=58] cpu=0 bench=fir2dim cycles=13318 instructions=10109 cache-misses=10
[sample=59] cpu=0 bench=fir2dim cycles=13627 instructions=10110 cache-misses=13
[sample=60] cpu=0 bench=fir2dim cycles=13357 instructions=10114 cache-misses=10
[sample=61] cpu=0 bench=fir2dim cycles=13381 instructions=10115 cache-misses=10
[sample=62] cpu=0 bench=fir2dim cycles=13363 instructions=10115 cache-misses=10
[sample=63] cpu=0 bench=fir2dim cycles=13409 instructions=10116 cache-misses=11
[sample=64] cpu=0 bench=fir2dim cycles=13357 instructions=10108 cache-misses=11
[sample=65] cpu=0 bench=fir2dim cycles=13313 instructions=10111 cache-misses=10
[sample=66] cpu=0 bench=fir2dim cycles=13312 instructions=10110 cache-misses=9
[sample=67] cpu=0 bench=fir2dim cycles=13252 instructions=10111 cache-misses=10
[sample=68] cpu=0 bench=fir2dim cycles=13341 instructions=10113 cache-misses=10
[sample=69] cpu=0 bench=fir2dim cycles=13257 instructions=10109 cache-misses=9
[sample=70] cpu=0 bench=fir2dim cycles=13395 instructions=10111 cache-misses=9
[sample=71] cpu=0 bench=fir2dim cycles=13372 instructions=10113 cache-misses=10
[sample=72] cpu=0 bench=fir2dim cycles=13382 instructions=10114 cache-misses=10
[sample=73] cpu=0 bench=fir2dim cycles=13313 instructions=10115 cache-misses=9
[sample=74] cpu=0 bench=fir2dim cycles=13413 instructions=10116 cache-misses=11
[sample=75] cpu=0 bench=fir2dim cycles=13289 instructions=10111 cache-misses=11
[sample=76] cpu=0 bench=fir2dim cycles=13334 instructions=10116 cache-misses=10
[sample=77] cpu=0 bench=fir2dim cycles=13429 instructions=10109 cache-misses=10
[sample=78] cpu=0 bench=fir2dim cycles=13309 instructions=10114 cache-misses=9
[sample=79] cpu=0 bench=fir2dim cycles=13288 instructions=10112 cache-misses=9
[sample=80] cpu=0 bench=fir2dim cycles=13328 instructions=10115 cache-misses=9
[sample=81] cpu=0 bench=fir2dim cycles=13347 instructions=10115 cache-misses=10
[sample=82] cpu=0 bench=fir2dim cycles=13435 instructions=10114 cache-misses=9
[sample=83] cpu=0 bench=fir2dim cycles=13364 instructions=10109 cache-misses=10
[sample=84] cpu=0 bench=fir2dim cycles=13299 instructions=10112 cache-misses=10
