[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=CACHE  cpu2=BUS  cpu3=POINTER  cpu4=PIPELINE
sched_setaffinity: Invalid argument
[sample=64] cpu=0 bench=adpcm_dec cycles=338582 instructions=228471 cache-misses=47
[sample=65] cpu=0 bench=adpcm_dec cycles=349655 instructions=228469 cache-misses=51
[sample=66] cpu=0 bench=adpcm_dec cycles=356204 instructions=228470 cache-misses=49
[sample=67] cpu=0 bench=adpcm_dec cycles=363465 instructions=228469 cache-misses=44
[sample=68] cpu=0 bench=adpcm_dec cycles=358646 instructions=228469 cache-misses=39
[sample=69] cpu=0 bench=adpcm_dec cycles=359588 instructions=228470 cache-misses=46
[sample=70] cpu=0 bench=adpcm_dec cycles=355577 instructions=228472 cache-misses=43
[sample=71] cpu=0 bench=adpcm_dec cycles=360064 instructions=228471 cache-misses=45
[sample=72] cpu=0 bench=adpcm_dec cycles=350576 instructions=228470 cache-misses=38
[sample=73] cpu=0 bench=adpcm_dec cycles=342365 instructions=228470 cache-misses=48
[sample=74] cpu=0 bench=adpcm_dec cycles=345121 instructions=228473 cache-misses=55
[sample=75] cpu=0 bench=adpcm_dec cycles=350081 instructions=228472 cache-misses=51
[sample=76] cpu=0 bench=adpcm_dec cycles=396832 instructions=228472 cache-misses=47
[sample=77] cpu=0 bench=adpcm_dec cycles=360613 instructions=228470 cache-misses=49
[sample=78] cpu=0 bench=adpcm_dec cycles=334363 instructions=228471 cache-misses=42
[sample=79] cpu=0 bench=adpcm_dec cycles=336533 instructions=228471 cache-misses=48
[sample=80] cpu=0 bench=adpcm_dec cycles=349134 instructions=228471 cache-misses=49
[sample=81] cpu=0 bench=adpcm_dec cycles=349909 instructions=228470 cache-misses=54
[sample=82] cpu=0 bench=adpcm_dec cycles=345780 instructions=228470 cache-misses=48
[sample=83] cpu=0 bench=adpcm_dec cycles=338179 instructions=228470 cache-misses=51
[sample=84] cpu=0 bench=adpcm_dec cycles=337988 instructions=228470 cache-misses=48
[sample=85] cpu=0 bench=adpcm_dec cycles=339367 instructions=228472 cache-misses=54
[sample=86] cpu=0 bench=adpcm_dec cycles=334616 instructions=228470 cache-misses=53
[sample=87] cpu=0 bench=adpcm_dec cycles=334021 instructions=228471 cache-misses=50
[sample=88] cpu=0 bench=adpcm_dec cycles=328437 instructions=228474 cache-misses=60
[sample=89] cpu=0 bench=adpcm_dec cycles=334936 instructions=228469 cache-misses=50
[sample=90] cpu=0 bench=adpcm_dec cycles=342948 instructions=228473 cache-misses=46
[sample=91] cpu=0 bench=adpcm_dec cycles=349321 instructions=228471 cache-misses=46
[sample=92] cpu=0 bench=adpcm_dec cycles=359712 instructions=228472 cache-misses=54
[sample=93] cpu=0 bench=adpcm_dec cycles=350883 instructions=228472 cache-misses=49
[sample=94] cpu=0 bench=adpcm_dec cycles=362332 instructions=228475 cache-misses=66
[sample=95] cpu=0 bench=adpcm_dec cycles=353453 instructions=228472 cache-misses=53
[sample=96] cpu=0 bench=adpcm_dec cycles=356318 instructions=228470 cache-misses=53
[sample=97] cpu=0 bench=adpcm_dec cycles=353648 instructions=228468 cache-misses=53
[sample=98] cpu=0 bench=adpcm_dec cycles=356281 instructions=228470 cache-misses=50
[sample=99] cpu=0 bench=adpcm_dec cycles=334881 instructions=228469 cache-misses=47

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      328437               417589            357184.73            356596.50
  instructions                228468               228480            228471.36            228471.00
  cache-misses                    38                   73                50.14                49.00
